,Task,Start,Finish,Status,Amount
72,REF014,2018-03-01 13:31:05.000,2018-03-01 13:31:55.000,FT001,0.0
73,REF006,2018-03-01 13:31:05.000,2018-03-01 13:31:55.000,FT001,0.0
74,REF015,2018-03-01 13:31:55.000,2018-03-01 14:16:10.000,PP006,0.0
75,Change,2018-03-01 13:35:06.000,2018-03-01 14:16:10.000,Change,0.0
76,REF015,2018-03-01 14:16:10.000,2018-03-01 15:01:54.000,PN020,0.0
77,Change,2018-03-01 14:16:10.000,2018-03-01 15:01:54.000,Change,0.0
78,REF015,2018-03-01 15:01:54.000,2018-03-01 15:02:53.000,PR000,1.0
79,Change,2018-03-01 15:01:54.000,2018-03-01 15:02:53.000,Change,0.0
80,REF015,2018-03-01 15:02:53.000,2018-03-01 15:07:57.000,PN023,0.0
81,Change,2018-03-01 15:02:53.000,2018-03-01 15:07:57.000,Change,0.0
82,REF015,2018-03-01 15:07:57.000,2018-03-01 15:10:16.000,PR000,6.0
83,Change,2018-03-01 15:07:57.000,2018-03-01 15:10:16.000,Change,0.0
84,REF015,2018-03-01 15:10:16.000,2018-03-01 15:11:49.000,FT001,0.0
85,Change,2018-03-01 15:10:16.000,2018-03-01 15:11:49.000,Change,0.0
86,REF015,2018-03-01 15:11:49.000,2018-03-01 15:23:18.000,PR000,46.0
87,Change,2018-03-01 15:11:49.000,2018-03-01 15:23:18.000,Change,0.0
88,REF015,2018-03-01 15:23:18.000,2018-03-01 15:43:47.000,PN020,0.0
89,Change,2018-03-01 15:23:18.000,2018-03-01 15:43:47.000,Change,0.0
90,REF015,2018-03-01 15:43:47.000,2018-03-01 17:11:22.000,PR000,394.0
91,Change,2018-03-01 15:43:47.000,2018-03-01 17:11:22.000,Change,0.0
92,REF015,2018-03-01 17:11:22.000,2018-03-01 17:13:07.000,PN020,0.0
93,Change,2018-03-01 17:11:22.000,2018-03-01 17:13:07.000,Change,0.0
94,REF015,2018-03-01 17:13:07.000,2018-03-01 17:22:31.000,PR000,39.0
95,Change,2018-03-01 17:13:07.000,2018-03-01 17:22:31.000,Change,0.0
96,REF015,2018-03-01 17:22:31.000,2018-03-01 17:24:16.000,PN020,0.0
97,Change,2018-03-01 17:22:31.000,2018-03-01 17:24:16.000,Change,0.0
98,REF015,2018-03-01 17:24:16.000,2018-03-01 17:32:39.000,PR000,33.0
99,Change,2018-03-01 17:24:16.000,2018-03-01 17:32:39.000,Change,0.0
100,REF015,2018-03-01 17:32:39.000,2018-03-01 17:36:13.000,PN020,0.0
101,Change,2018-03-01 17:32:39.000,2018-03-01 17:36:13.000,Change,0.0
102,REF015,2018-03-01 17:36:13.000,2018-03-01 17:37:23.000,PR000,1.0
103,Change,2018-03-01 17:36:13.000,2018-03-01 17:37:23.000,Change,0.0
