Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF006,2019-04-01T06:42:00,2019-04-01T15:14:28.309522,REF006,1386
Change,2019-04-01T15:14:28.309522,2019-04-01T15:56:28.309522,Change,0
REF009,2019-04-01T15:56:28.309522,2019-04-01T16:59:37.655432,REF009,161.0
Idle,2019-04-01T16:59:37.655432,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF012,2019-04-01T17:42:00,2019-04-01T21:59:45.988667,REF012,462.0
Idle,2019-04-01T21:59:45.988667,2019-04-01T22:00:00,Idle,0
Change,2019-04-01T22:00:00,2019-04-01T22:42:00,Change,0
REF009,2019-04-01T22:42:00,2019-04-02T05:59:46.521960,REF009,1116.0
Idle,2019-04-02T05:59:46.521960,2019-04-02T06:00:00,Idle,0
Change,2019-04-02T06:00:00,2019-04-02T06:42:00,Change,0
REF006REF014,2019-04-02T06:42:00,2019-04-02T12:11:58.564598,REF006REF014,1026
Change,2019-04-02T12:11:58.564598,2019-04-02T12:53:58.564598,Change,0
REF009,2019-04-02T12:53:58.564598,2019-04-02T16:59:55.830968,REF009,627.0
Idle,2019-04-02T16:59:55.830968,2019-04-02T17:00:00,Idle,0
Change,2019-04-02T17:00:00,2019-04-02T17:42:00,Change,0
REF012,2019-04-02T17:42:00,2019-04-02T21:59:45.988667,REF012,462.0
Idle,2019-04-02T21:59:45.988667,2019-04-02T22:00:00,Idle,0
Change,2019-04-02T22:00:00,2019-04-02T22:42:00,Change,0
REF009,2019-04-02T22:42:00,2019-04-03T05:59:46.521960,REF009,1116.0
Idle,2019-04-03T05:59:46.521960,2019-04-03T06:00:00,Idle,0
REF009,2019-04-03T06:00:00,2019-04-03T14:28:46.594070,REF009,1297.0
Change,2019-04-03T14:28:46.594070,2019-04-03T15:10:46.594070,Change,0
REF012,2019-04-03T15:10:46.594070,2019-04-03T16:59:34.446430,REF012,195.0
Idle,2019-04-03T16:59:34.446430,2019-04-03T17:00:00.000001,Idle,0
Change,2019-04-03T17:00:00.000001,2019-04-03T17:42:00.000001,Change,0
REF011,2019-04-03T17:42:00.000001,2019-04-03T21:59:43.178137,REF011,617.0
Idle,2019-04-03T21:59:43.178137,2019-04-03T22:00:00.000001,Idle,0
Change,2019-04-03T22:00:00.000001,2019-04-03T22:42:00.000001,Change,0
REF012,2019-04-03T22:42:00.000001,2019-04-04T05:59:58.790269,REF012,785.0
Idle,2019-04-04T05:59:58.790269,2019-04-04T06:00:00.000001,Idle,0
REF012,2019-04-04T06:00:00.000001,2019-04-04T06:12:16.475652,REF012,22.0
Change,2019-04-04T06:12:16.475652,2019-04-04T06:54:16.475652,Change,0
REF011,2019-04-04T06:54:16.475652,2019-04-04T16:59:56.197365,REF011,1450.0
Idle,2019-04-04T16:59:56.197365,2019-04-04T17:00:00.000001,Idle,0
REF011,2019-04-04T17:00:00.000001,2019-04-04T18:37:44.479229,REF011,234.0
Change,2019-04-04T18:37:44.479229,2019-04-04T19:19:44.479229,Change,0
REF015,2019-04-04T19:19:44.479229,2019-04-04T21:59:58.102348,REF015,513.0
Idle,2019-04-04T21:59:58.102348,2019-04-04T22:00:00.000001,Idle,0
REF015,2019-04-04T22:00:00.000001,2019-04-05T05:59:44.649340,REF015,1536.0
Idle,2019-04-05T05:59:44.649340,2019-04-05T06:00:00.000001,Idle,0
REF015,2019-04-05T06:00:00.000001,2019-04-05T10:42:02.225491,REF015,903.0
Change,2019-04-05T10:42:02.225491,2019-04-05T11:24:02.225491,Change,0
REF001REF011,2019-04-05T11:24:02.225491,2019-04-05T16:59:51.620840,REF001REF011,923.0
Idle,2019-04-05T16:59:51.620840,2019-04-05T17:00:00.000001,Idle,0
REF001REF011,2019-04-05T17:00:00.000001,2019-04-05T20:39:23.689487,REF001REF011,603.0
Change,2019-04-05T20:39:23.689487,2019-04-05T21:21:23.689487,Change,0
REF004REF012,2019-04-05T21:21:23.689487,2019-04-05T21:59:26.358139,REF004REF012,64.0
Idle,2019-04-05T21:59:26.358139,2019-04-05T22:00:00.000001,Idle,0
Change,2019-04-05T22:00:00.000001,2019-04-05T22:42:00.000001,Change,0
REF000REF009,2019-04-05T22:42:00.000001,2019-04-06T05:59:43.222764,REF000REF009,1321.0
Idle,2019-04-06T05:59:43.222764,2019-04-06T06:00:00.000001,Idle,0
REF000REF009,2019-04-06T06:00:00.000001,2019-04-06T13:04:08.088674,REF000REF009,1280.0
Change,2019-04-06T13:04:08.088674,2019-04-06T13:46:08.088674,Change,0
REF004REF012,2019-04-06T13:46:08.088674,2019-04-06T21:59:31.447758,REF004REF012,830.0
Idle,2019-04-06T21:59:31.447758,2019-04-06T22:00:00.000001,Idle,0
REF004REF012,2019-04-06T22:00:00.000001,2019-04-06T23:35:42.338329,REF004REF012,161.0
Idle,2019-04-06T23:35:42.338329,2019-04-07T00:00:00.000001,Idle,0
Change,2019-04-07T00:00:00.000001,2019-04-07T00:42:00.000001,Change,0
REF007REF015,2019-04-07T00:42:00.000001,2019-04-07T19:52:57.868415,REF007REF015,4305
Idle,2019-04-07T19:52:57.868415,2019-04-08T00:00:00.000001,Idle,0
Idle,2019-04-08T00:00:00.000001,2019-04-08T00:00:00.000001,Idle,0
