Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF010,2019-04-01T06:42:00,2019-04-01T09:19:46.431254,REF010,350
Change,2019-04-01T09:19:46.431254,2019-04-01T10:01:46.431254,Change,0
REF009,2019-04-01T10:01:46.431254,2019-04-01T16:59:56.137714,REF009,1066.0
Idle,2019-04-01T16:59:56.137714,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF006,2019-04-01T17:42:00,2019-04-01T21:59:42.894471,REF006,697.0
Idle,2019-04-01T21:59:42.894471,2019-04-01T22:00:00,Idle,0
Change,2019-04-01T22:00:00,2019-04-01T22:42:00,Change,0
REF009,2019-04-01T22:42:00,2019-04-02T05:59:46.521960,REF009,1116.0
Idle,2019-04-02T05:59:46.521960,2019-04-02T06:00:00,Idle,0
Change,2019-04-02T06:00:00,2019-04-02T06:42:00,Change,0
REF002REF008,2019-04-02T06:42:00,2019-04-02T11:11:25.107229,REF002REF008,651
Change,2019-04-02T11:11:25.107229,2019-04-02T11:53:25.107229,Change,0
REF009,2019-04-02T11:53:25.107229,2019-04-02T16:59:46.965339,REF009,781.0
Idle,2019-04-02T16:59:46.965339,2019-04-02T17:00:00,Idle,0
Change,2019-04-02T17:00:00,2019-04-02T17:42:00,Change,0
REF006,2019-04-02T17:42:00,2019-04-02T21:59:42.894471,REF006,697.0
Idle,2019-04-02T21:59:42.894471,2019-04-02T22:00:00,Idle,0
Change,2019-04-02T22:00:00,2019-04-02T22:42:00,Change,0
REF009,2019-04-02T22:42:00,2019-04-03T04:42:29.868890,REF009,919.0
Change,2019-04-03T04:42:29.868890,2019-04-03T05:24:29.868890,Change,0
REF013,2019-04-03T05:24:29.868890,2019-04-03T05:59:44.553113,REF013,90.0
Idle,2019-04-03T05:59:44.553113,2019-04-03T06:00:00,Idle,0
Change,2019-04-03T06:00:00,2019-04-03T06:42:00,Change,0
REF001REF009,2019-04-03T06:42:00,2019-04-03T13:02:03.646897,REF001REF009,923
Change,2019-04-03T13:02:03.646897,2019-04-03T13:44:03.646897,Change,0
REF006,2019-04-03T13:44:03.646897,2019-04-03T16:59:39.473547,REF006,529.0
Idle,2019-04-03T16:59:39.473547,2019-04-03T17:00:00,Idle,0
Change,2019-04-03T17:00:00,2019-04-03T17:42:00,Change,0
REF013,2019-04-03T17:42:00,2019-04-03T21:59:40.691321,REF013,658.0
Idle,2019-04-03T21:59:40.691321,2019-04-03T22:00:00,Idle,0
