Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF000REF009,2019-04-01T06:42:00,2019-04-01T08:24:23.327656,REF000REF009,309
Change,2019-04-01T08:24:23.327656,2019-04-01T09:06:23.327656,Change,0
REF003REF007,2019-04-01T09:06:23.327656,2019-04-01T10:47:18.193078,REF003REF007,356
Change,2019-04-01T10:47:18.193078,2019-04-01T11:29:18.193078,Change,0
REF005,2019-04-01T11:29:18.193078,2019-04-01T16:59:41.079596,REF005,719.0
Idle,2019-04-01T16:59:41.079596,2019-04-01T17:00:00,Idle,0
REF005,2019-04-01T17:00:00,2019-04-01T19:57:22.050342,REF005,386.0
Change,2019-04-01T19:57:22.050342,2019-04-01T20:39:22.050342,Change,0
REF009,2019-04-01T20:39:22.050342,2019-04-01T21:59:46.993892,REF009,205.0
Idle,2019-04-01T21:59:46.993892,2019-04-01T22:00:00,Idle,0
Change,2019-04-01T22:00:00,2019-04-01T22:42:00,Change,0
REF005REF014,2019-04-01T22:42:00,2019-04-02T02:01:35.363737,REF005REF014,438
Change,2019-04-02T02:01:35.363737,2019-04-02T02:43:35.363737,Change,0
REF009,2019-04-02T02:43:35.363737,2019-04-02T05:59:43.518737,REF009,500.0
Idle,2019-04-02T05:59:43.518737,2019-04-02T06:00:00,Idle,0
Change,2019-04-02T06:00:00,2019-04-02T06:42:00,Change,0
REF008,2019-04-02T06:42:00,2019-04-02T13:47:04.900400,REF008,1028
Change,2019-04-02T13:47:04.900400,2019-04-02T14:29:04.900400,Change,0
REF009,2019-04-02T14:29:04.900400,2019-04-02T16:59:42.843440,REF009,384.0
Idle,2019-04-02T16:59:42.843440,2019-04-02T17:00:00,Idle,0
Change,2019-04-02T17:00:00,2019-04-02T17:42:00,Change,0
REF007,2019-04-02T17:42:00,2019-04-02T21:59:59.608179,REF007,817.0
Idle,2019-04-02T21:59:59.608179,2019-04-02T22:00:00,Idle,0
Change,2019-04-02T22:00:00,2019-04-02T22:42:00,Change,0
REF009,2019-04-02T22:42:00,2019-04-03T05:59:46.521960,REF009,1116.0
Idle,2019-04-03T05:59:46.521960,2019-04-03T06:00:00,Idle,0
REF009,2019-04-03T06:00:00,2019-04-03T11:28:19.891470,REF009,837.0
Change,2019-04-03T11:28:19.891470,2019-04-03T12:10:19.891470,Change,0
REF007,2019-04-03T12:10:19.891470,2019-04-03T16:59:54.188532,REF007,917.0
Idle,2019-04-03T16:59:54.188532,2019-04-03T17:00:00,Idle,0
Change,2019-04-03T17:00:00,2019-04-03T17:42:00,Change,0
REF011,2019-04-03T17:42:00,2019-04-03T21:59:43.178136,REF011,617.0
Idle,2019-04-03T21:59:43.178136,2019-04-03T22:00:00,Idle,0
Change,2019-04-03T22:00:00,2019-04-03T22:42:00,Change,0
REF007,2019-04-03T22:42:00,2019-04-04T05:59:59.334815,REF007,1387.0
Idle,2019-04-04T05:59:59.334815,2019-04-04T06:00:00,Idle,0
Change,2019-04-04T06:00:00,2019-04-04T06:42:00,Change,0
REF011,2019-04-04T06:42:00,2019-04-04T16:59:46.516147,REF011,1479.0
Idle,2019-04-04T16:59:46.516147,2019-04-04T17:00:00,Idle,0
REF011,2019-04-04T17:00:00,2019-04-04T18:01:49.157802,REF011,148.0
Change,2019-04-04T18:01:49.157802,2019-04-04T18:43:49.157802,Change,0
REF007,2019-04-04T18:43:49.157802,2019-04-04T21:59:55.175769,REF007,621.0
Idle,2019-04-04T21:59:55.175769,2019-04-04T22:00:00,Idle,0
REF007,2019-04-04T22:00:00,2019-04-05T05:59:59.271030,REF007,1520.0
Idle,2019-04-05T05:59:59.271030,2019-04-05T06:00:00,Idle,0
REF007,2019-04-05T06:00:00,2019-04-05T06:52:06.236658,REF007,165.0
Change,2019-04-05T06:52:06.236658,2019-04-05T07:34:06.236658,Change,0
REF004REF011,2019-04-05T07:34:06.236658,2019-04-05T16:59:43.744395,REF004REF011,1233.0
Idle,2019-04-05T16:59:43.744395,2019-04-05T17:00:00,Idle,0
REF004REF011,2019-04-05T17:00:00,2019-04-05T17:00:55.048674,REF004REF011,2.0
Change,2019-04-05T17:00:55.048674,2019-04-05T17:42:55.048674,Change,0
REF002REF008,2019-04-05T17:42:55.048674,2019-04-05T21:59:55.220086,REF002REF008,621.0
Idle,2019-04-05T21:59:55.220086,2019-04-05T22:00:00,Idle,0
REF002REF008,2019-04-05T22:00:00,2019-04-06T05:59:39.353730,REF002REF008,1159.0
Idle,2019-04-06T05:59:39.353730,2019-04-06T06:00:00,Idle,0
REF002REF008,2019-04-06T06:00:00,2019-04-06T07:19:02.758035,REF002REF008,191.0
Idle,2019-04-06T07:19:02.758035,2019-04-06T22:00:00,Idle,0
Off,2019-04-06T22:00:00,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
