Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF006,2019-04-01T06:42:00,2019-04-01T14:51:10.659089,REF006,1323
Change,2019-04-01T14:51:10.659089,2019-04-01T15:33:10.659089,Change,0
REF009,2019-04-01T15:33:10.659089,2019-04-01T16:59:52.183599,REF009,221.0
Idle,2019-04-01T16:59:52.183599,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF013,2019-04-01T17:42:00,2019-04-01T21:59:40.691321,REF013,658.0
Idle,2019-04-01T21:59:40.691321,2019-04-01T22:00:00,Idle,0
Change,2019-04-01T22:00:00,2019-04-01T22:42:00,Change,0
REF009,2019-04-01T22:42:00,2019-04-02T05:59:46.521960,REF009,1116.0
Idle,2019-04-02T05:59:46.521960,2019-04-02T06:00:00,Idle,0
REF009,2019-04-02T06:00:00,2019-04-02T14:12:41.605360,REF009,1256.0
Change,2019-04-02T14:12:41.605360,2019-04-02T14:54:41.605360,Change,0
REF013,2019-04-02T14:54:41.605360,2019-04-02T16:59:36.986107,REF013,319.0
Idle,2019-04-02T16:59:36.986107,2019-04-02T17:00:00,Idle,0
Change,2019-04-02T17:00:00,2019-04-02T17:42:00,Change,0
REF010,2019-04-02T17:42:00,2019-04-02T21:59:50.853364,REF010,572.0
Idle,2019-04-02T21:59:50.853364,2019-04-02T22:00:00,Idle,0
Change,2019-04-02T22:00:00,2019-04-02T22:42:00,Change,0
REF013,2019-04-02T22:42:00,2019-04-03T05:59:49.077351,REF013,1118.0
Idle,2019-04-03T05:59:49.077351,2019-04-03T06:00:00,Idle,0
REF013,2019-04-03T06:00:00,2019-04-03T10:42:44.466769,REF013,722.0
Change,2019-04-03T10:42:44.466769,2019-04-03T11:24:44.466769,Change,0
REF010,2019-04-03T11:24:44.466769,2019-04-03T16:59:40.347974,REF010,743.0
Idle,2019-04-03T16:59:40.347974,2019-04-03T17:00:00,Idle,0
Change,2019-04-03T17:00:00,2019-04-03T17:42:00,Change,0
REF008,2019-04-03T17:42:00,2019-04-03T21:59:36.763569,REF008,623.0
Idle,2019-04-03T21:59:36.763569,2019-04-03T22:00:00,Idle,0
Change,2019-04-03T22:00:00,2019-04-03T22:42:00,Change,0
REF010,2019-04-03T22:42:00,2019-04-04T05:59:42.584993,REF010,971.0
Idle,2019-04-04T05:59:42.584993,2019-04-04T06:00:00,Idle,0
REF010,2019-04-04T06:00:00,2019-04-04T10:41:44.341525,REF010,625.0
Change,2019-04-04T10:41:44.341525,2019-04-04T11:23:44.341525,Change,0
REF008,2019-04-04T11:23:44.341525,2019-04-04T16:59:55.045830,REF008,813.0
Idle,2019-04-04T16:59:55.045830,2019-04-04T17:00:00,Idle,0
REF008,2019-04-04T17:00:00,2019-04-04T21:59:47.405438,REF008,725.0
Idle,2019-04-04T21:59:47.405438,2019-04-04T22:00:00,Idle,0
REF008,2019-04-04T22:00:00,2019-04-05T00:01:09.392818,REF008,293.0
Change,2019-04-05T00:01:09.392818,2019-04-05T00:43:09.392818,Change,0
REF001REF009,2019-04-05T00:43:09.392818,2019-04-05T05:59:48.314230,REF001REF009,769.0
Idle,2019-04-05T05:59:48.314230,2019-04-05T05:59:59.999999,Idle,0
REF001REF009,2019-04-05T05:59:59.999999,2019-04-05T10:18:35.374052,REF001REF009,628.0
Change,2019-04-05T10:18:35.374052,2019-04-05T11:00:35.374052,Change,0
REF002REF008,2019-04-05T11:00:35.374052,2019-04-05T16:59:48.850357,REF002REF008,868.0
Idle,2019-04-05T16:59:48.850357,2019-04-05T16:59:59.999998,Idle,0
Change,2019-04-05T16:59:59.999998,2019-04-05T17:41:59.999998,Change,0
REF006REF016,2019-04-05T17:41:59.999998,2019-04-05T21:59:45.099334,REF006REF016,652.0
Idle,2019-04-05T21:59:45.099334,2019-04-05T21:59:59.999998,Idle,0
Change,2019-04-05T21:59:59.999998,2019-04-05T22:41:59.999998,Change,0
REF002REF008,2019-04-05T22:41:59.999998,2019-04-06T05:59:51.403144,REF002REF008,1058.0
Idle,2019-04-06T05:59:51.403144,2019-04-06T05:59:59.999998,Idle,0
REF002REF008,2019-04-06T05:59:59.999998,2019-04-06T11:05:50.252290,REF002REF008,739.0
Change,2019-04-06T11:05:50.252290,2019-04-06T11:47:50.252290,Change,0
REF010REF018,2019-04-06T11:47:50.252290,2019-04-06T19:40:04.252290,REF010REF018,1996
Change,2019-04-06T19:40:04.252290,2019-04-06T20:22:04.252290,Change,0
REF006REF016,2019-04-06T20:22:04.252290,2019-04-06T21:59:42.963235,REF006REF016,247.0
Idle,2019-04-06T21:59:42.963235,2019-04-06T21:59:59.999998,Idle,0
REF006REF016,2019-04-06T21:59:59.999998,2019-04-06T23:59:47.001683,REF006REF016,303.0
Idle,2019-04-06T23:59:47.001683,2019-04-06T23:59:59.999998,Idle,0
REF006REF016,2019-04-06T23:59:59.999998,2019-04-07T17:54:29.539869,REF006REF016,2718.0
Idle,2019-04-07T17:54:29.539869,2019-04-07T23:59:59.999998,Idle,0
Idle,2019-04-07T23:59:59.999998,2019-04-07T23:59:59.999998,Idle,0
