Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF005,2019-04-01T06:42:00,2019-04-01T09:19:36.536962,REF005,343
Change,2019-04-01T09:19:36.536962,2019-04-01T10:01:36.536962,Change,0
REF009,2019-04-01T10:01:36.536962,2019-04-01T16:59:46.243422,REF009,1066.0
Idle,2019-04-01T16:59:46.243422,2019-04-01T17:00:00,Idle,0
REF009,2019-04-01T17:00:00,2019-04-01T18:54:56.138830,REF009,293.0
Change,2019-04-01T18:54:56.138830,2019-04-01T19:36:56.138830,Change,0
REF007,2019-04-01T19:36:56.138830,2019-04-01T21:59:59.079472,REF007,453.0
Idle,2019-04-01T21:59:59.079472,2019-04-01T22:00:00,Idle,0
REF007,2019-04-01T22:00:00,2019-04-02T05:59:59.271030,REF007,1520.0
Idle,2019-04-02T05:59:59.271030,2019-04-02T06:00:00,Idle,0
REF007,2019-04-02T06:00:00,2019-04-02T16:59:58.997666,REF007,2090.0
Idle,2019-04-02T16:59:58.997666,2019-04-02T17:00:00,Idle,0
Change,2019-04-02T17:00:00,2019-04-02T17:42:00,Change,0
REF002,2019-04-02T17:42:00,2019-04-02T21:59:37.583100,REF002,561.0
Idle,2019-04-02T21:59:37.583100,2019-04-02T22:00:00,Idle,0
Change,2019-04-02T22:00:00,2019-04-02T22:42:00,Change,0
REF007,2019-04-02T22:42:00,2019-04-03T05:59:59.334815,REF007,1387.0
Idle,2019-04-03T05:59:59.334815,2019-04-03T06:00:00,Idle,0
REF007,2019-04-03T06:00:00,2019-04-03T12:21:46.788602,REF007,1209.0
Change,2019-04-03T12:21:46.788602,2019-04-03T13:03:46.788602,Change,0
REF002,2019-04-03T13:03:46.788602,2019-04-03T16:59:49.351371,REF002,514.0
Idle,2019-04-03T16:59:49.351371,2019-04-03T17:00:00,Idle,0
REF002,2019-04-03T17:00:00,2019-04-03T21:59:52.516514,REF002,653.0
Idle,2019-04-03T21:59:52.516514,2019-04-03T22:00:00,Idle,0
REF002,2019-04-03T22:00:00,2019-04-03T22:34:54.075429,REF002,76.0
Change,2019-04-03T22:34:54.075429,2019-04-03T23:16:54.075429,Change,0
REF003REF009,2019-04-03T23:16:54.075429,2019-04-04T05:59:36.955953,REF003REF009,632.0
Idle,2019-04-04T05:59:36.955953,2019-04-04T06:00:00,Idle,0
Change,2019-04-04T06:00:00,2019-04-04T06:42:00,Change,0
REF002REF004,2019-04-04T06:42:00,2019-04-04T13:19:19.012128,REF002REF004,885
Change,2019-04-04T13:19:19.012128,2019-04-04T14:01:19.012128,Change,0
REF003REF009,2019-04-04T14:01:19.012128,2019-04-04T16:59:44.085778,REF003REF009,280.0
Idle,2019-04-04T16:59:44.085778,2019-04-04T17:00:00,Idle,0
Change,2019-04-04T17:00:00,2019-04-04T17:42:00,Change,0
REF005REF011,2019-04-04T17:42:00,2019-04-04T21:59:53.062509,REF005REF011,646.0
Idle,2019-04-04T21:59:53.062509,2019-04-04T22:00:00,Idle,0
Change,2019-04-04T22:00:00,2019-04-04T22:42:00,Change,0
REF003REF009,2019-04-04T22:42:00,2019-04-05T05:59:45.662848,REF003REF009,687.0
Idle,2019-04-05T05:59:45.662848,2019-04-05T06:00:00,Idle,0
Change,2019-04-05T06:00:00,2019-04-05T06:42:00,Change,0
REF005REF011,2019-04-05T06:42:00,2019-04-05T14:58:36.423778,REF005REF011,1244.0
Change,2019-04-05T14:58:36.423778,2019-04-05T15:40:36.423778,Change,0
REF003REF009,2019-04-05T15:40:36.423778,2019-04-05T16:59:37.242109,REF003REF009,124.0
Idle,2019-04-05T16:59:37.242109,2019-04-05T17:00:00,Idle,0
REF003REF009,2019-04-05T17:00:00,2019-04-05T21:59:29.230769,REF003REF009,470.0
Idle,2019-04-05T21:59:29.230769,2019-04-05T22:00:00,Idle,0
REF003REF009,2019-04-05T22:00:00,2019-04-06T04:00:01.309329,REF003REF009,565.0
Change,2019-04-06T04:00:01.309329,2019-04-06T04:42:01.309329,Change,0
REF000REF007,2019-04-06T04:42:01.309329,2019-04-06T05:59:51.453267,REF000REF007,259.0
Idle,2019-04-06T05:59:51.453267,2019-04-06T06:00:00,Idle,0
REF000REF007,2019-04-06T06:00:00,2019-04-06T17:30:18.226351,REF000REF007,2297.0
Idle,2019-04-06T17:30:18.226351,2019-04-06T22:00:00,Idle,0
Off,2019-04-06T22:00:00,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
