Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF005,2019-04-01T06:42:00,2019-04-01T08:35:57.379494,REF005,248
Change,2019-04-01T08:35:57.379494,2019-04-01T09:17:57.379494,Change,0
REF001REF013,2019-04-01T09:17:57.379494,2019-04-01T12:38:38.573961,REF001REF013,614
Change,2019-04-01T12:38:38.573961,2019-04-01T13:20:38.573961,Change,0
REF009,2019-04-01T13:20:38.573961,2019-04-01T16:59:55.371251,REF009,559.0
Idle,2019-04-01T16:59:55.371251,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF007,2019-04-01T17:42:00,2019-04-01T21:59:59.608179,REF007,817.0
Idle,2019-04-01T21:59:59.608179,2019-04-01T22:00:00,Idle,0
REF007,2019-04-01T22:00:00,2019-04-02T01:20:12.327522,REF007,634.0
Change,2019-04-02T01:20:12.327522,2019-04-02T02:02:12.327522,Change,0
REF009,2019-04-02T02:02:12.327522,2019-04-02T05:59:55.331382,REF009,606.0
Idle,2019-04-02T05:59:55.331382,2019-04-02T06:00:00,Idle,0
Change,2019-04-02T06:00:00,2019-04-02T06:42:00,Change,0
REF001,2019-04-02T06:42:00,2019-04-02T13:25:22.511376,REF001,1071
Change,2019-04-02T13:25:22.511376,2019-04-02T14:07:22.511376,Change,0
REF009,2019-04-02T14:07:22.511376,2019-04-02T16:59:58.487776,REF009,440.0
Idle,2019-04-02T16:59:58.487776,2019-04-02T17:00:00,Idle,0
REF009,2019-04-02T17:00:00,2019-04-02T21:59:41.740840,REF009,764.0
Idle,2019-04-02T21:59:41.740840,2019-04-02T22:00:00,Idle,0
REF009,2019-04-02T22:00:00,2019-04-03T03:28:43.427780,REF009,838.0
Change,2019-04-03T03:28:43.427780,2019-04-03T04:10:43.427780,Change,0
REF002,2019-04-03T04:10:43.427780,2019-04-03T05:59:33.636683,REF002,237.0
Idle,2019-04-03T05:59:33.636683,2019-04-03T06:00:00,Idle,0
Change,2019-04-03T06:00:00,2019-04-03T06:42:00,Change,0
REF000REF007,2019-04-03T06:42:00,2019-04-03T10:18:04.608074,REF000REF007,719
Change,2019-04-03T10:18:04.608074,2019-04-03T11:00:04.608074,Change,0
REF002,2019-04-03T11:00:04.608074,2019-04-03T16:59:39.095717,REF002,783.0
Idle,2019-04-03T16:59:39.095717,2019-04-03T17:00:00,Idle,0
REF002,2019-04-03T17:00:00,2019-04-03T21:59:52.516514,REF002,653.0
Idle,2019-04-03T21:59:52.516514,2019-04-03T22:00:00,Idle,0
REF002,2019-04-03T22:00:00,2019-04-04T05:59:53.537148,REF002,1045.0
Idle,2019-04-04T05:59:53.537148,2019-04-04T06:00:00,Idle,0
REF002,2019-04-04T06:00:00,2019-04-04T09:37:12.864183,REF002,473.0
Change,2019-04-04T09:37:12.864183,2019-04-04T10:19:12.864183,Change,0
REF003REF009,2019-04-04T10:19:12.864183,2019-04-04T16:59:22.815083,REF003REF009,628.0
Idle,2019-04-04T16:59:22.815083,2019-04-04T17:00:00,Idle,0
REF003REF009,2019-04-04T17:00:00,2019-04-04T21:17:25.891980,REF003REF009,404.0
Change,2019-04-04T21:17:25.891980,2019-04-04T21:59:25.891980,Change,0
REF005REF011,2019-04-04T21:59:25.891980,2019-04-04T21:59:49.844089,REF005REF011,1.0
Idle,2019-04-04T21:59:49.844089,2019-04-04T21:59:59.999999,Idle,0
Change,2019-04-04T21:59:59.999999,2019-04-04T22:41:59.999999,Change,0
REF002REF004,2019-04-04T22:41:59.999999,2019-04-05T05:59:43.318445,REF002REF004,975.0
Idle,2019-04-05T05:59:43.318445,2019-04-05T05:59:59.999999,Idle,0
REF002REF004,2019-04-05T05:59:59.999999,2019-04-05T13:09:11.520445,REF002REF004,956.0
Change,2019-04-05T13:09:11.520445,2019-04-05T13:51:11.520445,Change,0
REF005REF011,2019-04-05T13:51:11.520445,2019-04-05T16:59:36.915962,REF005REF011,472.0
Idle,2019-04-05T16:59:36.915962,2019-04-05T16:59:59.999999,Idle,0
REF005REF011,2019-04-05T16:59:59.999999,2019-04-05T21:59:48.033968,REF005REF011,751.0
Idle,2019-04-05T21:59:48.033968,2019-04-05T21:59:59.999999,Idle,0
REF005REF011,2019-04-05T21:59:59.999999,2019-04-05T22:26:44.791312,REF005REF011,67.0
Idle,2019-04-05T22:26:44.791312,2019-04-06T05:59:59.999999,Idle,0
Off,2019-04-06T05:59:59.999999,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
