Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF002REF007,2019-04-01T06:42:00,2019-04-01T10:40:11,REF002REF007,822
Change,2019-04-01T10:40:11,2019-04-01T11:22:11,Change,0
REF003,2019-04-01T11:22:11,2019-04-01T16:59:59.172161,REF003,670.0
Idle,2019-04-01T16:59:59.172161,2019-04-01T17:00:00,Idle,0
REF003,2019-04-01T17:00:00,2019-04-01T21:59:59.346920,REF003,595.0
Idle,2019-04-01T21:59:59.346920,2019-04-01T22:00:00,Idle,0
REF003,2019-04-01T22:00:00,2019-04-02T01:17:38.393265,REF003,392.0
Change,2019-04-02T01:17:38.393265,2019-04-02T01:59:38.393265,Change,0
REF007,2019-04-02T01:59:38.393265,2019-04-02T05:59:56.975669,REF007,761.0
Idle,2019-04-02T05:59:56.975669,2019-04-02T06:00:00.000001,Idle,0
Change,2019-04-02T06:00:00.000001,2019-04-02T06:42:00.000001,Change,0
REF008,2019-04-02T06:42:00.000001,2019-04-02T16:59:46.460310,REF008,1494.0
Idle,2019-04-02T16:59:46.460310,2019-04-02T17:00:00.000001,Idle,0
Change,2019-04-02T17:00:00.000001,2019-04-02T17:42:00.000001,Change,0
REF007,2019-04-02T17:42:00.000001,2019-04-02T21:59:59.608180,REF007,817.0
Idle,2019-04-02T21:59:59.608180,2019-04-02T22:00:00.000001,Idle,0
Change,2019-04-02T22:00:00.000001,2019-04-02T22:42:00.000001,Change,0
REF008,2019-04-02T22:42:00.000001,2019-04-03T05:59:54.017048,REF008,1059.0
Idle,2019-04-03T05:59:54.017048,2019-04-03T06:00:00.000001,Idle,0
REF008,2019-04-03T06:00:00.000001,2019-04-03T08:43:44.844902,REF008,396.0
Change,2019-04-03T08:43:44.844902,2019-04-03T09:25:44.844902,Change,0
REF007,2019-04-03T09:25:44.844902,2019-04-03T16:59:50.471047,REF007,1438.0
Idle,2019-04-03T16:59:50.471047,2019-04-03T17:00:00,Idle,0
REF007,2019-04-03T17:00:00,2019-04-03T18:51:47.198648,REF007,354.0
Change,2019-04-03T18:51:47.198648,2019-04-03T19:33:47.198648,Change,0
REF011,2019-04-03T19:33:47.198648,2019-04-03T21:59:58.855613,REF011,350.0
Idle,2019-04-03T21:59:58.855613,2019-04-03T22:00:00,Idle,0
REF011,2019-04-03T22:00:00,2019-04-04T05:59:56.096723,REF011,1149.0
Idle,2019-04-04T05:59:56.096723,2019-04-04T06:00:00,Idle,0
REF011,2019-04-04T06:00:00,2019-04-04T12:24:41.988757,REF011,921.0
Change,2019-04-04T12:24:41.988757,2019-04-04T13:06:41.988757,Change,0
REF003REF005,2019-04-04T13:06:41.988757,2019-04-04T16:59:56.264495,REF003REF005,434.0
Idle,2019-04-04T16:59:56.264495,2019-04-04T17:00:00,Idle,0
Change,2019-04-04T17:00:00,2019-04-04T17:42:00,Change,0
REF004REF011,2019-04-04T17:42:00,2019-04-04T21:59:48.677493,REF004REF011,562.0
Idle,2019-04-04T21:59:48.677493,2019-04-04T22:00:00,Idle,0
Change,2019-04-04T22:00:00,2019-04-04T22:42:00,Change,0
REF003REF005,2019-04-04T22:42:00,2019-04-05T03:47:47.333859,REF003REF005,569.0
Change,2019-04-05T03:47:47.333859,2019-04-05T04:29:47.333859,Change,0
REF004REF011,2019-04-05T04:29:47.333859,2019-04-05T05:59:42.103945,REF004REF011,196.0
Idle,2019-04-05T05:59:42.103945,2019-04-05T06:00:00,Idle,0
Change,2019-04-05T06:00:00,2019-04-05T06:42:00,Change,0
REF000REF008,2019-04-05T06:42:00,2019-04-05T15:02:38.412084,REF000REF008,1789
Change,2019-04-05T15:02:38.412084,2019-04-05T15:44:38.412084,Change,0
REF004REF011,2019-04-05T15:44:38.412084,2019-04-05T16:59:52.403381,REF004REF011,164.0
Idle,2019-04-05T16:59:52.403381,2019-04-05T17:00:00,Idle,0
REF004REF011,2019-04-05T17:00:00,2019-04-05T21:59:33.392176,REF004REF011,653.0
Idle,2019-04-05T21:59:33.392176,2019-04-05T22:00:00,Idle,0
REF004REF011,2019-04-05T22:00:00,2019-04-06T05:21:18.412363,REF004REF011,962.0
Idle,2019-04-06T05:21:18.412363,2019-04-06T06:00:00,Idle,0
Off,2019-04-06T06:00:00,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
