Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF001,2019-04-01T06:42:00,2019-04-01T06:57:26.520043,REF001,41
Change,2019-04-01T06:57:26.520043,2019-04-01T07:39:26.520043,Change,0
REF003,2019-04-01T07:39:26.520043,2019-04-01T09:31:52.493762,REF003,223
Change,2019-04-01T09:31:52.493762,2019-04-01T10:13:52.493762,Change,0
REF002REF008,2019-04-01T10:13:52.493762,2019-04-01T11:50:18.161941,REF002REF008,233
Change,2019-04-01T11:50:18.161941,2019-04-01T12:32:18.161941,Change,0
REF004,2019-04-01T12:32:18.161941,2019-04-01T16:59:58.243620,REF004,583.0
Idle,2019-04-01T16:59:58.243620,2019-04-01T17:00:00,Idle,0
REF004,2019-04-01T17:00:00,2019-04-01T21:59:48.393372,REF004,653.0
Idle,2019-04-01T21:59:48.393372,2019-04-01T22:00:00,Idle,0
Change,2019-04-01T22:00:00,2019-04-01T22:42:00,Change,0
REF000,2019-04-01T22:42:00,2019-04-02T03:24:59.951094,REF000,983
Change,2019-04-02T03:24:59.951094,2019-04-02T04:06:59.951094,Change,0
REF004,2019-04-02T04:06:59.951094,2019-04-02T05:59:56.589332,REF004,246.0
Idle,2019-04-02T05:59:56.589332,2019-04-02T06:00:00,Idle,0
REF004,2019-04-02T06:00:00,2019-04-02T12:33:28.044594,REF004,857.0
Change,2019-04-02T12:33:28.044594,2019-04-02T13:15:28.044594,Change,0
REF006,2019-04-02T13:15:28.044594,2019-04-02T16:59:54.295589,REF006,607.0
Idle,2019-04-02T16:59:54.295589,2019-04-02T16:59:59.999999,Idle,0
Change,2019-04-02T16:59:59.999999,2019-04-02T17:41:59.999999,Change,0
REF008,2019-04-02T17:41:59.999999,2019-04-02T21:59:36.763568,REF008,623.0
Idle,2019-04-02T21:59:36.763568,2019-04-02T21:59:59.999999,Idle,0
Change,2019-04-02T21:59:59.999999,2019-04-02T22:41:59.999999,Change,0
REF002,2019-04-02T22:41:59.999999,2019-04-03T04:14:56.377446,REF002,725
Change,2019-04-03T04:14:56.377446,2019-04-03T04:56:56.377446,Change,0
REF006,2019-04-03T04:56:56.377446,2019-04-03T05:59:47.815122,REF006,170.0
Idle,2019-04-03T05:59:47.815122,2019-04-03T05:59:59.999999,Idle,0
Change,2019-04-03T05:59:59.999999,2019-04-03T06:41:59.999999,Change,0
REF008,2019-04-03T06:41:59.999999,2019-04-03T16:59:46.460308,REF008,1494.0
Idle,2019-04-03T16:59:46.460308,2019-04-03T16:59:59.999999,Idle,0
Change,2019-04-03T16:59:59.999999,2019-04-03T17:41:59.999999,Change,0
REF006,2019-04-03T17:41:59.999999,2019-04-03T21:59:42.894470,REF006,697.0
Idle,2019-04-03T21:59:42.894470,2019-04-03T21:59:59.999999,Idle,0
REF006,2019-04-03T21:59:59.999999,2019-04-04T04:49:40.899674,REF006,1108.0
Change,2019-04-04T04:49:40.899674,2019-04-04T05:31:40.899674,Change,0
REF008,2019-04-04T05:31:40.899674,2019-04-04T05:59:47.994253,REF008,68.0
Idle,2019-04-04T05:59:47.994253,2019-04-04T05:59:59.999999,Idle,0
REF008,2019-04-04T05:59:59.999999,2019-04-04T16:59:57.102177,REF008,1596.0
Idle,2019-04-04T16:59:57.102177,2019-04-04T16:59:59.999999,Idle,0
REF008,2019-04-04T16:59:59.999999,2019-04-04T17:31:00.766079,REF008,75.0
Change,2019-04-04T17:31:00.766079,2019-04-04T18:13:00.766079,Change,0
REF004REF011,2019-04-04T18:13:00.766079,2019-04-04T21:59:37.788644,REF004REF011,494.0
Idle,2019-04-04T21:59:37.788644,2019-04-04T22:00:00,Idle,0
REF004REF011,2019-04-04T22:00:00,2019-04-05T03:38:32.960836,REF004REF011,738.0
Change,2019-04-05T03:38:32.960836,2019-04-05T04:20:32.960836,Change,0
REF006REF014,2019-04-05T04:20:32.960836,2019-04-05T05:59:55.686431,REF006REF014,309.0
Idle,2019-04-05T05:59:55.686431,2019-04-05T06:00:00,Idle,0
REF006REF014,2019-04-05T06:00:00,2019-04-05T16:59:57.129197,REF006REF014,2052.0
Idle,2019-04-05T16:59:57.129197,2019-04-05T17:00:00,Idle,0
REF006REF014,2019-04-05T17:00:00,2019-04-05T20:08:47.248947,REF006REF014,587.0
Change,2019-04-05T20:08:47.248947,2019-04-05T20:50:47.248947,Change,0
REF000REF015,2019-04-05T20:50:47.248947,2019-04-05T21:59:49.050502,REF000REF015,229.0
Idle,2019-04-05T21:59:49.050502,2019-04-05T22:00:00,Idle,0
REF000REF015,2019-04-05T22:00:00,2019-04-06T05:59:53.659720,REF000REF015,1592.0
Idle,2019-04-06T05:59:53.659720,2019-04-06T06:00:00,Idle,0
REF000REF015,2019-04-06T06:00:00,2019-04-06T19:41:07.543390,REF000REF015,2724.0
Idle,2019-04-06T19:41:07.543390,2019-04-06T22:00:00,Idle,0
Off,2019-04-06T22:00:00,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
