Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF007,2019-04-01T06:42:00,2019-04-01T07:32:31.502214,REF007,160
Change,2019-04-01T07:32:31.502214,2019-04-01T08:14:31.502214,Change,0
REF006REF012,2019-04-01T08:14:31.502214,2019-04-01T12:35:23.631218,REF006REF012,1139
Change,2019-04-01T12:35:23.631218,2019-04-01T13:17:23.631218,Change,0
REF005,2019-04-01T13:17:23.631218,2019-04-01T16:59:47.549263,REF005,484.0
Idle,2019-04-01T16:59:47.549263,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF009,2019-04-01T17:42:00,2019-04-01T21:59:43.355670,REF009,657.0
Idle,2019-04-01T21:59:43.355670,2019-04-01T22:00:00,Idle,0
REF009,2019-04-01T22:00:00,2019-04-02T05:30:19.683880,REF009,1148.0
Idle,2019-04-02T05:30:19.683880,2019-04-02T06:00:00,Idle,0
Change,2019-04-02T06:00:00,2019-04-02T06:42:00,Change,0
REF005,2019-04-02T06:42:00,2019-04-02T16:59:34.185647,REF005,1344.0
Idle,2019-04-02T16:59:34.185647,2019-04-02T17:00:00,Idle,0
REF005,2019-04-02T17:00:00,2019-04-02T20:29:59.525923,REF005,457.0
Change,2019-04-02T20:29:59.525923,2019-04-02T21:11:59.525923,Change,0
REF006,2019-04-02T21:11:59.525923,2019-04-02T21:59:41.381571,REF006,129.0
Idle,2019-04-02T21:59:41.381571,2019-04-02T22:00:00,Idle,0
REF006,2019-04-02T22:00:00,2019-04-03T05:59:56.035901,REF006,1298.0
Idle,2019-04-03T05:59:56.035901,2019-04-03T06:00:00,Idle,0
REF006,2019-04-03T06:00:00,2019-04-03T14:51:19.740824,REF006,1437.0
Change,2019-04-03T14:51:19.740824,2019-04-03T15:33:19.740824,Change,0
REF002,2019-04-03T15:33:19.740824,2019-04-03T16:59:39.822148,REF002,188.0
Idle,2019-04-03T16:59:39.822148,2019-04-03T17:00:00,Idle,0
REF002,2019-04-03T17:00:00,2019-04-03T21:59:52.516514,REF002,653.0
Idle,2019-04-03T21:59:52.516514,2019-04-03T22:00:00,Idle,0
REF002,2019-04-03T22:00:00,2019-04-04T05:59:53.537148,REF002,1045.0
Idle,2019-04-04T05:59:53.537148,2019-04-04T06:00:00,Idle,0
REF002,2019-04-04T06:00:00,2019-04-04T16:59:54.557781,REF002,1437.0
Idle,2019-04-04T16:59:54.557781,2019-04-04T17:00:00,Idle,0
REF002,2019-04-04T17:00:00,2019-04-04T21:59:52.516514,REF002,653.0
Idle,2019-04-04T21:59:52.516514,2019-04-04T22:00:00,Idle,0
REF002,2019-04-04T22:00:00,2019-04-05T05:59:53.537148,REF002,1045.0
Idle,2019-04-05T05:59:53.537148,2019-04-05T06:00:00,Idle,0
REF002,2019-04-05T06:00:00,2019-04-05T08:18:13.640843,REF002,301.0
Change,2019-04-05T08:18:13.640843,2019-04-05T09:00:13.640843,Change,0
REF003REF009,2019-04-05T09:00:13.640843,2019-04-05T16:59:24.410074,REF003REF009,752.0
Idle,2019-04-05T16:59:24.410074,2019-04-05T17:00:00,Idle,0
REF003REF009,2019-04-05T17:00:00,2019-04-05T19:44:23.960720,REF003REF009,258.0
Change,2019-04-05T19:44:23.960720,2019-04-05T20:26:23.960720,Change,0
REF005REF011,2019-04-05T20:26:23.960720,2019-04-05T21:59:48.754260,REF005REF011,234.0
Idle,2019-04-05T21:59:48.754260,2019-04-05T22:00:00,Idle,0
Change,2019-04-05T22:00:00,2019-04-05T22:42:00,Change,0
REF002REF004,2019-04-05T22:42:00,2019-04-06T05:59:43.318446,REF002REF004,975.0
Idle,2019-04-06T05:59:43.318446,2019-04-06T06:00:00,Idle,0
Change,2019-04-06T06:00:00,2019-04-06T06:42:00,Change,0
REF005REF011,2019-04-06T06:42:00,2019-04-06T21:59:45.898928,REF005REF011,2299.0
Idle,2019-04-06T21:59:45.898928,2019-04-06T22:00:00,Idle,0
Change,2019-04-06T22:00:00,2019-04-06T22:42:00,Change,0
REF002REF004,2019-04-06T22:42:00,2019-04-06T23:59:40.055478,REF002REF004,173.0
Idle,2019-04-06T23:59:40.055478,2019-04-07T00:00:00,Idle,0
Change,2019-04-07T00:00:00,2019-04-07T00:42:00,Change,0
REF005REF011,2019-04-07T00:42:00,2019-04-07T03:04:30.902965,REF005REF011,357.0
Change,2019-04-07T03:04:30.902965,2019-04-07T03:46:30.902965,Change,0
REF002REF004,2019-04-07T03:46:30.902965,2019-04-07T18:17:01.235752,REF002REF004,1939.0
Idle,2019-04-07T18:17:01.235752,2019-04-08T00:00:00,Idle,0
Idle,2019-04-08T00:00:00,2019-04-08T00:00:00,Idle,0
