Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF003REF007,2019-04-01T06:42:00,2019-04-01T10:18:00.133290,REF003REF007,762
Change,2019-04-01T10:18:00.133290,2019-04-01T11:00:00.133290,Change,0
REF005,2019-04-01T11:00:00.133290,2019-04-01T16:59:47.504839,REF005,783.0
Idle,2019-04-01T16:59:47.504839,2019-04-01T17:00:00,Idle,0
REF005,2019-04-01T17:00:00,2019-04-01T21:59:35.691251,REF005,652.0
Idle,2019-04-01T21:59:35.691251,2019-04-01T22:00:00,Idle,0
REF005,2019-04-01T22:00:00,2019-04-02T05:59:43.162065,REF005,1044.0
Idle,2019-04-02T05:59:43.162065,2019-04-02T06:00:00,Idle,0
REF005,2019-04-02T06:00:00,2019-04-02T15:34:22.598258,REF005,1250.0
Change,2019-04-02T15:34:22.598258,2019-04-02T16:16:22.598258,Change,0
REF007,2019-04-02T16:16:22.598258,2019-04-02T16:59:57.268917,REF007,138.0
Idle,2019-04-02T16:59:57.268917,2019-04-02T17:00:00,Idle,0
Change,2019-04-02T17:00:00,2019-04-02T17:42:00,Change,0
REF011,2019-04-02T17:42:00,2019-04-02T21:59:43.178136,REF011,617.0
Idle,2019-04-02T21:59:43.178136,2019-04-02T22:00:00,Idle,0
Change,2019-04-02T22:00:00,2019-04-02T22:42:00,Change,0
REF007,2019-04-02T22:42:00,2019-04-03T05:59:59.334815,REF007,1387.0
Idle,2019-04-03T05:59:59.334815,2019-04-03T06:00:00,Idle,0
Change,2019-04-03T06:00:00,2019-04-03T06:42:00,Change,0
REF011,2019-04-03T06:42:00,2019-04-03T16:59:46.516147,REF011,1479.0
Idle,2019-04-03T16:59:46.516147,2019-04-03T17:00:00,Idle,0
Change,2019-04-03T17:00:00,2019-04-03T17:42:00,Change,0
REF007,2019-04-03T17:42:00,2019-04-03T21:59:59.608179,REF007,817.0
Idle,2019-04-03T21:59:59.608179,2019-04-03T22:00:00,Idle,0
Change,2019-04-03T22:00:00,2019-04-03T22:42:00,Change,0
REF011,2019-04-03T22:42:00,2019-04-04T05:59:44.847141,REF011,1048.0
Idle,2019-04-04T05:59:44.847141,2019-04-04T06:00:00,Idle,0
REF011,2019-04-04T06:00:00,2019-04-04T15:33:04.895303,REF011,1372.0
Change,2019-04-04T15:33:04.895303,2019-04-04T16:15:04.895303,Change,0
REF007,2019-04-04T16:15:04.895303,2019-04-04T16:59:55.353518,REF007,142.0
Idle,2019-04-04T16:59:55.353518,2019-04-04T17:00:00,Idle,0
Change,2019-04-04T17:00:00,2019-04-04T17:42:00,Change,0
REF001,2019-04-04T17:42:00,2019-04-04T21:59:59.664139,REF001,685.0
Idle,2019-04-04T21:59:59.664139,2019-04-04T22:00:00,Idle,0
Change,2019-04-04T22:00:00,2019-04-04T22:42:00,Change,0
REF007,2019-04-04T22:42:00,2019-04-05T05:59:59.334815,REF007,1387.0
Idle,2019-04-05T05:59:59.334815,2019-04-05T06:00:00,Idle,0
Change,2019-04-05T06:00:00,2019-04-05T06:42:00,Change,0
REF001,2019-04-05T06:42:00,2019-04-05T16:02:48.496208,REF001,1489.0
Change,2019-04-05T16:02:48.496208,2019-04-05T16:44:48.496208,Change,0
REF007,2019-04-05T16:44:48.496208,2019-04-05T16:59:57.946872,REF007,48.0
Idle,2019-04-05T16:59:57.946872,2019-04-05T17:00:00,Idle,0
REF007,2019-04-05T17:00:00,2019-04-05T21:59:59.544394,REF007,950.0
Idle,2019-04-05T21:59:59.544394,2019-04-05T22:00:00,Idle,0
REF007,2019-04-05T22:00:00,2019-04-06T03:03:09.013282,REF007,960.0
Change,2019-04-06T03:03:09.013282,2019-04-06T03:45:09.013282,Change,0
REF005REF014,2019-04-06T03:45:09.013282,2019-04-06T05:59:34.612146,REF005REF014,295.0
Idle,2019-04-06T05:59:34.612146,2019-04-06T06:00:00,Idle,0
Change,2019-04-06T06:00:00,2019-04-06T06:42:00,Change,0
REF004REF011,2019-04-06T06:42:00,2019-04-06T18:06:26.311066,REF004REF011,1492
Change,2019-04-06T18:06:26.311066,2019-04-06T18:48:26.311066,Change,0
REF005REF014,2019-04-06T18:48:26.311066,2019-04-06T21:59:49.536567,REF005REF014,420.0
Idle,2019-04-06T21:59:49.536567,2019-04-06T22:00:00,Idle,0
Change,2019-04-06T22:00:00,2019-04-06T22:42:00,Change,0
REF001REF016,2019-04-06T22:42:00,2019-04-06T23:59:47.806180,REF001REF016,262.0
Idle,2019-04-06T23:59:47.806180,2019-04-07T00:00:00,Idle,0
REF001REF016,2019-04-07T00:00:00,2019-04-07T12:14:01.285793,REF001REF016,2472.0
Change,2019-04-07T12:14:01.285793,2019-04-07T12:56:01.285793,Change,0
REF005REF014,2019-04-07T12:56:01.285793,2019-04-07T23:59:57.141876,REF005REF014,1457.0
Idle,2019-04-07T23:59:57.141876,2019-04-08T00:00:00,Idle,0
REF005REF014,2019-04-08T00:00:00,2019-04-08T05:59:59.400347,REF005REF014,790.0
Idle,2019-04-08T05:59:59.400347,2019-04-08T06:00:00,Idle,0
