Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF010,2019-04-01T06:42:00,2019-04-01T06:47:51.610304,REF010,13
Change,2019-04-01T06:47:51.610304,2019-04-01T07:29:51.610304,Change,0
REF013,2019-04-01T07:29:51.610304,2019-04-01T10:37:02.933179,REF013,478
Change,2019-04-01T10:37:02.933179,2019-04-01T11:19:02.933179,Change,0
REF003REF007,2019-04-01T11:19:02.933179,2019-04-01T13:58:55.472780,REF003REF007,564
Change,2019-04-01T13:58:55.472780,2019-04-01T14:40:55.472780,Change,0
REF005,2019-04-01T14:40:55.472780,2019-04-01T16:59:41.636519,REF005,302.0
Idle,2019-04-01T16:59:41.636519,2019-04-01T17:00:00.000001,Idle,0
REF005,2019-04-01T17:00:00.000001,2019-04-01T21:59:35.691252,REF005,652.0
Idle,2019-04-01T21:59:35.691252,2019-04-01T22:00:00.000001,Idle,0
REF005,2019-04-01T22:00:00.000001,2019-04-02T05:59:43.162066,REF005,1044.0
Idle,2019-04-02T05:59:43.162066,2019-04-02T06:00:00.000001,Idle,0
REF005,2019-04-02T06:00:00.000001,2019-04-02T06:35:22.896054,REF005,77.0
Change,2019-04-02T06:35:22.896054,2019-04-02T07:17:22.896054,Change,0
REF004REF011,2019-04-02T07:17:22.896054,2019-04-02T12:38:02.407740,REF004REF011,699
Change,2019-04-02T12:38:02.407740,2019-04-02T13:20:02.407740,Change,0
REF007,2019-04-02T13:20:02.407740,2019-04-02T16:59:49.442370,REF007,696.0
Idle,2019-04-02T16:59:49.442370,2019-04-02T17:00:00.000002,Idle,0
Change,2019-04-02T17:00:00.000002,2019-04-02T17:42:00.000002,Change,0
REF011,2019-04-02T17:42:00.000002,2019-04-02T21:59:43.178138,REF011,617.0
Idle,2019-04-02T21:59:43.178138,2019-04-02T22:00:00.000002,Idle,0
Change,2019-04-02T22:00:00.000002,2019-04-02T22:42:00.000002,Change,0
REF007,2019-04-02T22:42:00.000002,2019-04-03T05:59:59.334817,REF007,1387.0
Idle,2019-04-03T05:59:59.334817,2019-04-03T06:00:00.000002,Idle,0
REF007,2019-04-03T06:00:00.000002,2019-04-03T16:18:18.008342,REF007,1958.0
Idle,2019-04-03T16:18:18.008342,2019-04-03T17:00:00.000002,Idle,0
Change,2019-04-03T17:00:00.000002,2019-04-03T17:42:00.000002,Change,0
REF011,2019-04-03T17:42:00.000002,2019-04-03T21:59:43.178138,REF011,617.0
Idle,2019-04-03T21:59:43.178138,2019-04-03T22:00:00.000002,Idle,0
REF011,2019-04-03T22:00:00.000002,2019-04-04T05:59:56.096725,REF011,1149.0
Idle,2019-04-04T05:59:56.096725,2019-04-04T06:00:00.000002,Idle,0
REF011,2019-04-04T06:00:00.000002,2019-04-04T12:56:01.629537,REF011,996.0
Idle,2019-04-04T12:56:01.629537,2019-04-04T17:00:00.000002,Idle,0
Off,2019-04-04T17:00:00.000002,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
