Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF006REF015,2019-04-01T06:42:00,2019-04-01T10:24:09.912835,REF006REF015,803
Change,2019-04-01T10:24:09.912835,2019-04-01T11:06:09.912835,Change,0
REF009,2019-04-01T11:06:09.912835,2019-04-01T16:59:59.664455,REF009,902.0
Idle,2019-04-01T16:59:59.664455,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF012,2019-04-01T17:42:00,2019-04-01T21:59:45.988667,REF012,462.0
Idle,2019-04-01T21:59:45.988667,2019-04-01T22:00:00,Idle,0
Change,2019-04-01T22:00:00,2019-04-01T22:42:00,Change,0
REF009,2019-04-01T22:42:00,2019-04-02T05:59:46.521960,REF009,1116.0
Idle,2019-04-02T05:59:46.521960,2019-04-02T06:00:00,Idle,0
REF009,2019-04-02T06:00:00,2019-04-02T16:59:48.073420,REF009,1682.0
Idle,2019-04-02T16:59:48.073420,2019-04-02T17:00:00,Idle,0
Change,2019-04-02T17:00:00,2019-04-02T17:42:00,Change,0
REF012,2019-04-02T17:42:00,2019-04-02T21:59:45.988667,REF012,462.0
Idle,2019-04-02T21:59:45.988667,2019-04-02T22:00:00,Idle,0
Change,2019-04-02T22:00:00,2019-04-02T22:42:00,Change,0
REF009,2019-04-02T22:42:00,2019-04-03T05:59:46.521960,REF009,1116.0
Idle,2019-04-03T05:59:46.521960,2019-04-03T06:00:00,Idle,0
REF009,2019-04-03T06:00:00,2019-04-03T12:38:56.427270,REF009,1017.0
Change,2019-04-03T12:38:56.427270,2019-04-03T13:20:56.427270,Change,0
REF012,2019-04-03T13:20:56.427270,2019-04-03T16:59:39.084321,REF012,392.0
Idle,2019-04-03T16:59:39.084321,2019-04-03T17:00:00,Idle,0
Change,2019-04-03T17:00:00,2019-04-03T17:42:00,Change,0
REF006,2019-04-03T17:42:00,2019-04-03T21:59:42.894471,REF006,697.0
Idle,2019-04-03T21:59:42.894471,2019-04-03T22:00:00,Idle,0
Change,2019-04-03T22:00:00,2019-04-03T22:42:00,Change,0
REF012,2019-04-03T22:42:00,2019-04-04T05:59:58.790268,REF012,785.0
Idle,2019-04-04T05:59:58.790268,2019-04-04T06:00:00,Idle,0
Change,2019-04-04T06:00:00,2019-04-04T06:42:00,Change,0
REF006,2019-04-04T06:42:00,2019-04-04T16:59:51.013860,REF006,1671.0
Idle,2019-04-04T16:59:51.013860,2019-04-04T17:00:00,Idle,0
REF006,2019-04-04T17:00:00,2019-04-04T17:52:30.259706,REF006,142.0
Change,2019-04-04T17:52:30.259706,2019-04-04T18:34:30.259706,Change,0
REF012,2019-04-04T18:34:30.259706,2019-04-04T21:59:49.488774,REF012,368.0
Idle,2019-04-04T21:59:49.488774,2019-04-04T22:00:00,Idle,0
Change,2019-04-04T22:00:00,2019-04-04T22:42:00,Change,0
REF001,2019-04-04T22:42:00,2019-04-05T05:59:38.933911,REF001,1162.0
Idle,2019-04-05T05:59:38.933911,2019-04-05T06:00:00,Idle,0
REF001,2019-04-05T06:00:00,2019-04-05T14:39:45.308776,REF001,1380.0
Change,2019-04-05T14:39:45.308776,2019-04-05T15:21:45.308776,Change,0
REF012,2019-04-05T15:21:45.308776,2019-04-05T16:59:57.113983,REF012,176.0
Idle,2019-04-05T16:59:57.113983,2019-04-05T17:00:00.000001,Idle,0
REF012,2019-04-05T17:00:00.000001,2019-04-05T21:59:36.701114,REF012,537.0
Idle,2019-04-05T21:59:36.701114,2019-04-05T22:00:00.000001,Idle,0
REF012,2019-04-05T22:00:00.000001,2019-04-06T05:59:49.502715,REF012,860.0
Idle,2019-04-06T05:59:49.502715,2019-04-06T06:00:00.000001,Idle,0
Change,2019-04-06T06:00:00.000001,2019-04-06T06:42:00.000001,Change,0
REF004REF012,2019-04-06T06:42:00.000001,2019-04-06T13:56:32.356014,REF004REF012,731
Change,2019-04-06T13:56:32.356014,2019-04-06T14:38:32.356014,Change,0
REF012,2019-04-06T14:38:32.356014,2019-04-06T21:59:52.003278,REF012,791.0
Idle,2019-04-06T21:59:52.003278,2019-04-06T22:00:00.000001,Idle,0
REF012,2019-04-06T22:00:00.000001,2019-04-06T23:59:57.375680,REF012,215.0
Idle,2019-04-06T23:59:57.375680,2019-04-07T00:00:00.000001,Idle,0
REF012,2019-04-07T00:00:00.000001,2019-04-07T07:24:07.028095,REF012,796.0
Change,2019-04-07T07:24:07.028095,2019-04-07T08:06:07.028095,Change,0
REF009REF017,2019-04-07T08:06:07.028095,2019-04-07T22:07:24.422254,REF009REF017,3642
Change,2019-04-07T22:07:24.422254,2019-04-07T22:49:24.422254,Change,0
REF001REF018,2019-04-07T22:49:24.422254,2019-04-07T23:59:50.857478,REF001REF018,256.0
Idle,2019-04-07T23:59:50.857478,2019-04-08T00:00:00.000001,Idle,0
REF001REF018,2019-04-08T00:00:00.000001,2019-04-08T05:59:54.442472,REF001REF018,1308.0
Idle,2019-04-08T05:59:54.442472,2019-04-08T06:00:00.000001,Idle,0
