Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF005,2019-04-01T06:42:00,2019-04-01T06:47:03.270865,REF005,11
Change,2019-04-01T06:47:03.270865,2019-04-01T07:29:03.270865,Change,0
REF000REF015,2019-04-01T07:29:03.270865,2019-04-01T10:07:36.753913,REF000REF015,526
Change,2019-04-01T10:07:36.753913,2019-04-01T10:49:36.753913,Change,0
REF004,2019-04-01T10:49:36.753913,2019-04-01T16:59:39.885702,REF004,806.0
Idle,2019-04-01T16:59:39.885702,2019-04-01T17:00:00,Idle,0
REF004,2019-04-01T17:00:00,2019-04-01T21:59:48.393372,REF004,653.0
Idle,2019-04-01T21:59:48.393372,2019-04-01T22:00:00,Idle,0
REF004,2019-04-01T22:00:00,2019-04-02T05:59:46.938858,REF004,1045.0
Idle,2019-04-02T05:59:46.938858,2019-04-02T06:00:00,Idle,0
REF004,2019-04-02T06:00:00,2019-04-02T06:55:05.677189,REF004,120.0
Change,2019-04-02T06:55:05.677189,2019-04-02T07:37:05.677189,Change,0
REF000,2019-04-02T07:37:05.677189,2019-04-02T16:06:05.406115,REF000,1768
Change,2019-04-02T16:06:05.406115,2019-04-02T16:48:05.406115,Change,0
REF008,2019-04-02T16:48:05.406115,2019-04-02T16:59:40.092118,REF008,28.0
Idle,2019-04-02T16:59:40.092118,2019-04-02T17:00:00,Idle,0
Change,2019-04-02T17:00:00,2019-04-02T17:42:00,Change,0
REF006,2019-04-02T17:42:00,2019-04-02T21:59:42.894471,REF006,697.0
Idle,2019-04-02T21:59:42.894471,2019-04-02T22:00:00,Idle,0
Change,2019-04-02T22:00:00,2019-04-02T22:42:00,Change,0
REF008,2019-04-02T22:42:00,2019-04-03T05:59:54.017047,REF008,1059.0
Idle,2019-04-03T05:59:54.017047,2019-04-03T06:00:00,Idle,0
Change,2019-04-03T06:00:00,2019-04-03T06:42:00,Change,0
REF006,2019-04-03T06:42:00,2019-04-03T16:59:51.013860,REF006,1671.0
Idle,2019-04-03T16:59:51.013860,2019-04-03T17:00:00,Idle,0
Change,2019-04-03T17:00:00,2019-04-03T17:42:00,Change,0
REF008,2019-04-03T17:42:00,2019-04-03T21:59:36.763569,REF008,623.0
Idle,2019-04-03T21:59:36.763569,2019-04-03T22:00:00,Idle,0
Change,2019-04-03T22:00:00,2019-04-03T22:42:00,Change,0
REF006,2019-04-03T22:42:00,2019-04-04T04:12:11.140262,REF006,893.0
Change,2019-04-04T04:12:11.140262,2019-04-04T04:54:11.140262,Change,0
REF008,2019-04-04T04:54:11.140262,2019-04-04T05:59:55.964351,REF008,159.0
Idle,2019-04-04T05:59:55.964351,2019-04-04T06:00:00,Idle,0
Change,2019-04-04T06:00:00,2019-04-04T06:42:00,Change,0
REF001REF003,2019-04-04T06:42:00,2019-04-04T14:00:01.403123,REF001REF003,691
Change,2019-04-04T14:00:01.403123,2019-04-04T14:42:01.403123,Change,0
REF008,2019-04-04T14:42:01.403123,2019-04-04T16:59:43.204517,REF008,333.0
Idle,2019-04-04T16:59:43.204517,2019-04-04T17:00:00,Idle,0
Change,2019-04-04T17:00:00,2019-04-04T17:42:00,Change,0
REF001,2019-04-04T17:42:00,2019-04-04T21:59:59.664139,REF001,685.0
Idle,2019-04-04T21:59:59.664139,2019-04-04T22:00:00,Idle,0
Change,2019-04-04T22:00:00,2019-04-04T22:42:00,Change,0
REF008,2019-04-04T22:42:00,2019-04-05T05:59:54.017047,REF008,1059.0
Idle,2019-04-05T05:59:54.017047,2019-04-05T06:00:00,Idle,0
REF008,2019-04-05T06:00:00,2019-04-05T11:53:07.923095,REF008,854.0
Change,2019-04-05T11:53:07.923095,2019-04-05T12:35:07.923095,Change,0
REF001,2019-04-05T12:35:07.923095,2019-04-05T16:59:54.352131,REF001,703.0
