Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF007,2019-04-01T06:42:00,2019-04-01T10:06:37.583965,REF007,648
Change,2019-04-01T10:06:37.583965,2019-04-01T10:48:37.583965,Change,0
REF004,2019-04-01T10:48:37.583965,2019-04-01T16:59:35.810374,REF004,808.0
Idle,2019-04-01T16:59:35.810374,2019-04-01T17:00:00,Idle,0
REF004,2019-04-01T17:00:00,2019-04-01T21:59:48.393372,REF004,653.0
Idle,2019-04-01T21:59:48.393372,2019-04-01T22:00:00,Idle,0
REF004,2019-04-01T22:00:00,2019-04-01T22:53:15.487950,REF004,116.0
Change,2019-04-01T22:53:15.487950,2019-04-01T23:35:15.487950,Change,0
REF000REF007,2019-04-01T23:35:15.487950,2019-04-02T02:46:41.517635,REF000REF007,637
Change,2019-04-02T02:46:41.517635,2019-04-02T03:28:41.517635,Change,0
REF006,2019-04-02T03:28:41.517635,2019-04-02T05:59:55.152984,REF006,409.0
Idle,2019-04-02T05:59:55.152984,2019-04-02T06:00:00,Idle,0
Change,2019-04-02T06:00:00,2019-04-02T06:42:00,Change,0
REF005REF013,2019-04-02T06:42:00,2019-04-02T11:18:07.290255,REF005REF013,621
Change,2019-04-02T11:18:07.290255,2019-04-02T12:00:07.290255,Change,0
REF006,2019-04-02T12:00:07.290255,2019-04-02T16:59:59.266461,REF006,811.0
Idle,2019-04-02T16:59:59.266461,2019-04-02T16:59:59.999999,Idle,0
Change,2019-04-02T16:59:59.999999,2019-04-02T17:41:59.999999,Change,0
REF013,2019-04-02T17:41:59.999999,2019-04-02T21:59:40.691320,REF013,658.0
Idle,2019-04-02T21:59:40.691320,2019-04-02T21:59:59.999999,Idle,0
REF013,2019-04-02T21:59:59.999999,2019-04-03T04:18:17.610662,REF013,966.0
Change,2019-04-03T04:18:17.610662,2019-04-03T05:00:17.610662,Change,0
REF006,2019-04-03T05:00:17.610662,2019-04-03T05:59:49.383990,REF006,161.0
Idle,2019-04-03T05:59:49.383990,2019-04-03T05:59:59.999999,Idle,0
REF006,2019-04-03T05:59:59.999999,2019-04-03T11:31:17.695043,REF006,896.0
Change,2019-04-03T11:31:17.695043,2019-04-03T12:13:17.695043,Change,0
REF010,2019-04-03T12:13:17.695043,2019-04-03T16:59:59.552979,REF010,636.0
Idle,2019-04-03T16:59:59.552979,2019-04-03T16:59:59.999999,Idle,0
Change,2019-04-03T16:59:59.999999,2019-04-03T17:41:59.999999,Change,0
REF008,2019-04-03T17:41:59.999999,2019-04-03T21:59:36.763568,REF008,623.0
Idle,2019-04-03T21:59:36.763568,2019-04-03T21:59:59.999999,Idle,0
REF008,2019-04-03T21:59:59.999999,2019-04-04T05:29:03.892834,REF008,1086.0
Idle,2019-04-04T05:29:03.892834,2019-04-04T05:59:59.999999,Idle,0
Change,2019-04-04T05:59:59.999999,2019-04-04T06:41:59.999999,Change,0
REF004REF012,2019-04-04T06:41:59.999999,2019-04-04T11:00:35.013495,REF004REF012,435
Change,2019-04-04T11:00:35.013495,2019-04-04T11:42:35.013495,Change,0
REF010,2019-04-04T11:42:35.013495,2019-04-04T16:59:56.063789,REF010,704.0
Idle,2019-04-04T16:59:56.063789,2019-04-04T16:59:59.999999,Idle,0
REF010,2019-04-04T16:59:59.999999,2019-04-04T21:59:46.219382,REF010,665.0
Idle,2019-04-04T21:59:46.219382,2019-04-04T21:59:59.999999,Idle,0
REF010,2019-04-04T21:59:59.999999,2019-04-05T05:46:06.542618,REF010,1034.0
Idle,2019-04-05T05:46:06.542618,2019-04-05T05:59:59.999999,Idle,0
Change,2019-04-05T05:59:59.999999,2019-04-05T06:41:59.999999,Change,0
REF003REF010,2019-04-05T06:41:59.999999,2019-04-05T11:37:44.077688,REF003REF010,573
Change,2019-04-05T11:37:44.077688,2019-04-05T12:19:44.077688,Change,0
REF002REF006,2019-04-05T12:19:44.077688,2019-04-05T16:59:41.605499,REF002REF006,594.0
Idle,2019-04-05T16:59:41.605499,2019-04-05T16:59:59.999999,Idle,0
REF002REF006,2019-04-05T16:59:59.999999,2019-04-05T21:59:45.231797,REF002REF006,636.0
Idle,2019-04-05T21:59:45.231797,2019-04-05T21:59:59.999999,Idle,0
REF002REF006,2019-04-05T21:59:59.999999,2019-04-06T03:18:08.099784,REF002REF006,675.0
Idle,2019-04-06T03:18:08.099784,2019-04-06T05:59:59.999999,Idle,0
Off,2019-04-06T05:59:59.999999,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
