Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF010,2019-04-01T06:42:00,2019-04-01T08:09:27.107609,REF010,194
Change,2019-04-01T08:09:27.107609,2019-04-01T08:51:27.107609,Change,0
REF004REF012,2019-04-01T08:51:27.107609,2019-04-01T11:53:21.117103,REF004REF012,306
Change,2019-04-01T11:53:21.117103,2019-04-01T12:35:21.117103,Change,0
REF004,2019-04-01T12:35:21.117103,2019-04-01T16:59:48.367612,REF004,576.0
Idle,2019-04-01T16:59:48.367612,2019-04-01T17:00:00,Idle,0
REF004,2019-04-01T17:00:00,2019-04-01T20:13:17.417473,REF004,421.0
Change,2019-04-01T20:13:17.417473,2019-04-01T20:55:17.417473,Change,0
REF005,2019-04-01T20:55:17.417473,2019-04-01T21:59:37.228478,REF005,140.0
Idle,2019-04-01T21:59:37.228478,2019-04-01T22:00:00,Idle,0
Change,2019-04-01T22:00:00,2019-04-01T22:42:00,Change,0
REF009,2019-04-01T22:42:00,2019-04-02T05:59:46.521960,REF009,1116.0
Idle,2019-04-02T05:59:46.521960,2019-04-02T06:00:00,Idle,0
Change,2019-04-02T06:00:00,2019-04-02T06:42:00,Change,0
REF001REF009,2019-04-02T06:42:00,2019-04-02T11:27:21.264680,REF001REF009,693
Change,2019-04-02T11:27:21.264680,2019-04-02T12:09:21.264680,Change,0
REF005,2019-04-02T12:09:21.264680,2019-04-02T16:59:45.554359,REF005,632.0
Idle,2019-04-02T16:59:45.554359,2019-04-02T17:00:00,Idle,0
Change,2019-04-02T17:00:00,2019-04-02T17:42:00,Change,0
REF009,2019-04-02T17:42:00,2019-04-02T21:59:43.355670,REF009,657.0
Idle,2019-04-02T21:59:43.355670,2019-04-02T22:00:00,Idle,0
Change,2019-04-02T22:00:00,2019-04-02T22:42:00,Change,0
REF005,2019-04-02T22:42:00,2019-04-03T04:47:18.212492,REF005,795.0
Change,2019-04-03T04:47:18.212492,2019-04-03T05:29:18.212492,Change,0
REF009,2019-04-03T05:29:18.212492,2019-04-03T05:59:54.044672,REF009,78.0
Idle,2019-04-03T05:59:54.044672,2019-04-03T06:00:00,Idle,0
Change,2019-04-03T06:00:00,2019-04-03T06:42:00,Change,0
REF001REF005,2019-04-03T06:42:00,2019-04-03T10:33:34.957143,REF001REF005,966
Change,2019-04-03T10:33:34.957143,2019-04-03T11:15:34.957143,Change,0
REF009,2019-04-03T11:15:34.957143,2019-04-03T16:59:59.837323,REF009,878.0
Idle,2019-04-03T16:59:59.837323,2019-04-03T17:00:00,Idle,0
Change,2019-04-03T17:00:00,2019-04-03T17:42:00,Change,0
REF007,2019-04-03T17:42:00,2019-04-03T21:59:59.608179,REF007,817.0
Idle,2019-04-03T21:59:59.608179,2019-04-03T22:00:00,Idle,0
REF007,2019-04-03T22:00:00,2019-04-04T03:17:21.623280,REF007,1005.0
Change,2019-04-04T03:17:21.623280,2019-04-04T03:59:21.623280,Change,0
REF009,2019-04-04T03:59:21.623280,2019-04-04T05:59:47.270450,REF009,307.0
Idle,2019-04-04T05:59:47.270450,2019-04-04T06:00:00,Idle,0
Change,2019-04-04T06:00:00,2019-04-04T06:42:00,Change,0
REF005REF013,2019-04-04T06:42:00,2019-04-04T13:14:37.032682,REF005REF013,883
Change,2019-04-04T13:14:37.032682,2019-04-04T13:56:37.032682,Change,0
REF009,2019-04-04T13:56:37.032682,2019-04-04T16:59:48.489452,REF009,467.0
Idle,2019-04-04T16:59:48.489452,2019-04-04T17:00:00,Idle,0
Change,2019-04-04T17:00:00,2019-04-04T17:42:00,Change,0
REF013,2019-04-04T17:42:00,2019-04-04T21:59:40.691321,REF013,658.0
Idle,2019-04-04T21:59:40.691321,2019-04-04T22:00:00,Idle,0
Change,2019-04-04T22:00:00,2019-04-04T22:42:00,Change,0
REF009,2019-04-04T22:42:00,2019-04-05T05:59:46.521960,REF009,1116.0
Idle,2019-04-05T05:59:46.521960,2019-04-05T06:00:00,Idle,0
REF009,2019-04-05T06:00:00,2019-04-05T16:59:48.073420,REF009,1682.0
Idle,2019-04-05T16:59:48.073420,2019-04-05T17:00:00,Idle,0
REF009,2019-04-05T17:00:00,2019-04-05T20:33:47.288950,REF009,545.0
Change,2019-04-05T20:33:47.288950,2019-04-05T21:15:47.288950,Change,0
REF013,2019-04-05T21:15:47.288950,2019-04-05T21:59:38.895983,REF013,112.0
Idle,2019-04-05T21:59:38.895983,2019-04-05T22:00:00,Idle,0
Change,2019-04-05T22:00:00,2019-04-05T22:42:00,Change,0
REF011,2019-04-05T22:42:00,2019-04-06T05:59:44.847141,REF011,1048.0
Idle,2019-04-06T05:59:44.847141,2019-04-06T06:00:00,Idle,0
REF011,2019-04-06T06:00:00,2019-04-06T18:00:06.676023,REF011,1724.0
Change,2019-04-06T18:00:06.676023,2019-04-06T18:42:06.676023,Change,0
REF013,2019-04-06T18:42:06.676023,2019-04-06T21:59:52.404165,REF013,505.0
Idle,2019-04-06T21:59:52.404165,2019-04-06T22:00:00.000001,Idle,0
REF013,2019-04-06T22:00:00.000001,2019-04-06T23:59:49.926360,REF013,306.0
Idle,2019-04-06T23:59:49.926360,2019-04-07T00:00:00.000001,Idle,0
REF013,2019-04-07T00:00:00.000001,2019-04-07T23:20:46.949630,REF013,3577.0
Idle,2019-04-07T23:20:46.949630,2019-04-08T00:00:00.000001,Idle,0
Idle,2019-04-08T00:00:00.000001,2019-04-08T00:00:00.000001,Idle,0
