Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF004,2019-04-01T06:42:00,2019-04-01T16:59:58.679141,REF004,1346.0
Idle,2019-04-01T16:59:58.679141,2019-04-01T17:00:00,Idle,0
REF004,2019-04-01T17:00:00,2019-04-01T21:59:48.393372,REF004,653.0
Idle,2019-04-01T21:59:48.393372,2019-04-01T22:00:00,Idle,0
REF004,2019-04-01T22:00:00,2019-04-01T22:26:10.196665,REF004,57.0
Change,2019-04-01T22:26:10.196665,2019-04-01T23:08:10.196665,Change,0
REF007,2019-04-01T23:08:10.196665,2019-04-02T05:59:56.939706,REF007,1304.0
Idle,2019-04-02T05:59:56.939706,2019-04-02T06:00:00,Idle,0
REF007,2019-04-02T06:00:00,2019-04-02T09:41:21.769074,REF007,701.0
Change,2019-04-02T09:41:21.769074,2019-04-02T10:23:21.769074,Change,0
REF006,2019-04-02T10:23:21.769074,2019-04-02T16:59:44.011359,REF006,1072.0
Idle,2019-04-02T16:59:44.011359,2019-04-02T17:00:00,Idle,0
Change,2019-04-02T17:00:00,2019-04-02T17:42:00,Change,0
REF013,2019-04-02T17:42:00,2019-04-02T21:59:40.691321,REF013,658.0
Idle,2019-04-02T21:59:40.691321,2019-04-02T22:00:00,Idle,0
Change,2019-04-02T22:00:00,2019-04-02T22:42:00,Change,0
REF006,2019-04-02T22:42:00,2019-04-03T05:59:46.954166,REF006,1184.0
Idle,2019-04-03T05:59:46.954166,2019-04-03T06:00:00,Idle,0
REF006,2019-04-03T06:00:00,2019-04-03T12:03:05.598810,REF006,982.0
Change,2019-04-03T12:03:05.598810,2019-04-03T12:45:05.598810,Change,0
REF013,2019-04-03T12:45:05.598810,2019-04-03T16:59:38.318200,REF013,650.0
Idle,2019-04-03T16:59:38.318200,2019-04-03T17:00:00,Idle,0
Change,2019-04-03T17:00:00,2019-04-03T17:42:00,Change,0
REF010,2019-04-03T17:42:00,2019-04-03T21:59:50.853364,REF010,572.0
Idle,2019-04-03T21:59:50.853364,2019-04-03T22:00:00,Idle,0
Change,2019-04-03T22:00:00,2019-04-03T22:42:00,Change,0
REF013,2019-04-03T22:42:00,2019-04-04T05:59:49.077351,REF013,1118.0
Idle,2019-04-04T05:59:49.077351,2019-04-04T06:00:00,Idle,0
REF013,2019-04-04T06:00:00,2019-04-04T07:19:29.787748,REF013,203.0
Change,2019-04-04T07:19:29.787748,2019-04-04T08:01:29.787748,Change,0
REF010,2019-04-04T08:01:29.787748,2019-04-04T16:59:43.841798,REF010,1194.0
Idle,2019-04-04T16:59:43.841798,2019-04-04T17:00:00,Idle,0
REF010,2019-04-04T17:00:00,2019-04-04T21:59:46.219383,REF010,665.0
Idle,2019-04-04T21:59:46.219383,2019-04-04T22:00:00,Idle,0
REF010,2019-04-04T22:00:00,2019-04-05T01:17:53.609487,REF010,439.0
Change,2019-04-05T01:17:53.609487,2019-04-05T01:59:53.609487,Change,0
REF005REF013,2019-04-05T01:59:53.609487,2019-04-05T05:59:59.948839,REF005REF013,540.0
Idle,2019-04-05T05:59:59.948839,2019-04-05T05:59:59.999999,Idle,0
REF005REF013,2019-04-05T05:59:59.999999,2019-04-05T11:33:02.126249,REF005REF013,749.0
Change,2019-04-05T11:33:02.126249,2019-04-05T12:15:02.126249,Change,0
REF002REF006,2019-04-05T12:15:02.126249,2019-04-05T16:59:42.440723,REF002REF006,604.0
Idle,2019-04-05T16:59:42.440723,2019-04-05T16:59:59.999999,Idle,0
Change,2019-04-05T16:59:59.999999,2019-04-05T17:41:59.999999,Change,0
REF004REF012,2019-04-05T17:41:59.999999,2019-04-05T21:59:59.346797,REF004REF012,434.0
Idle,2019-04-05T21:59:59.346797,2019-04-05T21:59:59.999999,Idle,0
REF004REF012,2019-04-05T21:59:59.999999,2019-04-06T00:36:20.341492,REF004REF012,263.0
Change,2019-04-06T00:36:20.341492,2019-04-06T01:18:20.341492,Change,0
REF002REF006,2019-04-06T01:18:20.341492,2019-04-06T05:59:42.705302,REF002REF006,597.0
Idle,2019-04-06T05:59:42.705302,2019-04-06T05:59:59.999999,Idle,0
REF002REF006,2019-04-06T05:59:59.999999,2019-04-06T09:22:11.547862,REF002REF006,429.0
Change,2019-04-06T09:22:11.547862,2019-04-06T10:04:11.547862,Change,0
REF000REF007,2019-04-06T10:04:11.547862,2019-04-06T15:34:10.073127,REF000REF007,1098
Change,2019-04-06T15:34:10.073127,2019-04-06T16:16:10.073127,Change,0
REF003REF010,2019-04-06T16:16:10.073127,2019-04-06T21:59:54.079655,REF003REF010,666.0
Idle,2019-04-06T21:59:54.079655,2019-04-06T21:59:59.999998,Idle,0
REF003REF010,2019-04-06T21:59:59.999998,2019-04-06T23:59:44.338609,REF003REF010,232.0
Idle,2019-04-06T23:59:44.338609,2019-04-06T23:59:59.999998,Idle,0
REF003REF010,2019-04-06T23:59:59.999998,2019-04-07T02:45:09.432564,REF003REF010,320.0
Idle,2019-04-07T02:45:09.432564,2019-04-07T23:59:59.999998,Idle,0
Idle,2019-04-07T23:59:59.999998,2019-04-07T23:59:59.999998,Idle,0
