Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF006REF014,2019-04-01T06:42:00,2019-04-01T10:53:10.837185,REF006REF014,781
Change,2019-04-01T10:53:10.837185,2019-04-01T11:35:10.837185,Change,0
REF003,2019-04-01T11:35:10.837185,2019-04-01T16:59:52.483263,REF003,644.0
Idle,2019-04-01T16:59:52.483263,2019-04-01T17:00:00.000001,Idle,0
REF003,2019-04-01T17:00:00.000001,2019-04-01T21:59:59.346921,REF003,595.0
Idle,2019-04-01T21:59:59.346921,2019-04-01T22:00:00.000001,Idle,0
REF003,2019-04-01T22:00:00.000001,2019-04-02T05:59:58.955072,REF003,952.0
Idle,2019-04-02T05:59:58.955072,2019-04-02T06:00:00.000001,Idle,0
Change,2019-04-02T06:00:00.000001,2019-04-02T06:42:00.000001,Change,0
REF006,2019-04-02T06:42:00.000001,2019-04-02T14:14:34.351267,REF006,1224
Change,2019-04-02T14:14:34.351267,2019-04-02T14:56:34.351267,Change,0
REF003,2019-04-02T14:56:34.351267,2019-04-02T16:59:35.596054,REF003,244.0
Idle,2019-04-02T16:59:35.596054,2019-04-02T17:00:00.000001,Idle,0
REF003,2019-04-02T17:00:00.000001,2019-04-02T21:59:59.346921,REF003,595.0
Idle,2019-04-02T21:59:59.346921,2019-04-02T22:00:00.000001,Idle,0
REF003,2019-04-02T22:00:00.000001,2019-04-03T01:49:54.457472,REF003,456.0
Change,2019-04-03T01:49:54.457472,2019-04-03T02:31:54.457472,Change,0
REF012,2019-04-03T02:31:54.457472,2019-04-03T05:59:27.591204,REF012,372.0
Idle,2019-04-03T05:59:27.591204,2019-04-03T06:00:00.000001,Idle,0
Change,2019-04-03T06:00:00.000001,2019-04-03T06:42:00.000001,Change,0
REF010REF013,2019-04-03T06:42:00.000001,2019-04-03T13:14:54.388550,REF010REF013,775
Change,2019-04-03T13:14:54.388550,2019-04-03T13:56:54.388550,Change,0
REF012,2019-04-03T13:56:54.388550,2019-04-03T16:59:54.570981,REF012,328.0
Idle,2019-04-03T16:59:54.570981,2019-04-03T17:00:00.000001,Idle,0
Change,2019-04-03T17:00:00.000001,2019-04-03T17:42:00.000001,Change,0
REF010,2019-04-03T17:42:00.000001,2019-04-03T21:59:50.853365,REF010,572.0
Idle,2019-04-03T21:59:50.853365,2019-04-03T22:00:00.000001,Idle,0
Change,2019-04-03T22:00:00.000001,2019-04-03T22:42:00.000001,Change,0
REF012,2019-04-03T22:42:00.000001,2019-04-04T05:59:58.790269,REF012,785.0
Idle,2019-04-04T05:59:58.790269,2019-04-04T06:00:00.000001,Idle,0
Change,2019-04-04T06:00:00.000001,2019-04-04T06:42:00.000001,Change,0
REF015,2019-04-04T06:42:00.000001,2019-04-04T15:42:38.950525,REF015,1731
Change,2019-04-04T15:42:38.950525,2019-04-04T16:24:38.950525,Change,0
REF012,2019-04-04T16:24:38.950525,2019-04-04T16:59:47.948980,REF012,63.0
Idle,2019-04-04T16:59:47.948980,2019-04-04T17:00:00.000001,Idle,0
Change,2019-04-04T17:00:00.000001,2019-04-04T17:42:00.000001,Change,0
REF010,2019-04-04T17:42:00.000001,2019-04-04T21:59:50.853365,REF010,572.0
Idle,2019-04-04T21:59:50.853365,2019-04-04T22:00:00.000001,Idle,0
Change,2019-04-04T22:00:00.000001,2019-04-04T22:42:00.000001,Change,0
REF012,2019-04-04T22:42:00.000001,2019-04-05T05:59:58.790269,REF012,785.0
Idle,2019-04-05T05:59:58.790269,2019-04-05T06:00:00.000001,Idle,0
REF012,2019-04-05T06:00:00.000001,2019-04-05T11:14:07.081429,REF012,563.0
Change,2019-04-05T11:14:07.081429,2019-04-05T11:56:07.081429,Change,0
REF010,2019-04-05T11:56:07.081429,2019-04-05T16:59:56.723330,REF010,674.0
Idle,2019-04-05T16:59:56.723330,2019-04-05T17:00:00.000001,Idle,0
REF010,2019-04-05T17:00:00.000001,2019-04-05T21:17:50.853365,REF010,572.0
Change,2019-04-05T21:17:50.853365,2019-04-05T21:59:50.853365,Change,0
Idle,2019-04-05T21:59:50.853365,2019-04-05T22:00:00.000001,Idle,0
REF003REF005,2019-04-05T22:00:00.000001,2019-04-06T04:53:16.308854,REF003REF005,769
Change,2019-04-06T04:53:16.308854,2019-04-06T05:35:16.308854,Change,0
REF004REF012,2019-04-06T05:35:16.308854,2019-04-06T05:59:38.643459,REF004REF012,41.0
Idle,2019-04-06T05:59:38.643459,2019-04-06T06:00:00,Idle,0
REF004REF012,2019-04-06T06:00:00,2019-04-06T18:59:54.707372,REF004REF012,1312.0
Change,2019-04-06T18:59:54.707372,2019-04-06T19:41:54.707372,Change,0
REF007REF015,2019-04-06T19:41:54.707372,2019-04-06T21:59:52.026792,REF007REF015,516.0
Idle,2019-04-06T21:59:52.026792,2019-04-06T22:00:00.000001,Idle,0
REF007REF015,2019-04-06T22:00:00.000001,2019-04-06T23:59:46.509885,REF007REF015,448.0
Idle,2019-04-06T23:59:46.509885,2019-04-07T00:00:00.000001,Idle,0
REF007REF015,2019-04-07T00:00:00.000001,2019-04-07T19:33:57.421652,REF007REF015,4391.0
Idle,2019-04-07T19:33:57.421652,2019-04-08T00:00:00.000001,Idle,0
Idle,2019-04-08T00:00:00.000001,2019-04-08T00:00:00.000001,Idle,0
