Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF006,2019-04-01T06:42:00,2019-04-01T16:47:16.726325,REF006,1637
Idle,2019-04-01T16:47:16.726325,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF010,2019-04-01T17:42:00,2019-04-01T21:59:50.853364,REF010,572.0
Idle,2019-04-01T21:59:50.853364,2019-04-01T22:00:00,Idle,0
Change,2019-04-01T22:00:00,2019-04-01T22:42:00,Change,0
REF002,2019-04-01T22:42:00,2019-04-02T05:59:38.603734,REF002,953.0
Idle,2019-04-02T05:59:38.603734,2019-04-02T06:00:00,Idle,0
Change,2019-04-02T06:00:00,2019-04-02T06:42:00,Change,0
REF010,2019-04-02T06:42:00,2019-04-02T15:42:02.241835,REF010,1198.0
Change,2019-04-02T15:42:02.241835,2019-04-02T16:24:02.241835,Change,0
REF002,2019-04-02T16:24:02.241835,2019-04-02T16:59:51.424512,REF002,78.0
Idle,2019-04-02T16:59:51.424512,2019-04-02T17:00:00,Idle,0
REF002,2019-04-02T17:00:00,2019-04-02T21:59:52.516514,REF002,653.0
Idle,2019-04-02T21:59:52.516514,2019-04-02T22:00:00,Idle,0
REF002,2019-04-02T22:00:00,2019-04-03T05:47:02.035674,REF002,1017.0
Idle,2019-04-03T05:47:02.035674,2019-04-03T06:00:00,Idle,0
Change,2019-04-03T06:00:00,2019-04-03T06:42:00,Change,0
REF002REF004,2019-04-03T06:42:00,2019-04-03T16:59:44.949930,REF002REF004,1376.0
Idle,2019-04-03T16:59:44.949930,2019-04-03T17:00:00,Idle,0
Change,2019-04-03T17:00:00,2019-04-03T17:42:00,Change,0
REF003REF010,2019-04-03T17:42:00,2019-04-03T21:59:32.521408,REF003REF010,499.0
Idle,2019-04-03T21:59:32.521408,2019-04-03T22:00:00,Idle,0
Change,2019-04-03T22:00:00,2019-04-03T22:42:00,Change,0
REF002REF004,2019-04-03T22:42:00,2019-04-04T05:59:43.318446,REF002REF004,975.0
Idle,2019-04-04T05:59:43.318446,2019-04-04T06:00:00,Idle,0
REF002REF004,2019-04-04T06:00:00,2019-04-04T08:46:33.529378,REF002REF004,371.0
Change,2019-04-04T08:46:33.529378,2019-04-04T09:28:33.529378,Change,0
REF003REF010,2019-04-04T09:28:33.529378,2019-04-04T16:59:38.667075,REF003REF010,874.0
Idle,2019-04-04T16:59:38.667075,2019-04-04T17:00:00,Idle,0
REF003REF010,2019-04-04T17:00:00,2019-04-04T21:59:51.813503,REF003REF010,581.0
Idle,2019-04-04T21:59:51.813503,2019-04-04T22:00:00,Idle,0
REF003REF010,2019-04-04T22:00:00,2019-04-05T05:27:28.368859,REF003REF010,867.0
Idle,2019-04-05T05:27:28.368859,2019-04-05T06:00:00,Idle,0
Off,2019-04-05T06:00:00,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
