Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF006,2019-04-01T06:42:00,2019-04-01T07:12:41.348983,REF006,83
Change,2019-04-01T07:12:41.348983,2019-04-01T07:54:41.348983,Change,0
REF011,2019-04-01T07:54:41.348983,2019-04-01T12:16:35.145889,REF011,627
Change,2019-04-01T12:16:35.145889,2019-04-01T12:58:35.145889,Change,0
REF003,2019-04-01T12:58:35.145889,2019-04-01T16:59:35.125431,REF003,478.0
Idle,2019-04-01T16:59:35.125431,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF009,2019-04-01T17:42:00,2019-04-01T21:59:43.355670,REF009,657.0
Idle,2019-04-01T21:59:43.355670,2019-04-01T22:00:00,Idle,0
REF009,2019-04-01T22:00:00,2019-04-02T00:13:22.345400,REF009,340.0
Change,2019-04-02T00:13:22.345400,2019-04-02T00:55:22.345400,Change,0
REF003,2019-04-02T00:55:22.345400,2019-04-02T05:59:53.951349,REF003,604.0
Idle,2019-04-02T05:59:53.951349,2019-04-02T06:00:00.000001,Idle,0
Change,2019-04-02T06:00:00.000001,2019-04-02T06:42:00.000001,Change,0
REF008,2019-04-02T06:42:00.000001,2019-04-02T14:27:11.491198,REF008,1125
Change,2019-04-02T14:27:11.491198,2019-04-02T15:09:11.491198,Change,0
REF003,2019-04-02T15:09:11.491198,2019-04-02T16:59:36.460905,REF003,219.0
Idle,2019-04-02T16:59:36.460905,2019-04-02T17:00:00.000002,Idle,0
REF003,2019-04-02T17:00:00.000002,2019-04-02T21:59:59.346922,REF003,595.0
Idle,2019-04-02T21:59:59.346922,2019-04-02T22:00:00.000002,Idle,0
REF003,2019-04-02T22:00:00.000002,2019-04-03T02:21:10.019673,REF003,518.0
Change,2019-04-03T02:21:10.019673,2019-04-03T03:03:10.019673,Change,0
REF009REF012,2019-04-03T03:03:10.019673,2019-04-03T05:59:18.112117,REF009REF012,141.0
Idle,2019-04-03T05:59:18.112117,2019-04-03T06:00:00.000002,Idle,0
REF009REF012,2019-04-03T06:00:00.000002,2019-04-03T16:59:34.133409,REF009REF012,528.0
Idle,2019-04-03T16:59:34.133409,2019-04-03T17:00:00.000002,Idle,0
REF009REF012,2019-04-03T17:00:00.000002,2019-04-03T21:59:48.242460,REF009REF012,240.0
Idle,2019-04-03T21:59:48.242460,2019-04-03T22:00:00.000002,Idle,0
REF009REF012,2019-04-03T22:00:00.000002,2019-04-04T04:35:59.470248,REF009REF012,317.0
Change,2019-04-04T04:35:59.470248,2019-04-04T05:17:59.470248,Change,0
REF003REF005,2019-04-04T05:17:59.470248,2019-04-04T05:59:54.570496,REF003REF005,78.0
Idle,2019-04-04T05:59:54.570496,2019-04-04T06:00:00.000002,Idle,0
REF003REF005,2019-04-04T06:00:00.000002,2019-04-04T14:49:21.201849,REF003REF005,985.0
Idle,2019-04-04T14:49:21.201849,2019-04-04T17:00:00.000002,Idle,0
Off,2019-04-04T17:00:00.000002,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
