Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF007,2019-04-01T06:42:00,2019-04-01T11:41:59.544394,REF007,950
Change,2019-04-01T11:41:59.544394,2019-04-01T12:23:59.544394,Change,0
REF005,2019-04-01T12:23:59.544394,2019-04-01T16:59:41.591558,REF005,600.0
Idle,2019-04-01T16:59:41.591558,2019-04-01T17:00:00.000001,Idle,0
Change,2019-04-01T17:00:00.000001,2019-04-01T17:42:00.000001,Change,0
REF009,2019-04-01T17:42:00.000001,2019-04-01T21:59:43.355671,REF009,657.0
Idle,2019-04-01T21:59:43.355671,2019-04-01T22:00:00.000001,Idle,0
REF009,2019-04-01T22:00:00.000001,2019-04-01T23:01:35.200671,REF009,157.0
Change,2019-04-01T23:01:35.200671,2019-04-01T23:43:35.200671,Change,0
REF005,2019-04-01T23:43:35.200671,2019-04-02T05:11:12.666717,REF005,713.0
Change,2019-04-02T05:11:12.666717,2019-04-02T05:53:12.666717,Change,0
REF010,2019-04-02T05:53:12.666717,2019-04-02T05:59:58.370914,REF010,15.0
Idle,2019-04-02T05:59:58.370914,2019-04-02T06:00:00.000001,Idle,0
Change,2019-04-02T06:00:00.000001,2019-04-02T06:42:00.000001,Change,0
REF005REF014,2019-04-02T06:42:00.000001,2019-04-02T12:35:09.285152,REF005REF014,775
Change,2019-04-02T12:35:09.285152,2019-04-02T13:17:09.285152,Change,0
REF010,2019-04-02T13:17:09.285152,2019-04-02T16:59:50.476693,REF010,494.0
Idle,2019-04-02T16:59:50.476693,2019-04-02T17:00:00.000001,Idle,0
Change,2019-04-02T17:00:00.000001,2019-04-02T17:42:00.000001,Change,0
REF015,2019-04-02T17:42:00.000001,2019-04-02T21:59:59.245023,REF015,826.0
Idle,2019-04-02T21:59:59.245023,2019-04-02T22:00:00.000001,Idle,0
Change,2019-04-02T22:00:00.000001,2019-04-02T22:42:00.000001,Change,0
REF010,2019-04-02T22:42:00.000001,2019-04-03T05:59:42.584994,REF010,971.0
Idle,2019-04-03T05:59:42.584994,2019-04-03T06:00:00.000001,Idle,0
REF010,2019-04-03T06:00:00.000001,2019-04-03T12:04:40.979671,REF010,809.0
Change,2019-04-03T12:04:40.979671,2019-04-03T12:46:40.979671,Change,0
REF015,2019-04-03T12:46:40.979671,2019-04-03T16:59:59.124602,REF015,811.0
Idle,2019-04-03T16:59:59.124602,2019-04-03T17:00:00.000001,Idle,0
REF015,2019-04-03T17:00:00.000001,2019-04-03T21:59:50.405838,REF015,960.0
Idle,2019-04-03T21:59:50.405838,2019-04-03T22:00:00.000001,Idle,0
REF015,2019-04-03T22:00:00.000001,2019-04-04T05:59:44.649340,REF015,1536.0
Idle,2019-04-04T05:59:44.649340,2019-04-04T06:00:00.000001,Idle,0
REF015,2019-04-04T06:00:00.000001,2019-04-04T08:20:51.742743,REF015,451.0
Change,2019-04-04T08:20:51.742743,2019-04-04T09:02:51.742743,Change,0
REF009REF011,2019-04-04T09:02:51.742743,2019-04-04T16:59:57.241893,REF009REF011,1042.0
Idle,2019-04-04T16:59:57.241893,2019-04-04T17:00:00.000001,Idle,0
REF009REF011,2019-04-04T17:00:00.000001,2019-04-04T19:46:12.222833,REF009REF011,363.0
Change,2019-04-04T19:46:12.222833,2019-04-04T20:28:12.222833,Change,0
REF003REF010,2019-04-04T20:28:12.222833,2019-04-04T21:59:33.377721,REF003REF010,177.0
Idle,2019-04-04T21:59:33.377721,2019-04-04T22:00:00,Idle,0
Change,2019-04-04T22:00:00,2019-04-04T22:42:00,Change,0
REF006REF015,2019-04-04T22:42:00,2019-04-05T05:59:58.022439,REF006REF015,1583.0
Idle,2019-04-05T05:59:58.022439,2019-04-05T06:00:00,Idle,0
REF006REF015,2019-04-05T06:00:00,2019-04-05T14:09:42.248716,REF006REF015,1770.0
Change,2019-04-05T14:09:42.248716,2019-04-05T14:51:42.248716,Change,0
REF003REF010,2019-04-05T14:51:42.248716,2019-04-05T16:59:42.058955,REF003REF010,248.0
Idle,2019-04-05T16:59:42.058955,2019-04-05T17:00:00.000001,Idle,0
Change,2019-04-05T17:00:00.000001,2019-04-05T17:42:00.000001,Change,0
REF000REF007,2019-04-05T17:42:00.000001,2019-04-05T21:59:50.978760,REF000REF007,858.0
Idle,2019-04-05T21:59:50.978760,2019-04-05T22:00:00.000001,Idle,0
Change,2019-04-05T22:00:00.000001,2019-04-05T22:42:00.000001,Change,0
REF003REF010,2019-04-05T22:42:00.000001,2019-04-06T05:59:39.996302,REF003REF010,848.0
Idle,2019-04-06T05:59:39.996302,2019-04-06T06:00:00.000001,Idle,0
REF003REF010,2019-04-06T06:00:00.000001,2019-04-06T09:28:30.658616,REF003REF010,404.0
Change,2019-04-06T09:28:30.658616,2019-04-06T10:10:30.658616,Change,0
REF000REF007,2019-04-06T10:10:30.658616,2019-04-06T21:59:44.865925,REF000REF007,2360.0
Idle,2019-04-06T21:59:44.865925,2019-04-06T22:00:00.000001,Idle,0
REF000REF007,2019-04-06T22:00:00.000001,2019-04-06T22:03:18.345883,REF000REF007,11.0
Idle,2019-04-06T22:03:18.345883,2019-04-07T00:00:00.000001,Idle,0
Off,2019-04-07T00:00:00.000001,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
