Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF001REF003,2019-04-01T06:42:00,2019-04-01T08:03:08.335166,REF001REF003,128
Change,2019-04-01T08:03:08.335166,2019-04-01T08:45:08.335166,Change,0
REF004REF008,2019-04-01T08:45:08.335166,2019-04-01T11:17:21.518265,REF004REF008,246
Change,2019-04-01T11:17:21.518265,2019-04-01T11:59:21.518265,Change,0
REF011,2019-04-01T11:59:21.518265,2019-04-01T16:17:04.696401,REF011,617
Change,2019-04-01T16:17:04.696401,2019-04-01T16:59:04.696401,Change,0
REF003,2019-04-01T16:59:04.696401,2019-04-01T16:59:34.947404,REF003,1.0
Idle,2019-04-01T16:59:34.947404,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF004,2019-04-01T17:42:00,2019-04-01T21:59:34.040860,REF004,561.0
Idle,2019-04-01T21:59:34.040860,2019-04-01T22:00:00,Idle,0
REF004,2019-04-01T22:00:00,2019-04-01T23:31:21.914672,REF004,199.0
Change,2019-04-01T23:31:21.914672,2019-04-02T00:13:21.914672,Change,0
REF005,2019-04-02T00:13:21.914672,2019-04-02T05:59:49.753941,REF005,754.0
Idle,2019-04-02T05:59:49.753941,2019-04-02T06:00:00,Idle,0
Change,2019-04-02T06:00:00,2019-04-02T06:42:00,Change,0
REF001,2019-04-02T06:42:00,2019-04-02T15:20:37.514626,REF001,1377
Change,2019-04-02T15:20:37.514626,2019-04-02T16:02:37.514626,Change,0
REF005,2019-04-02T16:02:37.514626,2019-04-02T16:59:36.204373,REF005,124.0
Idle,2019-04-02T16:59:36.204373,2019-04-02T17:00:00,Idle,0
Change,2019-04-02T17:00:00,2019-04-02T17:42:00,Change,0
REF003,2019-04-02T17:42:00,2019-04-02T21:59:38.262649,REF003,511.0
Idle,2019-04-02T21:59:38.262649,2019-04-02T22:00:00,Idle,0
Change,2019-04-02T22:00:00,2019-04-02T22:42:00,Change,0
REF005,2019-04-02T22:42:00,2019-04-03T05:59:54.284912,REF005,953.0
Idle,2019-04-03T05:59:54.284912,2019-04-03T06:00:00,Idle,0
REF005,2019-04-03T06:00:00,2019-04-03T08:36:13.826726,REF005,340.0
Change,2019-04-03T08:36:13.826726,2019-04-03T09:18:13.826726,Change,0
REF003,2019-04-03T09:18:13.826726,2019-04-03T16:59:33.494678,REF003,915.0
Idle,2019-04-03T16:59:33.494678,2019-04-03T17:00:00,Idle,0
REF003,2019-04-03T17:00:00,2019-04-03T20:07:33.373200,REF003,372.0
Change,2019-04-03T20:07:33.373200,2019-04-03T20:49:33.373200,Change,0
REF006,2019-04-03T20:49:33.373200,2019-04-03T21:59:48.509426,REF006,190.0
Idle,2019-04-03T21:59:48.509426,2019-04-03T22:00:00,Idle,0
REF006,2019-04-03T22:00:00,2019-04-04T05:59:56.035901,REF006,1298.0
Idle,2019-04-04T05:59:56.035901,2019-04-04T06:00:00,Idle,0
REF006,2019-04-04T06:00:00,2019-04-04T16:59:37.910668,REF006,1784.0
Idle,2019-04-04T16:59:37.910668,2019-04-04T17:00:00,Idle,0
REF006,2019-04-04T17:00:00,2019-04-04T21:59:51.976206,REF006,811.0
Idle,2019-04-04T21:59:51.976206,2019-04-04T22:00:00,Idle,0
REF006,2019-04-04T22:00:00,2019-04-04T23:01:22.697966,REF006,166.0
Change,2019-04-04T23:01:22.697966,2019-04-04T23:43:22.697966,Change,0
REF000REF005,2019-04-04T23:43:22.697966,2019-04-05T05:59:44.123146,REF000REF005,771.0
Idle,2019-04-05T05:59:44.123146,2019-04-05T06:00:00,Idle,0
REF000REF005,2019-04-05T06:00:00,2019-04-05T15:03:18.088489,REF000REF005,1113.0
Change,2019-04-05T15:03:18.088489,2019-04-05T15:45:18.088489,Change,0
REF002REF006,2019-04-05T15:45:18.088489,2019-04-05T16:59:46.117772,REF002REF006,158.0
Idle,2019-04-05T16:59:46.117772,2019-04-05T17:00:00,Idle,0
REF002REF006,2019-04-05T17:00:00,2019-04-05T21:59:45.231798,REF002REF006,636.0
Idle,2019-04-05T21:59:45.231798,2019-04-05T22:00:00,Idle,0
REF002REF006,2019-04-05T22:00:00,2019-04-06T05:59:47.682343,REF002REF006,1018.0
Idle,2019-04-06T05:59:47.682343,2019-04-06T06:00:00,Idle,0
REF002REF006,2019-04-06T06:00:00,2019-04-06T07:08:20.406621,REF002REF006,145.0
Idle,2019-04-06T07:08:20.406621,2019-04-06T22:00:00,Idle,0
Off,2019-04-06T22:00:00,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
