Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF006,2019-04-01T06:42:00,2019-04-01T16:59:51.013860,REF006,1671.0
Idle,2019-04-01T16:59:51.013860,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF013,2019-04-01T17:42:00,2019-04-01T21:59:40.691321,REF013,658.0
Idle,2019-04-01T21:59:40.691321,2019-04-01T22:00:00,Idle,0
REF013,2019-04-01T22:00:00,2019-04-02T03:59:06.282586,REF013,917.0
Change,2019-04-02T03:59:06.282586,2019-04-02T04:41:06.282586,Change,0
REF006,2019-04-02T04:41:06.282586,2019-04-02T05:59:51.672145,REF006,213.0
Idle,2019-04-02T05:59:51.672145,2019-04-02T06:00:00.000001,Idle,0
Change,2019-04-02T06:00:00.000001,2019-04-02T06:42:00.000001,Change,0
REF008,2019-04-02T06:42:00.000001,2019-04-02T16:59:46.460310,REF008,1494.0
Idle,2019-04-02T16:59:46.460310,2019-04-02T17:00:00.000001,Idle,0
REF008,2019-04-02T17:00:00.000001,2019-04-02T17:40:31.401012,REF008,98.0
Change,2019-04-02T17:40:31.401012,2019-04-02T18:22:31.401012,Change,0
REF006,2019-04-02T18:22:31.401012,2019-04-02T21:59:56.138385,REF006,588.0
Idle,2019-04-02T21:59:56.138385,2019-04-02T22:00:00.000001,Idle,0
Change,2019-04-02T22:00:00.000001,2019-04-02T22:42:00.000001,Change,0
REF011,2019-04-02T22:42:00.000001,2019-04-03T05:59:44.847142,REF011,1048.0
Idle,2019-04-03T05:59:44.847142,2019-04-03T06:00:00.000001,Idle,0
REF011,2019-04-03T06:00:00.000001,2019-04-03T12:29:17.669405,REF011,932.0
Change,2019-04-03T12:29:17.669405,2019-04-03T13:11:17.669405,Change,0
REF006,2019-04-03T13:11:17.669405,2019-04-03T16:59:47.954603,REF006,618.0
Idle,2019-04-03T16:59:47.954603,2019-04-03T17:00:00.000001,Idle,0
REF006,2019-04-03T17:00:00.000001,2019-04-03T21:59:51.976207,REF006,811.0
Idle,2019-04-03T21:59:51.976207,2019-04-03T22:00:00.000001,Idle,0
REF006,2019-04-03T22:00:00.000001,2019-04-04T05:59:56.035902,REF006,1298.0
Idle,2019-04-04T05:59:56.035902,2019-04-04T06:00:00.000001,Idle,0
REF006,2019-04-04T06:00:00.000001,2019-04-04T07:49:26.738542,REF006,296.0
Change,2019-04-04T07:49:26.738542,2019-04-04T08:31:26.738542,Change,0
REF000REF011,2019-04-04T08:31:26.738542,2019-04-04T15:15:04.290018,REF000REF011,1147
Change,2019-04-04T15:15:04.290018,2019-04-04T15:57:04.290018,Change,0
REF006REF016,2019-04-04T15:57:04.290018,2019-04-04T16:59:55.686942,REF006REF016,159.0
Idle,2019-04-04T16:59:55.686942,2019-04-04T17:00:00.000001,Idle,0
Change,2019-04-04T17:00:00.000001,2019-04-04T17:42:00.000001,Change,0
REF004REF013,2019-04-04T17:42:00.000001,2019-04-04T21:59:52.143699,REF004REF013,463.0
Idle,2019-04-04T21:59:52.143699,2019-04-04T22:00:00.000001,Idle,0
REF004REF013,2019-04-04T22:00:00.000001,2019-04-05T00:37:03.638279,REF004REF013,282.0
Change,2019-04-05T00:37:03.638279,2019-04-05T01:19:03.638279,Change,0
REF006REF016,2019-04-05T01:19:03.638279,2019-04-05T05:59:44.467311,REF006REF016,710.0
Idle,2019-04-05T05:59:44.467311,2019-04-05T06:00:00.000001,Idle,0
REF006REF016,2019-04-05T06:00:00.000001,2019-04-05T16:03:39.642158,REF006REF016,1527.0
Idle,2019-04-05T16:03:39.642158,2019-04-05T17:00:00.000001,Idle,0
Off,2019-04-05T17:00:00.000001,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
