Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF006REF014,2019-04-01T06:42:00,2019-04-01T08:10:45.929658,REF006REF014,276
Change,2019-04-01T08:10:45.929658,2019-04-01T08:52:45.929658,Change,0
REF002REF008,2019-04-01T08:52:45.929658,2019-04-01T11:39:57.731994,REF002REF008,404
Change,2019-04-01T11:39:57.731994,2019-04-01T12:21:57.731994,Change,0
REF004,2019-04-01T12:21:57.731994,2019-04-01T16:59:43.854491,REF004,605.0
Idle,2019-04-01T16:59:43.854491,2019-04-01T17:00:00.000001,Idle,0
REF004,2019-04-01T17:00:00.000001,2019-04-01T21:05:10.263494,REF004,534.0
Change,2019-04-01T21:05:10.263494,2019-04-01T21:47:10.263494,Change,0
REF006,2019-04-01T21:47:10.263494,2019-04-01T21:59:44.551029,REF006,34.0
Idle,2019-04-01T21:59:44.551029,2019-04-01T22:00:00.000001,Idle,0
Change,2019-04-01T22:00:00.000001,2019-04-01T22:42:00.000001,Change,0
REF000REF015,2019-04-01T22:42:00.000001,2019-04-02T01:31:06.509488,REF000REF015,561
Change,2019-04-02T01:31:06.509488,2019-04-02T02:13:06.509488,Change,0
REF006,2019-04-02T02:13:06.509488,2019-04-02T05:59:45.870048,REF006,613.0
Idle,2019-04-02T05:59:45.870048,2019-04-02T06:00:00.000001,Idle,0
REF006,2019-04-02T06:00:00.000001,2019-04-02T13:39:58.049817,REF006,1244.0
Change,2019-04-02T13:39:58.049817,2019-04-02T14:21:58.049817,Change,0
REF008,2019-04-02T14:21:58.049817,2019-04-02T16:59:55.551717,REF008,382.0
Idle,2019-04-02T16:59:55.551717,2019-04-02T17:00:00.000001,Idle,0
Change,2019-04-02T17:00:00.000001,2019-04-02T17:42:00.000001,Change,0
REF000,2019-04-02T17:42:00.000001,2019-04-02T21:59:57.147692,REF000,896.0
Idle,2019-04-02T21:59:57.147692,2019-04-02T22:00:00.000001,Idle,0
Change,2019-04-02T22:00:00.000001,2019-04-02T22:42:00.000001,Change,0
REF008,2019-04-02T22:42:00.000001,2019-04-03T05:59:54.017048,REF008,1059.0
Idle,2019-04-03T05:59:54.017048,2019-04-03T06:00:00.000001,Idle,0
REF008,2019-04-03T06:00:00.000001,2019-04-03T09:30:28.399129,REF008,509.0
Change,2019-04-03T09:30:28.399129,2019-04-03T10:12:28.399129,Change,0
REF000,2019-04-03T10:12:28.399129,2019-04-03T16:59:50.546431,REF000,1415.0
Idle,2019-04-03T16:59:50.546431,2019-04-03T17:00:00.000001,Idle,0
REF000,2019-04-03T17:00:00.000001,2019-04-03T21:59:59.093633,REF000,1042.0
Idle,2019-04-03T21:59:59.093633,2019-04-03T22:00:00.000001,Idle,0
REF000,2019-04-03T22:00:00.000001,2019-04-04T01:12:53.313564,REF000,670.0
Idle,2019-04-04T01:12:53.313564,2019-04-04T06:00:00.000001,Idle,0
Off,2019-04-04T06:00:00.000001,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
