Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF006,2019-04-01T06:42:00,2019-04-01T11:54:26.263741,REF006,845
Change,2019-04-01T11:54:26.263741,2019-04-01T12:36:26.263741,Change,0
REF009,2019-04-01T12:36:26.263741,2019-04-01T16:59:39.127751,REF009,671.0
Idle,2019-04-01T16:59:39.127751,2019-04-01T17:00:00,Idle,0
REF009,2019-04-01T17:00:00,2019-04-01T21:59:41.740840,REF009,764.0
Idle,2019-04-01T21:59:41.740840,2019-04-01T22:00:00,Idle,0
REF009,2019-04-01T22:00:00,2019-04-02T03:22:50.383130,REF009,823.0
Change,2019-04-02T03:22:50.383130,2019-04-02T04:04:50.383130,Change,0
REF010,2019-04-02T04:04:50.383130,2019-04-02T05:59:47.354472,REF010,255.0
Idle,2019-04-02T05:59:47.354472,2019-04-02T06:00:00,Idle,0
REF010,2019-04-02T06:00:00,2019-04-02T13:27:37.617815,REF010,993.0
Change,2019-04-02T13:27:37.617815,2019-04-02T14:09:37.617815,Change,0
REF009REF011,2019-04-02T14:09:37.617815,2019-04-02T16:59:57.085842,REF009REF011,372.0
Idle,2019-04-02T16:59:57.085842,2019-04-02T17:00:00,Idle,0
REF009REF011,2019-04-02T17:00:00,2019-04-02T21:59:53.955800,REF009REF011,655.0
Idle,2019-04-02T21:59:53.955800,2019-04-02T22:00:00,Idle,0
REF009REF011,2019-04-02T22:00:00,2019-04-02T22:37:32.678436,REF009REF011,82.0
Change,2019-04-02T22:37:32.678436,2019-04-02T23:19:32.678436,Change,0
REF003REF010,2019-04-02T23:19:32.678436,2019-04-03T05:59:32.085432,REF003REF010,775.0
Idle,2019-04-03T05:59:32.085432,2019-04-03T06:00:00,Idle,0
REF003REF010,2019-04-03T06:00:00,2019-04-03T14:39:43.745607,REF003REF010,1007.0
Idle,2019-04-03T14:39:43.745607,2019-04-03T17:00:00,Idle,0
Off,2019-04-03T17:00:00,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
