Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF008REF011,2019-04-01T06:42:00,2019-04-01T11:59:42.692991,REF008REF011,882
Change,2019-04-01T11:59:42.692991,2019-04-01T12:41:42.692991,Change,0
REF009,2019-04-01T12:41:42.692991,2019-04-01T16:59:49.584971,REF009,658.0
Idle,2019-04-01T16:59:49.584971,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF007,2019-04-01T17:42:00,2019-04-01T21:59:59.608179,REF007,817.0
Idle,2019-04-01T21:59:59.608179,2019-04-01T22:00:00,Idle,0
Change,2019-04-01T22:00:00,2019-04-01T22:42:00,Change,0
REF009,2019-04-01T22:42:00,2019-04-02T05:59:46.521960,REF009,1116.0
Idle,2019-04-02T05:59:46.521960,2019-04-02T06:00:00,Idle,0
REF009,2019-04-02T06:00:00,2019-04-02T16:59:48.073420,REF009,1682.0
Idle,2019-04-02T16:59:48.073420,2019-04-02T17:00:00,Idle,0
REF009,2019-04-02T17:00:00,2019-04-02T19:55:44.266880,REF009,448.0
Change,2019-04-02T19:55:44.266880,2019-04-02T20:37:44.266880,Change,0
REF007,2019-04-02T20:37:44.266880,2019-04-02T21:59:50.457977,REF007,260.0
Idle,2019-04-02T21:59:50.457977,2019-04-02T22:00:00,Idle,0
Change,2019-04-02T22:00:00,2019-04-02T22:42:00,Change,0
REF013,2019-04-02T22:42:00,2019-04-03T05:59:49.077351,REF013,1118.0
Idle,2019-04-03T05:59:49.077351,2019-04-03T06:00:00,Idle,0
Change,2019-04-03T06:00:00,2019-04-03T06:42:00,Change,0
REF007,2019-04-03T06:42:00,2019-04-03T16:59:59.061451,REF007,1957.0
Idle,2019-04-03T16:59:59.061451,2019-04-03T17:00:00,Idle,0
REF007,2019-04-03T17:00:00,2019-04-03T17:17:22.078886,REF007,55.0
Change,2019-04-03T17:17:22.078886,2019-04-03T17:59:22.078886,Change,0
REF013,2019-04-03T17:59:22.078886,2019-04-03T21:59:48.924587,REF013,614.0
Idle,2019-04-03T21:59:48.924587,2019-04-03T22:00:00,Idle,0
Change,2019-04-03T22:00:00,2019-04-03T22:42:00,Change,0
REF008,2019-04-03T22:42:00,2019-04-04T05:59:54.017047,REF008,1059.0
Idle,2019-04-04T05:59:54.017047,2019-04-04T06:00:00,Idle,0
REF008,2019-04-04T06:00:00,2019-04-04T14:24:53.271779,REF008,1221.0
Change,2019-04-04T14:24:53.271779,2019-04-04T15:06:53.271779,Change,0
REF013,2019-04-04T15:06:53.271779,2019-04-04T16:59:40.261293,REF013,288.0
Idle,2019-04-04T16:59:40.261293,2019-04-04T17:00:00,Idle,0
REF013,2019-04-04T17:00:00,2019-04-04T21:59:58.312389,REF013,766.0
Idle,2019-04-04T21:59:58.312389,2019-04-04T22:00:00,Idle,0
REF013,2019-04-04T22:00:00,2019-04-05T05:59:43.201928,REF013,1225.0
Idle,2019-04-05T05:59:43.201928,2019-04-05T06:00:00,Idle,0
REF013,2019-04-05T06:00:00,2019-04-05T10:58:00.829932,REF013,761.0
Change,2019-04-05T10:58:00.829932,2019-04-05T11:40:00.829932,Change,0
REF005REF013,2019-04-05T11:40:00.829932,2019-04-05T16:59:42.603996,REF005REF013,719.0
Idle,2019-04-05T16:59:42.603996,2019-04-05T17:00:00,Idle,0
Change,2019-04-05T17:00:00,2019-04-05T17:42:00,Change,0
REF001REF009,2019-04-05T17:42:00,2019-04-05T21:59:45.962034,REF001REF009,626.0
Idle,2019-04-05T21:59:45.962034,2019-04-05T22:00:00,Idle,0
Change,2019-04-05T22:00:00,2019-04-05T22:42:00,Change,0
REF005REF013,2019-04-05T22:42:00,2019-04-06T05:59:58.230115,REF005REF013,985.0
Idle,2019-04-06T05:59:58.230115,2019-04-06T06:00:00,Idle,0
REF005REF013,2019-04-06T06:00:00,2019-04-06T10:25:53.686912,REF005REF013,598.0
Change,2019-04-06T10:25:53.686912,2019-04-06T11:07:53.686912,Change,0
REF001REF009,2019-04-06T11:07:53.686912,2019-04-06T19:36:00.902807,REF001REF009,1234.0
Change,2019-04-06T19:36:00.902807,2019-04-06T20:18:00.902807,Change,0
REF000REF007,2019-04-06T20:18:00.902807,2019-04-06T21:59:53.562247,REF000REF007,339.0
Idle,2019-04-06T21:59:53.562247,2019-04-06T22:00:00,Idle,0
REF000REF007,2019-04-06T22:00:00,2019-04-06T23:59:54.546066,REF000REF007,399.0
Idle,2019-04-06T23:59:54.546066,2019-04-07T00:00:00,Idle,0
REF000REF007,2019-04-07T00:00:00,2019-04-07T03:32:10.199305,REF000REF007,706.0
Idle,2019-04-07T03:32:10.199305,2019-04-08T00:00:00,Idle,0
Idle,2019-04-08T00:00:00,2019-04-08T00:00:00,Idle,0
