Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF008,2019-04-01T06:42:00,2019-04-01T09:51:47.888408,REF008,459
Change,2019-04-01T09:51:47.888408,2019-04-01T10:33:47.888408,Change,0
REF009,2019-04-01T10:33:47.888408,2019-04-01T16:59:47.617448,REF009,984.0
Idle,2019-04-01T16:59:47.617448,2019-04-01T17:00:00,Idle,0
REF009,2019-04-01T17:00:00,2019-04-01T19:54:57.194260,REF009,446.0
Change,2019-04-01T19:54:57.194260,2019-04-01T20:36:57.194260,Change,0
REF010,2019-04-01T20:36:57.194260,2019-04-01T21:59:53.832405,REF010,184.0
Idle,2019-04-01T21:59:53.832405,2019-04-01T22:00:00,Idle,0
Change,2019-04-01T22:00:00,2019-04-01T22:42:00,Change,0
REF011,2019-04-01T22:42:00,2019-04-02T05:59:44.847141,REF011,1048.0
Idle,2019-04-02T05:59:44.847141,2019-04-02T06:00:00,Idle,0
Change,2019-04-02T06:00:00,2019-04-02T06:42:00,Change,0
REF010,2019-04-02T06:42:00,2019-04-02T16:59:34.316623,REF010,1370.0
Idle,2019-04-02T16:59:34.316623,2019-04-02T17:00:00,Idle,0
REF010,2019-04-02T17:00:00,2019-04-02T17:12:37.314500,REF010,28.0
Change,2019-04-02T17:12:37.314500,2019-04-02T17:54:37.314500,Change,0
REF011,2019-04-02T17:54:37.314500,2019-04-02T21:59:48.636324,REF011,587.0
Idle,2019-04-02T21:59:48.636324,2019-04-02T21:59:59.999999,Idle,0
REF011,2019-04-02T21:59:59.999999,2019-04-03T05:59:56.096722,REF011,1149.0
Idle,2019-04-03T05:59:56.096722,2019-04-03T05:59:59.999999,Idle,0
REF011,2019-04-03T05:59:59.999999,2019-04-03T09:16:44.144086,REF011,471.0
Change,2019-04-03T09:16:44.144086,2019-04-03T09:58:44.144086,Change,0
REF009REF012,2019-04-03T09:58:44.144086,2019-04-03T16:59:42.634537,REF009REF012,337.0
Idle,2019-04-03T16:59:42.634537,2019-04-03T16:59:59.999998,Idle,0
REF009REF012,2019-04-03T16:59:59.999998,2019-04-03T21:11:05.153056,REF009REF012,201.0
Change,2019-04-03T21:11:05.153056,2019-04-03T21:53:05.153056,Change,0
REF004REF011,2019-04-03T21:53:05.153056,2019-04-03T21:59:58.018114,REF004REF011,15.0
Idle,2019-04-03T21:59:58.018114,2019-04-03T21:59:59.999998,Idle,0
REF004REF011,2019-04-03T21:59:59.999998,2019-04-04T05:59:50.456684,REF004REF011,1046.0
Idle,2019-04-04T05:59:50.456684,2019-04-04T05:59:59.999998,Idle,0
REF004REF011,2019-04-04T05:59:59.999998,2019-04-04T07:57:53.754652,REF004REF011,257.0
Idle,2019-04-04T07:57:53.754652,2019-04-04T16:59:59.999998,Idle,0
Off,2019-04-04T16:59:59.999998,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
