Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF007REF009,2019-04-01T06:42:00,2019-04-01T07:46:39.443782,REF007REF009,104
Change,2019-04-01T07:46:39.443782,2019-04-01T08:28:39.443782,Change,0
REF011,2019-04-01T08:28:39.443782,2019-04-01T10:36:53.440034,REF011,307
Change,2019-04-01T10:36:53.440034,2019-04-01T11:18:53.440034,Change,0
REF003,2019-04-01T11:18:53.440034,2019-04-01T15:35:00.949673,REF003,508
Change,2019-04-01T15:35:00.949673,2019-04-01T16:17:00.949673,Change,0
REF005,2019-04-01T16:17:00.949673,2019-04-01T16:59:44.966983,REF005,93.0
Idle,2019-04-01T16:59:44.966983,2019-04-01T16:59:59.999999,Idle,0
REF005,2019-04-01T16:59:59.999999,2019-04-01T21:59:35.691250,REF005,652.0
Idle,2019-04-01T21:59:35.691250,2019-04-01T21:59:59.999999,Idle,0
REF005,2019-04-01T21:59:59.999999,2019-04-01T23:58:05.510201,REF005,257.0
Change,2019-04-01T23:58:05.510201,2019-04-02T00:40:05.510201,Change,0
REF007,2019-04-02T00:40:05.510201,2019-04-02T05:59:58.708591,REF007,1013.0
Idle,2019-04-02T05:59:58.708591,2019-04-02T05:59:59.999999,Idle,0
REF007,2019-04-02T05:59:59.999999,2019-04-02T06:11:41.034886,REF007,37.0
Change,2019-04-02T06:11:41.034886,2019-04-02T06:53:41.034886,Change,0
REF003REF010,2019-04-02T06:53:41.034886,2019-04-02T11:17:25.160015,REF003REF010,511
Change,2019-04-02T11:17:25.160015,2019-04-02T11:59:25.160015,Change,0
REF008,2019-04-02T11:59:25.160015,2019-04-02T16:59:37.375667,REF008,726.0
Idle,2019-04-02T16:59:37.375667,2019-04-02T16:59:59.999999,Idle,0
REF008,2019-04-02T16:59:59.999999,2019-04-02T21:59:47.405437,REF008,725.0
Idle,2019-04-02T21:59:47.405437,2019-04-02T21:59:59.999999,Idle,0
REF008,2019-04-02T21:59:59.999999,2019-04-03T05:59:39.848700,REF008,1160.0
Idle,2019-04-03T05:59:39.848700,2019-04-03T05:59:59.999999,Idle,0
REF008,2019-04-03T05:59:59.999999,2019-04-03T12:05:32.229526,REF008,884.0
Change,2019-04-03T12:05:32.229526,2019-04-03T12:47:32.229526,Change,0
REF002REF008,2019-04-03T12:47:32.229526,2019-04-03T16:59:59.257805,REF002REF008,610.0
Idle,2019-04-03T16:59:59.257805,2019-04-03T16:59:59.999999,Idle,0
REF002REF008,2019-04-03T16:59:59.999999,2019-04-03T17:51:19.068043,REF002REF008,124.0
Idle,2019-04-03T17:51:19.068043,2019-04-03T21:59:59.999999,Idle,0
Off,2019-04-03T21:59:59.999999,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
