Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF008,2019-04-01T06:42:00,2019-04-01T06:49:01.773645,REF008,17
Change,2019-04-01T06:49:01.773645,2019-04-01T07:31:01.773645,Change,0
REF007,2019-04-01T07:31:01.773645,2019-04-01T11:04:48.817387,REF007,677
Change,2019-04-01T11:04:48.817387,2019-04-01T11:46:48.817387,Change,0
REF005,2019-04-01T11:46:48.817387,2019-04-01T16:59:44.040918,REF005,681.0
Idle,2019-04-01T16:59:44.040918,2019-04-01T17:00:00.000001,Idle,0
REF005,2019-04-01T17:00:00.000001,2019-04-01T18:03:52.240927,REF005,139.0
Change,2019-04-01T18:03:52.240927,2019-04-01T18:45:52.240927,Change,0
REF009,2019-04-01T18:45:52.240927,2019-04-01T21:59:39.178067,REF009,494.0
Idle,2019-04-01T21:59:39.178067,2019-04-01T22:00:00.000001,Idle,0
REF009,2019-04-01T22:00:00.000001,2019-04-02T01:44:46.305631,REF009,573.0
Change,2019-04-02T01:44:46.305631,2019-04-02T02:26:46.305631,Change,0
REF010,2019-04-02T02:26:46.305631,2019-04-02T05:59:59.511297,REF010,473.0
Idle,2019-04-02T05:59:59.511297,2019-04-02T06:00:00.000001,Idle,0
REF010,2019-04-02T06:00:00.000001,2019-04-02T09:52:36.224364,REF010,516.0
Change,2019-04-02T09:52:36.224364,2019-04-02T10:34:36.224364,Change,0
REF015,2019-04-02T10:34:36.224364,2019-04-02T16:59:42.651861,REF015,1233.0
Idle,2019-04-02T16:59:42.651861,2019-04-02T17:00:00.000001,Idle,0
REF015,2019-04-02T17:00:00.000001,2019-04-02T20:41:45.404318,REF015,710.0
Change,2019-04-02T20:41:45.404318,2019-04-02T21:23:45.404318,Change,0
REF005REF014,2019-04-02T21:23:45.404318,2019-04-02T21:59:45.344353,REF005REF014,79.0
Idle,2019-04-02T21:59:45.344353,2019-04-02T22:00:00.000002,Idle,0
REF005REF014,2019-04-02T22:00:00.000002,2019-04-03T05:59:50.086794,REF005REF014,1053.0
Idle,2019-04-03T05:59:50.086794,2019-04-03T06:00:00.000002,Idle,0
REF005REF014,2019-04-03T06:00:00.000002,2019-04-03T08:59:59.700176,REF005REF014,395.0
Change,2019-04-03T08:59:59.700176,2019-04-03T09:41:59.700176,Change,0
REF003REF010,2019-04-03T09:41:59.700176,2019-04-03T16:59:39.696477,REF003REF010,848.0
Idle,2019-04-03T16:59:39.696477,2019-04-03T17:00:00.000003,Idle,0
Change,2019-04-03T17:00:00.000003,2019-04-03T17:42:00.000003,Change,0
REF006REF015,2019-04-03T17:42:00.000003,2019-04-03T21:59:51.330965,REF006REF015,932.0
Idle,2019-04-03T21:59:51.330965,2019-04-03T22:00:00.000003,Idle,0
Change,2019-04-03T22:00:00.000003,2019-04-03T22:42:00.000003,Change,0
REF003REF010,2019-04-03T22:42:00.000003,2019-04-04T05:59:39.996304,REF003REF010,848.0
Idle,2019-04-04T05:59:39.996304,2019-04-04T06:00:00.000003,Idle,0
REF003REF010,2019-04-04T06:00:00.000003,2019-04-04T06:02:34.834887,REF003REF010,5.0
Change,2019-04-04T06:02:34.834887,2019-04-04T06:44:34.834887,Change,0
REF006REF015,2019-04-04T06:44:34.834887,2019-04-04T16:59:53.547397,REF006REF015,2224.0
Idle,2019-04-04T16:59:53.547397,2019-04-04T17:00:00.000003,Idle,0
REF006REF015,2019-04-04T17:00:00.000003,2019-04-04T21:59:54.552324,REF006REF015,1084.0
Idle,2019-04-04T21:59:54.552324,2019-04-04T22:00:00.000003,Idle,0
REF006REF015,2019-04-04T22:00:00.000003,2019-04-04T23:12:29.236819,REF006REF015,262.0
Idle,2019-04-04T23:12:29.236819,2019-04-05T06:00:00.000003,Idle,0
Off,2019-04-05T06:00:00.000003,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
