Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF005REF013,2019-04-01T06:42:00,2019-04-01T09:06:57.160424,REF005REF013,326
Change,2019-04-01T09:06:57.160424,2019-04-01T09:48:57.160424,Change,0
REF005,2019-04-01T09:48:57.160424,2019-04-01T14:07:39.114679,REF005,563
Change,2019-04-01T14:07:39.114679,2019-04-01T14:49:39.114679,Change,0
REF010,2019-04-01T14:49:39.114679,2019-04-01T16:59:55.682200,REF010,289.0
Idle,2019-04-01T16:59:55.682200,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF008,2019-04-01T17:42:00,2019-04-01T21:59:36.763569,REF008,623.0
Idle,2019-04-01T21:59:36.763569,2019-04-01T22:00:00,Idle,0
REF008,2019-04-01T22:00:00,2019-04-02T04:51:50.973540,REF008,996.0
Change,2019-04-02T04:51:50.973540,2019-04-02T05:33:50.973540,Change,0
REF010,2019-04-02T05:33:50.973540,2019-04-02T05:59:59.696434,REF010,58.0
Idle,2019-04-02T05:59:59.696434,2019-04-02T06:00:00.000001,Idle,0
REF010,2019-04-02T06:00:00.000001,2019-04-02T12:42:32.923172,REF010,893.0
Change,2019-04-02T12:42:32.923172,2019-04-02T13:24:32.923172,Change,0
REF002,2019-04-02T13:24:32.923172,2019-04-02T16:59:55.572858,REF002,469.0
Idle,2019-04-02T16:59:55.572858,2019-04-02T17:00:00.000001,Idle,0
REF002,2019-04-02T17:00:00.000001,2019-04-02T21:59:52.516515,REF002,653.0
Idle,2019-04-02T21:59:52.516515,2019-04-02T22:00:00.000001,Idle,0
REF002,2019-04-02T22:00:00.000001,2019-04-03T05:59:53.537149,REF002,1045.0
Idle,2019-04-03T05:59:53.537149,2019-04-03T06:00:00.000001,Idle,0
REF002,2019-04-03T06:00:00.000001,2019-04-03T16:59:54.557782,REF002,1437.0
Idle,2019-04-03T16:59:54.557782,2019-04-03T17:00:00.000001,Idle,0
REF002,2019-04-03T17:00:00.000001,2019-04-03T21:59:52.516515,REF002,653.0
Idle,2019-04-03T21:59:52.516515,2019-04-03T22:00:00.000001,Idle,0
REF002,2019-04-03T22:00:00.000001,2019-04-04T05:59:53.537149,REF002,1045.0
Idle,2019-04-04T05:59:53.537149,2019-04-04T06:00:00.000001,Idle,0
REF002,2019-04-04T06:00:00.000001,2019-04-04T16:59:54.557782,REF002,1437.0
Idle,2019-04-04T16:59:54.557782,2019-04-04T17:00:00.000001,Idle,0
REF002,2019-04-04T17:00:00.000001,2019-04-04T21:59:52.516515,REF002,653.0
Idle,2019-04-04T21:59:52.516515,2019-04-04T22:00:00.000001,Idle,0
REF002,2019-04-04T22:00:00.000001,2019-04-05T01:59:42.991763,REF002,522.0
Change,2019-04-05T01:59:42.991763,2019-04-05T02:41:42.991763,Change,0
REF002REF004,2019-04-05T02:41:42.991763,2019-04-05T05:59:42.092722,REF002REF004,441.0
Idle,2019-04-05T05:59:42.092722,2019-04-05T06:00:00.000001,Idle,0
REF002REF004,2019-04-05T06:00:00.000001,2019-04-05T10:30:15.915596,REF002REF004,602.0
Change,2019-04-05T10:30:15.915596,2019-04-05T11:12:15.915596,Change,0
REF000REF008,2019-04-05T11:12:15.915596,2019-04-05T16:59:49.860710,REF000REF008,1242.0
Idle,2019-04-05T16:59:49.860710,2019-04-05T17:00:00.000002,Idle,0
REF000REF008,2019-04-05T17:00:00.000002,2019-04-05T20:18:58.128002,REF000REF008,711.0
Idle,2019-04-05T20:18:58.128002,2019-04-05T22:00:00.000002,Idle,0
Off,2019-04-05T22:00:00.000002,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
