Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF006,2019-04-01T06:42:00,2019-04-01T08:08:53.457964,REF006,235
Change,2019-04-01T08:08:53.457964,2019-04-01T08:50:53.457964,Change,0
REF010REF013,2019-04-01T08:50:53.457964,2019-04-01T12:07:35.861522,REF010REF013,388
Change,2019-04-01T12:07:35.861522,2019-04-01T12:49:35.861522,Change,0
REF012,2019-04-01T12:49:35.861522,2019-04-01T16:59:33.183866,REF012,448.0
Idle,2019-04-01T16:59:33.183866,2019-04-01T17:00:00.000001,Idle,0
Change,2019-04-01T17:00:00.000001,2019-04-01T17:42:00.000001,Change,0
REF010,2019-04-01T17:42:00.000001,2019-04-01T21:59:50.853365,REF010,572.0
Idle,2019-04-01T21:59:50.853365,2019-04-01T22:00:00.000001,Idle,0
Change,2019-04-01T22:00:00.000001,2019-04-01T22:42:00.000001,Change,0
REF015,2019-04-01T22:42:00.000001,2019-04-02T03:19:39.865406,REF015,889
Change,2019-04-02T03:19:39.865406,2019-04-02T04:01:39.865406,Change,0
REF012,2019-04-02T04:01:39.865406,2019-04-02T05:59:56.812587,REF012,212.0
Idle,2019-04-02T05:59:56.812587,2019-04-02T06:00:00.000001,Idle,0
REF012,2019-04-02T06:00:00.000001,2019-04-02T14:48:21.929153,REF012,947.0
Change,2019-04-02T14:48:21.929153,2019-04-02T15:30:21.929153,Change,0
REF010,2019-04-02T15:30:21.929153,2019-04-02T16:59:37.224548,REF010,198.0
Idle,2019-04-02T16:59:37.224548,2019-04-02T17:00:00.000001,Idle,0
REF010,2019-04-02T17:00:00.000001,2019-04-02T21:59:46.219384,REF010,665.0
Idle,2019-04-02T21:59:46.219384,2019-04-02T22:00:00.000001,Idle,0
REF010,2019-04-02T22:00:00.000001,2019-04-03T01:36:49.581239,REF010,481.0
Change,2019-04-03T01:36:49.581239,2019-04-03T02:18:49.581239,Change,0
REF004REF012,2019-04-03T02:18:49.581239,2019-04-03T05:59:57.592780,REF004REF012,372.0
Idle,2019-04-03T05:59:57.592780,2019-04-03T06:00:00.000001,Idle,0
REF004REF012,2019-04-03T06:00:00.000001,2019-04-03T09:32:48.677775,REF004REF012,358.0
Change,2019-04-03T09:32:48.677775,2019-04-03T10:14:48.677775,Change,0
REF007REF015,2019-04-03T10:14:48.677775,2019-04-03T16:59:51.272583,REF007REF015,1515.0
Idle,2019-04-03T16:59:51.272583,2019-04-03T17:00:00.000002,Idle,0
REF007REF015,2019-04-03T17:00:00.000002,2019-04-03T21:59:58.357345,REF007REF015,1122.0
Idle,2019-04-03T21:59:58.357345,2019-04-03T22:00:00.000002,Idle,0
REF007REF015,2019-04-03T22:00:00.000002,2019-04-03T22:04:48.743703,REF007REF015,18.0
Idle,2019-04-03T22:04:48.743703,2019-04-04T06:00:00.000002,Idle,0
Off,2019-04-04T06:00:00.000002,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
