Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF002REF009,2019-04-01T06:42:00,2019-04-01T10:38:43.705323,REF002REF009,359
Change,2019-04-01T10:38:43.705323,2019-04-01T11:20:43.705323,Change,0
REF009,2019-04-01T11:20:43.705323,2019-04-01T16:59:39.077163,REF009,864.0
Idle,2019-04-01T16:59:39.077163,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF007,2019-04-01T17:42:00,2019-04-01T21:59:59.608179,REF007,817.0
Idle,2019-04-01T21:59:59.608179,2019-04-01T22:00:00,Idle,0
Change,2019-04-01T22:00:00,2019-04-01T22:42:00,Change,0
REF009,2019-04-01T22:42:00,2019-04-02T05:59:46.521960,REF009,1116.0
Idle,2019-04-02T05:59:46.521960,2019-04-02T06:00:00,Idle,0
Change,2019-04-02T06:00:00,2019-04-02T06:42:00,Change,0
REF007,2019-04-02T06:42:00,2019-04-02T16:39:08.566788,REF007,1891.0
Idle,2019-04-02T16:39:08.566788,2019-04-02T17:00:00,Idle,0
Change,2019-04-02T17:00:00,2019-04-02T17:42:00,Change,0
REF009,2019-04-02T17:42:00,2019-04-02T21:59:43.355670,REF009,657.0
Idle,2019-04-02T21:59:43.355670,2019-04-02T22:00:00,Idle,0
REF009,2019-04-02T22:00:00,2019-04-03T05:59:44.907130,REF009,1223.0
Idle,2019-04-03T05:59:44.907130,2019-04-03T06:00:00,Idle,0
REF009,2019-04-03T06:00:00,2019-04-03T16:59:48.073420,REF009,1682.0
Idle,2019-04-03T16:59:48.073420,2019-04-03T17:00:00,Idle,0
REF009,2019-04-03T17:00:00,2019-04-03T17:01:34.145240,REF009,4.0
Change,2019-04-03T17:01:34.145240,2019-04-03T17:43:34.145240,Change,0
REF014,2019-04-03T17:43:34.145240,2019-04-03T21:59:59.688633,REF014,1035.0
Idle,2019-04-03T21:59:59.688633,2019-04-03T22:00:00,Idle,0
REF014,2019-04-03T22:00:00,2019-04-04T05:59:54.007297,REF014,1937.0
Idle,2019-04-04T05:59:54.007297,2019-04-04T06:00:00,Idle,0
REF014,2019-04-04T06:00:00,2019-04-04T15:04:48.705238,REF014,2199.0
Change,2019-04-04T15:04:48.705238,2019-04-04T15:46:48.705238,Change,0
REF005REF014,2019-04-04T15:46:48.705238,2019-04-04T16:59:43.267334,REF005REF014,160.0
Idle,2019-04-04T16:59:43.267334,2019-04-04T17:00:00,Idle,0
REF005REF014,2019-04-04T17:00:00,2019-04-04T21:59:50.386618,REF005REF014,658.0
Idle,2019-04-04T21:59:50.386618,2019-04-04T22:00:00,Idle,0
REF005REF014,2019-04-04T22:00:00,2019-04-05T05:59:50.086792,REF005REF014,1053.0
Idle,2019-04-05T05:59:50.086792,2019-04-05T06:00:00,Idle,0
REF005REF014,2019-04-05T06:00:00,2019-04-05T06:29:09.824838,REF005REF014,64.0
Idle,2019-04-05T06:29:09.824838,2019-04-05T17:00:00,Idle,0
Off,2019-04-05T17:00:00,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
