Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF004REF011,2019-04-01T06:42:00,2019-04-01T07:44:23.309856,REF004REF011,136
Change,2019-04-01T07:44:23.309856,2019-04-01T08:26:23.309856,Change,0
REF011,2019-04-01T08:26:23.309856,2019-04-01T15:18:14.320621,REF011,986
Change,2019-04-01T15:18:14.320621,2019-04-01T16:00:14.320621,Change,0
REF003,2019-04-01T16:00:14.320621,2019-04-01T16:59:43.939002,REF003,118.0
Idle,2019-04-01T16:59:43.939002,2019-04-01T17:00:00.000001,Idle,0
Change,2019-04-01T17:00:00.000001,2019-04-01T17:42:00.000001,Change,0
REF005,2019-04-01T17:42:00.000001,2019-04-01T21:59:46.814099,REF005,561.0
Idle,2019-04-01T21:59:46.814099,2019-04-01T22:00:00.000001,Idle,0
REF005,2019-04-01T22:00:00.000001,2019-04-02T01:30:27.096003,REF005,458.0
Change,2019-04-02T01:30:27.096003,2019-04-02T02:12:27.096003,Change,0
REF003,2019-04-02T02:12:27.096003,2019-04-02T05:59:50.298458,REF003,451.0
Idle,2019-04-02T05:59:50.298458,2019-04-02T06:00:00.000001,Idle,0
REF003,2019-04-02T06:00:00.000001,2019-04-02T13:45:51.926982,REF003,924.0
Change,2019-04-02T13:45:51.926982,2019-04-02T14:27:51.926982,Change,0
REF007,2019-04-02T14:27:51.926982,2019-04-02T16:59:45.380512,REF007,481.0
Idle,2019-04-02T16:59:45.380512,2019-04-02T17:00:00.000001,Idle,0
Change,2019-04-02T17:00:00.000001,2019-04-02T17:42:00.000001,Change,0
REF008,2019-04-02T17:42:00.000001,2019-04-02T21:59:36.763570,REF008,623.0
Idle,2019-04-02T21:59:36.763570,2019-04-02T22:00:00.000001,Idle,0
REF008,2019-04-02T22:00:00.000001,2019-04-03T04:17:06.915531,REF008,912.0
Change,2019-04-03T04:17:06.915531,2019-04-03T04:59:06.915531,Change,0
REF007,2019-04-03T04:59:06.915531,2019-04-03T05:59:44.718187,REF007,192.0
Idle,2019-04-03T05:59:44.718187,2019-04-03T06:00:00,Idle,0
REF007,2019-04-03T06:00:00,2019-04-03T16:59:58.997666,REF007,2090.0
Idle,2019-04-03T16:59:58.997666,2019-04-03T17:00:00,Idle,0
REF007,2019-04-03T17:00:00,2019-04-03T20:41:59.662851,REF007,703.0
Idle,2019-04-03T20:41:59.662851,2019-04-03T22:00:00,Idle,0
Off,2019-04-03T22:00:00,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
