Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF000REF010,2019-04-01T06:42:00,2019-04-01T08:38:44,REF000REF010,361
Change,2019-04-01T08:38:44,2019-04-01T09:20:44,Change,0
REF006REF015,2019-04-01T09:20:44,2019-04-01T11:56:29.879111,REF006REF015,563
Change,2019-04-01T11:56:29.879111,2019-04-01T12:38:29.879111,Change,0
REF009,2019-04-01T12:38:29.879111,2019-04-01T16:59:45.061571,REF009,666.0
Idle,2019-04-01T16:59:45.061571,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF012,2019-04-01T17:42:00,2019-04-01T21:59:45.988667,REF012,462.0
Idle,2019-04-01T21:59:45.988667,2019-04-01T22:00:00,Idle,0
Change,2019-04-01T22:00:00,2019-04-01T22:42:00,Change,0
REF009,2019-04-01T22:42:00,2019-04-02T05:59:46.521960,REF009,1116.0
Idle,2019-04-02T05:59:46.521960,2019-04-02T06:00:00,Idle,0
Change,2019-04-02T06:00:00,2019-04-02T06:42:00,Change,0
REF001,2019-04-02T06:42:00,2019-04-02T15:15:43.739978,REF001,1364
Change,2019-04-02T15:15:43.739978,2019-04-02T15:57:43.739978,Change,0
REF009,2019-04-02T15:57:43.739978,2019-04-02T16:59:42.476958,REF009,158.0
Idle,2019-04-02T16:59:42.476958,2019-04-02T17:00:00,Idle,0
Change,2019-04-02T17:00:00,2019-04-02T17:42:00,Change,0
REF012,2019-04-02T17:42:00,2019-04-02T21:59:45.988667,REF012,462.0
Idle,2019-04-02T21:59:45.988667,2019-04-02T22:00:00,Idle,0
Change,2019-04-02T22:00:00,2019-04-02T22:42:00,Change,0
REF009,2019-04-02T22:42:00,2019-04-03T05:59:46.521960,REF009,1116.0
Idle,2019-04-03T05:59:46.521960,2019-04-03T06:00:00,Idle,0
REF009,2019-04-03T06:00:00,2019-04-03T16:59:48.073420,REF009,1682.0
Idle,2019-04-03T16:59:48.073420,2019-04-03T17:00:00,Idle,0
Change,2019-04-03T17:00:00,2019-04-03T17:42:00,Change,0
REF012,2019-04-03T17:42:00,2019-04-03T21:59:45.988667,REF012,462.0
Idle,2019-04-03T21:59:45.988667,2019-04-03T22:00:00,Idle,0
Change,2019-04-03T22:00:00,2019-04-03T22:42:00,Change,0
REF009,2019-04-03T22:42:00,2019-04-04T05:59:46.521960,REF009,1116.0
Idle,2019-04-04T05:59:46.521960,2019-04-04T06:00:00,Idle,0
REF009,2019-04-04T06:00:00,2019-04-04T16:59:48.073420,REF009,1682.0
Idle,2019-04-04T16:59:48.073420,2019-04-04T17:00:00,Idle,0
REF009,2019-04-04T17:00:00,2019-04-04T17:34:31.195280,REF009,88.0
Change,2019-04-04T17:34:31.195280,2019-04-04T18:16:31.195280,Change,0
REF012,2019-04-04T18:16:31.195280,2019-04-04T21:59:41.661659,REF012,400.0
Idle,2019-04-04T21:59:41.661659,2019-04-04T22:00:00,Idle,0
Change,2019-04-04T22:00:00,2019-04-04T22:42:00,Change,0
REF006,2019-04-04T22:42:00,2019-04-05T05:59:46.954166,REF006,1184.0
Idle,2019-04-05T05:59:46.954166,2019-04-05T06:00:00,Idle,0
REF006,2019-04-05T06:00:00,2019-04-05T15:46:47.479950,REF006,1587.0
Change,2019-04-05T15:46:47.479950,2019-04-05T16:28:47.479950,Change,0
REF012,2019-04-05T16:28:47.479950,2019-04-05T16:59:28.669077,REF012,55.0
Idle,2019-04-05T16:59:28.669077,2019-04-05T17:00:00,Idle,0
Change,2019-04-05T17:00:00,2019-04-05T17:42:00,Change,0
REF010,2019-04-05T17:42:00,2019-04-05T21:59:50.853364,REF010,572.0
Idle,2019-04-05T21:59:50.853364,2019-04-05T22:00:00,Idle,0
Change,2019-04-05T22:00:00,2019-04-05T22:42:00,Change,0
REF012,2019-04-05T22:42:00,2019-04-06T05:59:58.790268,REF012,785.0
Idle,2019-04-06T05:59:58.790268,2019-04-06T06:00:00,Idle,0
Change,2019-04-06T06:00:00,2019-04-06T06:42:00,Change,0
REF009REF017,2019-04-06T06:42:00,2019-04-06T12:47:12.344911,REF009REF017,1581
Change,2019-04-06T12:47:12.344911,2019-04-06T13:29:12.344911,Change,0
REF012,2019-04-06T13:29:12.344911,2019-04-06T21:59:43.036752,REF012,915.0
Idle,2019-04-06T21:59:43.036752,2019-04-06T22:00:00,Idle,0
Change,2019-04-06T22:00:00,2019-04-06T22:42:00,Change,0
REF010,2019-04-06T22:42:00,2019-04-06T23:59:59.121734,REF010,173.0
Idle,2019-04-06T23:59:59.121734,2019-04-07T00:00:00,Idle,0
Change,2019-04-07T00:00:00,2019-04-07T00:42:00,Change,0
REF004REF012,2019-04-07T00:42:00,2019-04-07T08:57:10.359177,REF004REF012,833
Change,2019-04-07T08:57:10.359177,2019-04-07T09:39:10.359177,Change,0
REF012,2019-04-07T09:39:10.359177,2019-04-07T23:59:30.607067,REF012,1542.0
Idle,2019-04-07T23:59:30.607067,2019-04-08T00:00:00,Idle,0
REF012,2019-04-08T00:00:00,2019-04-08T05:00:43.653445,REF012,539.0
Change,2019-04-08T05:00:43.653445,2019-04-08T05:42:43.653445,Change,0
REF010,2019-04-08T05:42:43.653445,2019-04-08T05:59:51.437410,REF010,38.0
Idle,2019-04-08T05:59:51.437410,2019-04-08T06:00:00,Idle,0
