Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF007,2019-04-01T06:42:00,2019-04-01T08:57:28.215310,REF007,429
Change,2019-04-01T08:57:28.215310,2019-04-01T09:39:28.215310,Change,0
REF009,2019-04-01T09:39:28.215310,2019-04-01T15:55:39.536600,REF009,959
Change,2019-04-01T15:55:39.536600,2019-04-01T16:37:39.536600,Change,0
REF005,2019-04-01T16:37:39.536600,2019-04-01T16:59:42.900373,REF005,48.0
Idle,2019-04-01T16:59:42.900373,2019-04-01T17:00:00,Idle,0
REF005,2019-04-01T17:00:00,2019-04-01T21:59:35.691251,REF005,652.0
Idle,2019-04-01T21:59:35.691251,2019-04-01T22:00:00,Idle,0
REF005,2019-04-01T22:00:00,2019-04-01T23:34:11.866114,REF005,205.0
Change,2019-04-01T23:34:11.866114,2019-04-02T00:16:11.866114,Change,0
REF010,2019-04-02T00:16:11.866114,2019-04-02T05:59:41.639301,REF010,762.0
Idle,2019-04-02T05:59:41.639301,2019-04-02T05:59:59.999999,Idle,0
Change,2019-04-02T05:59:59.999999,2019-04-02T06:41:59.999999,Change,0
REF001,2019-04-02T06:41:59.999999,2019-04-02T16:59:40.801732,REF001,1640.0
Idle,2019-04-02T16:59:40.801732,2019-04-02T16:59:59.999999,Idle,0
REF001,2019-04-02T16:59:59.999999,2019-04-02T20:17:21.378114,REF001,524.0
Change,2019-04-02T20:17:21.378114,2019-04-02T20:59:21.378114,Change,0
REF010,2019-04-02T20:59:21.378114,2019-04-02T21:59:45.668937,REF010,134.0
Idle,2019-04-02T21:59:45.668937,2019-04-02T21:59:59.999999,Idle,0
REF010,2019-04-02T21:59:59.999999,2019-04-03T05:59:37.951011,REF010,1064.0
Idle,2019-04-03T05:59:37.951011,2019-04-03T05:59:59.999999,Idle,0
REF010,2019-04-03T05:59:59.999999,2019-04-03T09:27:21.595362,REF010,460.0
Change,2019-04-03T09:27:21.595362,2019-04-03T10:09:21.595362,Change,0
REF009REF011,2019-04-03T10:09:21.595362,2019-04-03T16:59:36.228028,REF009REF011,896.0
Idle,2019-04-03T16:59:36.228028,2019-04-03T16:59:59.999999,Idle,0
Change,2019-04-03T16:59:59.999999,2019-04-03T17:41:59.999999,Change,0
REF005REF014,2019-04-03T17:41:59.999999,2019-04-03T21:59:55.013412,REF005REF014,566.0
Idle,2019-04-03T21:59:55.013412,2019-04-03T21:59:59.999999,Idle,0
Change,2019-04-03T21:59:59.999999,2019-04-03T22:41:59.999999,Change,0
REF009REF011,2019-04-03T22:41:59.999999,2019-04-04T03:34:06.937099,REF009REF011,638.0
Change,2019-04-04T03:34:06.937099,2019-04-04T04:16:06.937099,Change,0
REF005REF014,2019-04-04T04:16:06.937099,2019-04-04T05:59:33.347072,REF005REF014,227.0
Idle,2019-04-04T05:59:33.347072,2019-04-04T05:59:59.999999,Idle,0
REF005REF014,2019-04-04T05:59:59.999999,2019-04-04T09:51:56.575666,REF005REF014,509.0
Change,2019-04-04T09:51:56.575666,2019-04-04T10:33:56.575666,Change,0
REF003REF010,2019-04-04T10:33:56.575666,2019-04-04T16:59:59.874290,REF003REF010,748.0
Idle,2019-04-04T16:59:59.874290,2019-04-04T17:00:00,Idle,0
Change,2019-04-04T17:00:00,2019-04-04T17:42:00,Change,0
REF000REF007,2019-04-04T17:42:00,2019-04-04T21:59:50.978759,REF000REF007,858.0
Idle,2019-04-04T21:59:50.978759,2019-04-04T22:00:00,Idle,0
REF000REF007,2019-04-04T22:00:00,2019-04-05T03:31:28.682484,REF000REF007,1103.0
Change,2019-04-05T03:31:28.682484,2019-04-05T04:13:28.682484,Change,0
REF003REF010,2019-04-05T04:13:28.682484,2019-04-05T05:59:47.879699,REF003REF010,206.0
Idle,2019-04-05T05:59:47.879699,2019-04-05T06:00:00.000001,Idle,0
REF003REF010,2019-04-05T06:00:00.000001,2019-04-05T13:31:05.137698,REF003REF010,874.0
Change,2019-04-05T13:31:05.137698,2019-04-05T14:13:05.137698,Change,0
REF001REF004,2019-04-05T14:13:05.137698,2019-04-05T16:59:53.244315,REF001REF004,436.0
Idle,2019-04-05T16:59:53.244315,2019-04-05T17:00:00.000001,Idle,0
REF001REF004,2019-04-05T17:00:00.000001,2019-04-05T21:59:56.228414,REF001REF004,784.0
Idle,2019-04-05T21:59:56.228414,2019-04-05T22:00:00.000001,Idle,0
REF001REF004,2019-04-05T22:00:00.000001,2019-04-06T05:59:44.783712,REF001REF004,1254.0
Idle,2019-04-06T05:59:44.783712,2019-04-06T06:00:00.000001,Idle,0
REF001REF004,2019-04-06T06:00:00.000001,2019-04-06T21:59:52.521796,REF001REF004,2509.0
Idle,2019-04-06T21:59:52.521796,2019-04-06T22:00:00.000001,Idle,0
REF001REF004,2019-04-06T22:00:00.000001,2019-04-06T23:59:44.718742,REF001REF004,313.0
Idle,2019-04-06T23:59:44.718742,2019-04-07T00:00:00.000001,Idle,0
REF001REF004,2019-04-07T00:00:00.000001,2019-04-07T00:40:33.163536,REF001REF004,106.0
Idle,2019-04-07T00:40:33.163536,2019-04-08T00:00:00.000001,Idle,0
Idle,2019-04-08T00:00:00.000001,2019-04-08T00:00:00.000001,Idle,0
