Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF007,2019-04-01T06:42:00,2019-04-01T09:50:31.292635,REF007,597
Change,2019-04-01T09:50:31.292635,2019-04-01T10:32:31.292635,Change,0
REF002REF008,2019-04-01T10:32:31.292635,2019-04-01T13:18:03.770195,REF002REF008,400
Change,2019-04-01T13:18:03.770195,2019-04-01T14:00:03.770195,Change,0
REF005,2019-04-01T14:00:03.770195,2019-04-01T16:59:43.670930,REF005,391.0
Idle,2019-04-01T16:59:43.670930,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF009,2019-04-01T17:42:00,2019-04-01T21:59:43.355670,REF009,657.0
Idle,2019-04-01T21:59:43.355670,2019-04-01T22:00:00,Idle,0
REF009,2019-04-01T22:00:00,2019-04-02T03:28:43.427780,REF009,838.0
Change,2019-04-02T03:28:43.427780,2019-04-02T04:10:43.427780,Change,0
REF005,2019-04-02T04:10:43.427780,2019-04-02T05:59:37.536410,REF005,237.0
Idle,2019-04-02T05:59:37.536410,2019-04-02T06:00:00.000001,Idle,0
REF005,2019-04-02T06:00:00.000001,2019-04-02T14:36:56.338433,REF005,1125.0
Change,2019-04-02T14:36:56.338433,2019-04-02T15:18:56.338433,Change,0
REF008,2019-04-02T15:18:56.338433,2019-04-02T16:59:50.030746,REF008,244.0
Idle,2019-04-02T16:59:50.030746,2019-04-02T17:00:00.000001,Idle,0
Change,2019-04-02T17:00:00.000001,2019-04-02T17:42:00.000001,Change,0
REF011,2019-04-02T17:42:00.000001,2019-04-02T21:59:43.178137,REF011,617.0
Idle,2019-04-02T21:59:43.178137,2019-04-02T22:00:00.000001,Idle,0
REF011,2019-04-02T22:00:00.000001,2019-04-03T05:41:08.312257,REF011,1104.0
Idle,2019-04-03T05:41:08.312257,2019-04-03T06:00:00.000001,Idle,0
Change,2019-04-03T06:00:00.000001,2019-04-03T06:42:00.000001,Change,0
REF004REF011,2019-04-03T06:42:00.000001,2019-04-03T12:12:45.047105,REF004REF011,721
Change,2019-04-03T12:12:45.047105,2019-04-03T12:54:45.047105,Change,0
REF008,2019-04-03T12:54:45.047105,2019-04-03T16:59:57.504243,REF008,593.0
Idle,2019-04-03T16:59:57.504243,2019-04-03T17:00:00.000002,Idle,0
REF008,2019-04-03T17:00:00.000002,2019-04-03T21:59:47.405440,REF008,725.0
Idle,2019-04-03T21:59:47.405440,2019-04-03T22:00:00.000002,Idle,0
REF008,2019-04-03T22:00:00.000002,2019-04-04T05:59:39.848703,REF008,1160.0
Idle,2019-04-04T05:59:39.848703,2019-04-04T06:00:00.000002,Idle,0
REF008,2019-04-04T06:00:00.000002,2019-04-04T16:59:57.102180,REF008,1596.0
Idle,2019-04-04T16:59:57.102180,2019-04-04T17:00:00.000002,Idle,0
REF008,2019-04-04T17:00:00.000002,2019-04-04T21:59:47.405440,REF008,725.0
Idle,2019-04-04T21:59:47.405440,2019-04-04T22:00:00.000002,Idle,0
REF008,2019-04-04T22:00:00.000002,2019-04-05T03:35:45.894093,REF008,812.0
Change,2019-04-05T03:35:45.894093,2019-04-05T04:17:45.894093,Change,0
REF005REF014,2019-04-05T04:17:45.894093,2019-04-05T05:59:50.281027,REF005REF014,224.0
Idle,2019-04-05T05:59:50.281027,2019-04-05T06:00:00.000003,Idle,0
REF005REF014,2019-04-05T06:00:00.000003,2019-04-05T12:31:53.271267,REF005REF014,860.0
Change,2019-04-05T12:31:53.271267,2019-04-05T13:13:53.271267,Change,0
REF003REF007,2019-04-05T13:13:53.271267,2019-04-05T16:59:48.686270,REF003REF007,797.0
Idle,2019-04-05T16:59:48.686270,2019-04-05T17:00:00.000003,Idle,0
REF003REF007,2019-04-05T17:00:00.000003,2019-04-05T19:56:36.014491,REF003REF007,623.0
Idle,2019-04-05T19:56:36.014491,2019-04-05T22:00:00.000003,Idle,0
Off,2019-04-05T22:00:00.000003,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
