Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF005REF013,2019-04-01T06:42:00,2019-04-01T08:58:56.949112,REF005REF013,308
Change,2019-04-01T08:58:56.949112,2019-04-01T09:40:56.949112,Change,0
REF010,2019-04-01T09:40:56.949112,2019-04-01T15:55:05.914657,REF010,830
Change,2019-04-01T15:55:05.914657,2019-04-01T16:37:05.914657,Change,0
REF005,2019-04-01T16:37:05.914657,2019-04-01T16:59:36.848509,REF005,49.0
Idle,2019-04-01T16:59:36.848509,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF009,2019-04-01T17:42:00,2019-04-01T21:59:43.355670,REF009,657.0
Idle,2019-04-01T21:59:43.355670,2019-04-01T22:00:00,Idle,0
Change,2019-04-01T22:00:00,2019-04-01T22:42:00,Change,0
REF005,2019-04-01T22:42:00,2019-04-02T05:59:54.284912,REF005,953.0
Idle,2019-04-02T05:59:54.284912,2019-04-02T06:00:00,Idle,0
REF005,2019-04-02T06:00:00,2019-04-02T09:52:30.459775,REF005,506.0
Change,2019-04-02T09:52:30.459775,2019-04-02T10:34:30.459775,Change,0
REF009,2019-04-02T10:34:30.459775,2019-04-02T16:59:43.116195,REF009,982.0
Idle,2019-04-02T16:59:43.116195,2019-04-02T17:00:00.000001,Idle,0
REF009,2019-04-02T17:00:00.000001,2019-04-02T19:22:23.680531,REF009,363.0
Change,2019-04-02T19:22:23.680531,2019-04-02T20:04:23.680531,Change,0
REF006,2019-04-02T20:04:23.680531,2019-04-02T21:59:45.377912,REF006,312.0
Idle,2019-04-02T21:59:45.377912,2019-04-02T22:00:00.000001,Idle,0
Change,2019-04-02T22:00:00.000001,2019-04-02T22:42:00.000001,Change,0
REF008,2019-04-02T22:42:00.000001,2019-04-03T05:59:54.017048,REF008,1059.0
Idle,2019-04-03T05:59:54.017048,2019-04-03T06:00:00.000001,Idle,0
Change,2019-04-03T06:00:00.000001,2019-04-03T06:42:00.000001,Change,0
REF009REF011,2019-04-03T06:42:00.000001,2019-04-03T12:10:17.200472,REF009REF011,717
Change,2019-04-03T12:10:17.200472,2019-04-03T12:52:17.200472,Change,0
REF006,2019-04-03T12:52:17.200472,2019-04-03T16:59:38.916973,REF006,669.0
Idle,2019-04-03T16:59:38.916973,2019-04-03T17:00:00.000002,Idle,0
Change,2019-04-03T17:00:00.000002,2019-04-03T17:42:00.000002,Change,0
REF008,2019-04-03T17:42:00.000002,2019-04-03T21:59:36.763571,REF008,623.0
Idle,2019-04-03T21:59:36.763571,2019-04-03T22:00:00.000002,Idle,0
Change,2019-04-03T22:00:00.000002,2019-04-03T22:42:00.000002,Change,0
REF006,2019-04-03T22:42:00.000002,2019-04-04T05:59:46.954168,REF006,1184.0
Idle,2019-04-04T05:59:46.954168,2019-04-04T06:00:00.000002,Idle,0
REF006,2019-04-04T06:00:00.000002,2019-04-04T13:32:56.536195,REF006,1225.0
Change,2019-04-04T13:32:56.536195,2019-04-04T14:14:56.536195,Change,0
REF008,2019-04-04T14:14:56.536195,2019-04-04T16:59:55.811739,REF008,399.0
Idle,2019-04-04T16:59:55.811739,2019-04-04T17:00:00.000001,Idle,0
Change,2019-04-04T17:00:00.000001,2019-04-04T17:42:00.000001,Change,0
REF002,2019-04-04T17:42:00.000001,2019-04-04T21:59:37.583101,REF002,561.0
Idle,2019-04-04T21:59:37.583101,2019-04-04T22:00:00.000001,Idle,0
REF002,2019-04-04T22:00:00.000001,2019-04-05T03:00:20.070139,REF002,654.0
Change,2019-04-05T03:00:20.070139,2019-04-05T03:42:20.070139,Change,0
REF008,2019-04-05T03:42:20.070139,2019-04-05T05:59:37.061319,REF008,332.0
Idle,2019-04-05T05:59:37.061319,2019-04-05T06:00:00.000001,Idle,0
REF008,2019-04-05T06:00:00.000001,2019-04-05T15:04:10.242148,REF008,1316.0
Change,2019-04-05T15:04:10.242148,2019-04-05T15:46:10.242148,Change,0
REF002REF004,2019-04-05T15:46:10.242148,2019-04-05T16:59:47.866994,REF002REF004,164.0
Idle,2019-04-05T16:59:47.866994,2019-04-05T17:00:00.000001,Idle,0
REF002REF004,2019-04-05T17:00:00.000001,2019-04-05T20:53:00.166435,REF002REF004,519.0
Change,2019-04-05T20:53:00.166435,2019-04-05T21:35:00.166435,Change,0
REF000REF008,2019-04-05T21:35:00.166435,2019-04-05T21:59:54.531262,REF000REF008,89.0
Idle,2019-04-05T21:59:54.531262,2019-04-05T22:00:00.000001,Idle,0
Change,2019-04-05T22:00:00.000001,2019-04-05T22:42:00.000001,Change,0
REF001REF006,2019-04-05T22:42:00.000001,2019-04-06T05:59:47.041713,REF001REF006,1745.0
Idle,2019-04-06T05:59:47.041713,2019-04-06T06:00:00.000001,Idle,0
REF001REF006,2019-04-06T06:00:00.000001,2019-04-06T08:02:55.845525,REF001REF006,490.0
Change,2019-04-06T08:02:55.845525,2019-04-06T08:44:55.845525,Change,0
REF000REF008,2019-04-06T08:44:55.845525,2019-04-06T16:45:42.123871,REF000REF008,1718.0
Idle,2019-04-06T16:45:42.123871,2019-04-06T22:00:00.000001,Idle,0
Off,2019-04-06T22:00:00.000001,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
