Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF014,2019-04-01T06:42:00,2019-04-01T07:18:10.327860,REF014,146
Change,2019-04-01T07:18:10.327860,2019-04-01T08:00:10.327860,Change,0
REF003REF013,2019-04-01T08:00:10.327860,2019-04-01T08:48:48.909581,REF003REF013,111
Change,2019-04-01T08:48:48.909581,2019-04-01T09:30:48.909581,Change,0
REF003,2019-04-01T09:30:48.909581,2019-04-01T16:59:32.302452,REF003,890.0
Idle,2019-04-01T16:59:32.302452,2019-04-01T16:59:59.999999,Idle,0
REF003,2019-04-01T16:59:59.999999,2019-04-01T20:03:01.114170,REF003,363.0
Change,2019-04-01T20:03:01.114170,2019-04-01T20:45:01.114170,Change,0
REF009,2019-04-01T20:45:01.114170,2019-04-01T21:59:56.549380,REF009,191.0
Idle,2019-04-01T21:59:56.549380,2019-04-01T21:59:59.999999,Idle,0
REF009,2019-04-01T21:59:59.999999,2019-04-02T05:59:44.907129,REF009,1223.0
Idle,2019-04-02T05:59:44.907129,2019-04-02T05:59:59.999999,Idle,0
REF009,2019-04-02T05:59:59.999999,2019-04-02T10:52:14.550949,REF009,745.0
Change,2019-04-02T10:52:14.550949,2019-04-02T11:34:14.550949,Change,0
REF007,2019-04-02T11:34:14.550949,2019-04-02T16:59:48.793338,REF007,1031.0
Idle,2019-04-02T16:59:48.793338,2019-04-02T16:59:59.999999,Idle,0
Change,2019-04-02T16:59:59.999999,2019-04-02T17:41:59.999999,Change,0
REF006,2019-04-02T17:41:59.999999,2019-04-02T21:59:42.894470,REF006,697.0
Idle,2019-04-02T21:59:42.894470,2019-04-02T21:59:59.999999,Idle,0
Change,2019-04-02T21:59:59.999999,2019-04-02T22:41:59.999999,Change,0
REF007,2019-04-02T22:41:59.999999,2019-04-03T05:59:59.334814,REF007,1387.0
Idle,2019-04-03T05:59:59.334814,2019-04-03T05:59:59.999999,Idle,0
REF007,2019-04-03T05:59:59.999999,2019-04-03T07:09:09.368654,REF007,219.0
Change,2019-04-03T07:09:09.368654,2019-04-03T07:51:09.368654,Change,0
REF006,2019-04-03T07:51:09.368654,2019-04-03T16:59:51.801071,REF006,1484.0
Idle,2019-04-03T16:59:51.801071,2019-04-03T16:59:59.999999,Idle,0
Change,2019-04-03T16:59:59.999999,2019-04-03T17:41:59.999999,Change,0
REF008,2019-04-03T17:41:59.999999,2019-04-03T21:59:36.763568,REF008,623.0
Idle,2019-04-03T21:59:36.763568,2019-04-03T21:59:59.999999,Idle,0
Change,2019-04-03T21:59:59.999999,2019-04-03T22:41:59.999999,Change,0
REF006,2019-04-03T22:41:59.999999,2019-04-04T05:59:46.954165,REF006,1184.0
Idle,2019-04-04T05:59:46.954165,2019-04-04T05:59:59.999999,Idle,0
REF006,2019-04-04T05:59:59.999999,2019-04-04T10:15:51.969832,REF006,692.0
Change,2019-04-04T10:15:51.969832,2019-04-04T10:57:51.969832,Change,0
REF008,2019-04-04T10:57:51.969832,2019-04-04T16:59:40.907430,REF008,875.0
Idle,2019-04-04T16:59:40.907430,2019-04-04T16:59:59.999999,Idle,0
REF008,2019-04-04T16:59:59.999999,2019-04-04T21:59:47.405437,REF008,725.0
Idle,2019-04-04T21:59:47.405437,2019-04-04T21:59:59.999999,Idle,0
REF008,2019-04-04T21:59:59.999999,2019-04-05T05:59:39.848700,REF008,1160.0
Idle,2019-04-05T05:59:39.848700,2019-04-05T05:59:59.999999,Idle,0
REF008,2019-04-05T05:59:59.999999,2019-04-05T14:35:13.527138,REF008,1246.0
Change,2019-04-05T14:35:13.527138,2019-04-05T15:17:13.527138,Change,0
REF008REF010,2019-04-05T15:17:13.527138,2019-04-05T16:59:44.560576,REF008REF010,71.0
Idle,2019-04-05T16:59:44.560576,2019-04-05T16:59:59.999999,Idle,0
REF008REF010,2019-04-05T16:59:59.999999,2019-04-05T21:58:53.294670,REF008REF010,207.0
Idle,2019-04-05T21:58:53.294670,2019-04-05T21:59:59.999999,Idle,0
REF008REF010,2019-04-05T21:59:59.999999,2019-04-06T04:15:24.911180,REF008REF010,260.0
Change,2019-04-06T04:15:24.911180,2019-04-06T04:57:24.911180,Change,0
REF002REF009,2019-04-06T04:57:24.911180,2019-04-06T05:59:23.987226,REF002REF009,94.0
Idle,2019-04-06T05:59:23.987226,2019-04-06T06:00:00,Idle,0
REF002REF009,2019-04-06T06:00:00,2019-04-06T15:56:06.433460,REF002REF009,904.0
Change,2019-04-06T15:56:06.433460,2019-04-06T16:38:06.433460,Change,0
REF000REF007,2019-04-06T16:38:06.433460,2019-04-06T21:59:58.109743,REF000REF007,1071.0
Idle,2019-04-06T21:59:58.109743,2019-04-06T22:00:00,Idle,0
REF000REF007,2019-04-06T22:00:00,2019-04-06T23:59:54.546066,REF000REF007,399.0
Idle,2019-04-06T23:59:54.546066,2019-04-07T00:00:00,Idle,0
REF000REF007,2019-04-07T00:00:00,2019-04-07T01:12:43.609394,REF000REF007,242.0
Idle,2019-04-07T01:12:43.609394,2019-04-08T00:00:00,Idle,0
Idle,2019-04-08T00:00:00,2019-04-08T00:00:00,Idle,0
