Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF004REF012,2019-04-01T06:42:00,2019-04-01T08:35:32.339259,REF004REF012,191
Change,2019-04-01T08:35:32.339259,2019-04-01T09:17:32.339259,Change,0
REF003,2019-04-01T09:17:32.339259,2019-04-01T16:59:52.509217,REF003,917.0
Idle,2019-04-01T16:59:52.509217,2019-04-01T17:00:00,Idle,0
REF003,2019-04-01T17:00:00,2019-04-01T21:59:59.346920,REF003,595.0
Idle,2019-04-01T21:59:59.346920,2019-04-01T22:00:00,Idle,0
REF003,2019-04-01T22:00:00,2019-04-02T05:59:58.955071,REF003,952.0
Idle,2019-04-02T05:59:58.955071,2019-04-02T06:00:00,Idle,0
Change,2019-04-02T06:00:00,2019-04-02T06:42:00,Change,0
REF001REF018,2019-04-02T06:42:00,2019-04-02T11:05:03.094039,REF001REF018,956
Change,2019-04-02T11:05:03.094039,2019-04-02T11:47:03.094039,Change,0
REF003,2019-04-02T11:47:03.094039,2019-04-02T16:59:38.716039,REF003,620.0
Idle,2019-04-02T16:59:38.716039,2019-04-02T17:00:00,Idle,0
REF003,2019-04-02T17:00:00,2019-04-02T21:59:59.346920,REF003,595.0
Idle,2019-04-02T21:59:59.346920,2019-04-02T22:00:00,Idle,0
REF003,2019-04-02T22:00:00,2019-04-03T04:20:09.256432,REF003,754.0
Change,2019-04-03T04:20:09.256432,2019-04-03T05:02:09.256432,Change,0
REF012,2019-04-03T05:02:09.256432,2019-04-03T05:59:37.301525,REF012,103.0
Idle,2019-04-03T05:59:37.301525,2019-04-03T06:00:00,Idle,0
Change,2019-04-03T06:00:00,2019-04-03T06:42:00,Change,0
REF006,2019-04-03T06:42:00,2019-04-03T16:59:51.013860,REF006,1671.0
Idle,2019-04-03T16:59:51.013860,2019-04-03T17:00:00,Idle,0
Change,2019-04-03T17:00:00,2019-04-03T17:42:00,Change,0
REF012,2019-04-03T17:42:00,2019-04-03T21:59:45.988667,REF012,462.0
Idle,2019-04-03T21:59:45.988667,2019-04-03T22:00:00,Idle,0
Change,2019-04-03T22:00:00,2019-04-03T22:42:00,Change,0
REF006,2019-04-03T22:42:00,2019-04-04T05:59:46.954166,REF006,1184.0
Idle,2019-04-04T05:59:46.954166,2019-04-04T06:00:00,Idle,0
Change,2019-04-04T06:00:00,2019-04-04T06:42:00,Change,0
REF012,2019-04-04T06:42:00,2019-04-04T16:59:38.115703,REF012,1107.0
Idle,2019-04-04T16:59:38.115703,2019-04-04T17:00:00,Idle,0
Change,2019-04-04T17:00:00,2019-04-04T17:42:00,Change,0
REF006,2019-04-04T17:42:00,2019-04-04T21:59:42.894471,REF006,697.0
Idle,2019-04-04T21:59:42.894471,2019-04-04T22:00:00,Idle,0
Change,2019-04-04T22:00:00,2019-04-04T22:42:00,Change,0
REF012,2019-04-04T22:42:00,2019-04-05T05:59:58.790268,REF012,785.0
Idle,2019-04-05T05:59:58.790268,2019-04-05T06:00:00,Idle,0
REF012,2019-04-05T06:00:00,2019-04-05T09:59:21.275191,REF012,429.0
Change,2019-04-05T09:59:21.275191,2019-04-05T10:41:21.275191,Change,0
REF006,2019-04-05T10:41:21.275191,2019-04-05T16:59:58.640956,REF006,1024.0
Idle,2019-04-05T16:59:58.640956,2019-04-05T17:00:00,Idle,0
REF006,2019-04-05T17:00:00,2019-04-05T20:31:29.778533,REF006,572.0
Change,2019-04-05T20:31:29.778533,2019-04-05T21:13:29.778533,Change,0
REF001,2019-04-05T21:13:29.778533,2019-04-05T21:59:49.338663,REF001,123.0
Idle,2019-04-05T21:59:49.338663,2019-04-05T22:00:00,Idle,0
REF001,2019-04-05T22:00:00,2019-04-06T05:59:49.915493,REF001,1274.0
Idle,2019-04-06T05:59:49.915493,2019-04-06T06:00:00,Idle,0
REF001,2019-04-06T06:00:00,2019-04-06T16:34:15.115926,REF001,1684.0
Change,2019-04-06T16:34:15.115926,2019-04-06T17:16:15.115926,Change,0
REF003REF005,2019-04-06T17:16:15.115926,2019-04-06T21:59:28.165036,REF003REF005,527.0
Idle,2019-04-06T21:59:28.165036,2019-04-06T22:00:00,Idle,0
Change,2019-04-06T22:00:00,2019-04-06T22:42:00,Change,0
REF006REF015,2019-04-06T22:42:00,2019-04-06T23:59:44.639485,REF006REF015,281.0
Idle,2019-04-06T23:59:44.639485,2019-04-07T00:00:00,Idle,0
REF006REF015,2019-04-07T00:00:00,2019-04-07T04:40:15.942344,REF006REF015,1013.0
Change,2019-04-07T04:40:15.942344,2019-04-07T05:22:15.942344,Change,0
REF003REF005,2019-04-07T05:22:15.942344,2019-04-07T13:35:36.737568,REF003REF005,918.0
Idle,2019-04-07T13:35:36.737568,2019-04-08T00:00:00,Idle,0
Idle,2019-04-08T00:00:00,2019-04-08T00:00:00,Idle,0
