Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF005,2019-04-01T06:42:00,2019-04-01T16:59:34.185647,REF005,1344.0
Idle,2019-04-01T16:59:34.185647,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF009,2019-04-01T17:42:00,2019-04-01T21:59:43.355670,REF009,657.0
Idle,2019-04-01T21:59:43.355670,2019-04-01T22:00:00,Idle,0
Change,2019-04-01T22:00:00,2019-04-01T22:42:00,Change,0
REF005,2019-04-01T22:42:00,2019-04-02T05:59:54.284912,REF005,953.0
Idle,2019-04-02T05:59:54.284912,2019-04-02T06:00:00,Idle,0
REF005,2019-04-02T06:00:00,2019-04-02T10:00:19.151111,REF005,523.0
Change,2019-04-02T10:00:19.151111,2019-04-02T10:42:19.151111,Change,0
REF009,2019-04-02T10:42:19.151111,2019-04-02T16:59:41.081331,REF009,962.0
Idle,2019-04-02T16:59:41.081331,2019-04-02T17:00:00,Idle,0
REF009,2019-04-02T17:00:00,2019-04-02T21:14:35.065190,REF009,649.0
Change,2019-04-02T21:14:35.065190,2019-04-02T21:56:35.065190,Change,0
REF007,2019-04-02T21:56:35.065190,2019-04-02T21:59:44.534078,REF007,10.0
Idle,2019-04-02T21:59:44.534078,2019-04-02T22:00:00,Idle,0
REF007,2019-04-02T22:00:00,2019-04-03T05:59:59.271030,REF007,1520.0
Idle,2019-04-03T05:59:59.271030,2019-04-03T06:00:00,Idle,0
REF007,2019-04-03T06:00:00,2019-04-03T16:59:58.997666,REF007,2090.0
Idle,2019-04-03T16:59:58.997666,2019-04-03T17:00:00,Idle,0
REF007,2019-04-03T17:00:00,2019-04-03T19:07:34.543090,REF007,404.0
Change,2019-04-03T19:07:34.543090,2019-04-03T19:49:34.543090,Change,0
REF002,2019-04-03T19:49:34.543090,2019-04-03T21:59:59.772324,REF002,284.0
Idle,2019-04-03T21:59:59.772324,2019-04-03T22:00:00,Idle,0
REF002,2019-04-03T22:00:00,2019-04-04T05:59:53.537148,REF002,1045.0
Idle,2019-04-04T05:59:53.537148,2019-04-04T06:00:00,Idle,0
REF002,2019-04-04T06:00:00,2019-04-04T16:59:54.557781,REF002,1437.0
Idle,2019-04-04T16:59:54.557781,2019-04-04T17:00:00,Idle,0
REF002,2019-04-04T17:00:00,2019-04-04T21:59:52.516514,REF002,653.0
Idle,2019-04-04T21:59:52.516514,2019-04-04T22:00:00,Idle,0
REF002,2019-04-04T22:00:00,2019-04-04T22:42:42.487038,REF002,93.0
Change,2019-04-04T22:42:42.487038,2019-04-04T23:24:42.487038,Change,0
REF003REF009,2019-04-04T23:24:42.487038,2019-04-05T05:59:46.578691,REF003REF009,620.0
Idle,2019-04-05T05:59:46.578691,2019-04-05T06:00:00,Idle,0
Change,2019-04-05T06:00:00,2019-04-05T06:42:00,Change,0
REF000REF007,2019-04-05T06:42:00,2019-04-05T13:32:48.983640,REF000REF007,1367
Change,2019-04-05T13:32:48.983640,2019-04-05T14:14:48.983640,Change,0
REF003REF009,2019-04-05T14:14:48.983640,2019-04-05T16:59:51.176766,REF003REF009,259.0
Idle,2019-04-05T16:59:51.176766,2019-04-05T17:00:00,Idle,0
Change,2019-04-05T17:00:00,2019-04-05T17:42:00,Change,0
REF005REF011,2019-04-05T17:42:00,2019-04-05T21:59:53.062509,REF005REF011,646.0
Idle,2019-04-05T21:59:53.062509,2019-04-05T22:00:00,Idle,0
Change,2019-04-05T22:00:00,2019-04-05T22:42:00,Change,0
REF003REF009,2019-04-05T22:42:00,2019-04-06T05:59:45.662848,REF003REF009,687.0
Idle,2019-04-06T05:59:45.662848,2019-04-06T06:00:00,Idle,0
REF003REF009,2019-04-06T06:00:00,2019-04-06T12:21:02.978723,REF003REF009,598.0
Change,2019-04-06T12:21:02.978723,2019-04-06T13:03:02.978723,Change,0
REF005REF011,2019-04-06T13:03:02.978723,2019-04-06T21:59:58.565525,REF005REF011,1345.0
Idle,2019-04-06T21:59:58.565525,2019-04-06T21:59:59.999999,Idle,0
Change,2019-04-06T21:59:59.999999,2019-04-06T22:41:59.999999,Change,0
REF002REF004,2019-04-06T22:41:59.999999,2019-04-06T23:59:40.055477,REF002REF004,173.0
Idle,2019-04-06T23:59:40.055477,2019-04-06T23:59:59.999999,Idle,0
REF002REF004,2019-04-06T23:59:59.999999,2019-04-07T12:28:23.540358,REF002REF004,1667.0
Change,2019-04-07T12:28:23.540358,2019-04-07T13:10:23.540358,Change,0
REF005REF011,2019-04-07T13:10:23.540358,2019-04-07T23:59:53.621940,REF005REF011,1627.0
Idle,2019-04-07T23:59:53.621940,2019-04-08T00:00:00,Idle,0
REF005REF011,2019-04-08T00:00:00,2019-04-08T05:59:40.850341,REF005REF011,901.0
Idle,2019-04-08T05:59:40.850341,2019-04-08T06:00:00,Idle,0
