Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF006,2019-04-01T06:42:00,2019-04-01T10:17:33.812735,REF006,583
Change,2019-04-01T10:17:33.812735,2019-04-01T10:59:33.812735,Change,0
REF008,2019-04-01T10:59:33.812735,2019-04-01T15:55:37.926243,REF008,716
Change,2019-04-01T15:55:37.926243,2019-04-01T16:37:37.926243,Change,0
REF003,2019-04-01T16:37:37.926243,2019-04-01T16:59:48.970385,REF003,44.0
Idle,2019-04-01T16:59:48.970385,2019-04-01T16:59:59.999999,Idle,0
REF003,2019-04-01T16:59:59.999999,2019-04-01T21:59:59.346919,REF003,595.0
Idle,2019-04-01T21:59:59.346919,2019-04-01T21:59:59.999999,Idle,0
REF003,2019-04-01T21:59:59.999999,2019-04-02T05:59:58.955070,REF003,952.0
Idle,2019-04-02T05:59:58.955070,2019-04-02T05:59:59.999999,Idle,0
REF003,2019-04-02T05:59:59.999999,2019-04-02T16:59:58.563222,REF003,1309.0
Idle,2019-04-02T16:59:58.563222,2019-04-02T16:59:59.999999,Idle,0
REF003,2019-04-02T16:59:59.999999,2019-04-02T21:59:59.346919,REF003,595.0
Idle,2019-04-02T21:59:59.346919,2019-04-02T21:59:59.999999,Idle,0
REF003,2019-04-02T21:59:59.999999,2019-04-03T05:59:58.955070,REF003,952.0
Idle,2019-04-03T05:59:58.955070,2019-04-03T05:59:59.999999,Idle,0
REF003,2019-04-03T05:59:59.999999,2019-04-03T16:59:58.563222,REF003,1309.0
Idle,2019-04-03T16:59:58.563222,2019-04-03T16:59:59.999999,Idle,0
REF003,2019-04-03T16:59:59.999999,2019-04-03T19:13:36.515854,REF003,265.0
Change,2019-04-03T19:13:36.515854,2019-04-03T19:55:36.515854,Change,0
REF011,2019-04-03T19:55:36.515854,2019-04-03T21:59:39.893336,REF011,297.0
Idle,2019-04-03T21:59:39.893336,2019-04-03T21:59:59.999999,Idle,0
REF011,2019-04-03T21:59:59.999999,2019-04-04T05:59:56.096722,REF011,1149.0
Idle,2019-04-04T05:59:56.096722,2019-04-04T05:59:59.999999,Idle,0
REF011,2019-04-04T05:59:59.999999,2019-04-04T13:21:05.342157,REF011,1056.0
Change,2019-04-04T13:21:05.342157,2019-04-04T14:03:05.342157,Change,0
REF003REF005,2019-04-04T14:03:05.342157,2019-04-04T16:59:53.906023,REF003REF005,329.0
Idle,2019-04-04T16:59:53.906023,2019-04-04T17:00:00,Idle,0
Change,2019-04-04T17:00:00,2019-04-04T17:42:00,Change,0
REF004REF011,2019-04-04T17:42:00,2019-04-04T21:59:48.677493,REF004REF011,562.0
Idle,2019-04-04T21:59:48.677493,2019-04-04T22:00:00,Idle,0
REF004REF011,2019-04-04T22:00:00,2019-04-05T04:44:36.465389,REF004REF011,882.0
Change,2019-04-05T04:44:36.465389,2019-04-05T05:26:36.465389,Change,0
REF003REF005,2019-04-05T05:26:36.465389,2019-04-05T05:59:55.647637,REF003REF005,62.0
Idle,2019-04-05T05:59:55.647637,2019-04-05T06:00:00,Idle,0
REF003REF005,2019-04-05T06:00:00,2019-04-05T16:59:56.706465,REF003REF005,1228.0
Idle,2019-04-05T16:59:56.706465,2019-04-05T17:00:00,Idle,0
REF003REF005,2019-04-05T17:00:00,2019-04-05T21:59:52.640234,REF003REF005,558.0
Idle,2019-04-05T21:59:52.640234,2019-04-05T22:00:00,Idle,0
REF003REF005,2019-04-05T22:00:00,2019-04-06T05:59:54.673350,REF003REF005,893.0
Idle,2019-04-06T05:59:54.673350,2019-04-06T06:00:00,Idle,0
REF003REF005,2019-04-06T06:00:00,2019-04-06T14:07:58.346474,REF003REF005,908.0
Idle,2019-04-06T14:07:58.346474,2019-04-06T22:00:00,Idle,0
Off,2019-04-06T22:00:00,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
