Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF002REF008,2019-04-01T06:42:00,2019-04-01T07:07:39.534022,REF002REF008,62
Change,2019-04-01T07:07:39.534022,2019-04-01T07:49:39.534022,Change,0
REF004REF011,2019-04-01T07:49:39.534022,2019-04-01T09:32:24.985549,REF004REF011,224
Change,2019-04-01T09:32:24.985549,2019-04-01T10:14:24.985549,Change,0
REF000,2019-04-01T10:14:24.985549,2019-04-01T15:29:39.580104,REF000,1095
Change,2019-04-01T15:29:39.580104,2019-04-01T16:11:39.580104,Change,0
REF004,2019-04-01T16:11:39.580104,2019-04-01T16:59:52.047645,REF004,105.0
Idle,2019-04-01T16:59:52.047645,2019-04-01T17:00:00,Idle,0
REF004,2019-04-01T17:00:00,2019-04-01T21:59:48.393372,REF004,653.0
Idle,2019-04-01T21:59:48.393372,2019-04-01T22:00:00,Idle,0
Change,2019-04-01T22:00:00,2019-04-01T22:42:00,Change,0
REF012,2019-04-01T22:42:00,2019-04-02T05:03:37.697508,REF012,684
Change,2019-04-02T05:03:37.697508,2019-04-02T05:45:37.697508,Change,0
REF004,2019-04-02T05:45:37.697508,2019-04-02T05:59:51.664115,REF004,31.0
Idle,2019-04-02T05:59:51.664115,2019-04-02T06:00:00,Idle,0
REF004,2019-04-02T06:00:00,2019-04-02T16:59:45.484343,REF004,1437.0
Idle,2019-04-02T16:59:45.484343,2019-04-02T17:00:00,Idle,0
REF004,2019-04-02T17:00:00,2019-04-02T21:59:48.393372,REF004,653.0
Idle,2019-04-02T21:59:48.393372,2019-04-02T22:00:00,Idle,0
REF004,2019-04-02T22:00:00,2019-04-03T05:59:46.938858,REF004,1045.0
Idle,2019-04-03T05:59:46.938858,2019-04-03T06:00:00,Idle,0
REF004,2019-04-03T06:00:00,2019-04-03T16:59:45.484343,REF004,1437.0
Idle,2019-04-03T16:59:45.484343,2019-04-03T17:00:00,Idle,0
REF004,2019-04-03T17:00:00,2019-04-03T21:59:48.393372,REF004,653.0
Idle,2019-04-03T21:59:48.393372,2019-04-03T22:00:00,Idle,0
REF004,2019-04-03T22:00:00,2019-04-04T05:59:46.938858,REF004,1045.0
Idle,2019-04-04T05:59:46.938858,2019-04-04T06:00:00,Idle,0
REF004,2019-04-04T06:00:00,2019-04-04T16:59:45.484343,REF004,1437.0
Idle,2019-04-04T16:59:45.484343,2019-04-04T17:00:00,Idle,0
REF004,2019-04-04T17:00:00,2019-04-04T17:02:45.283859,REF004,6.0
Change,2019-04-04T17:02:45.283859,2019-04-04T17:44:45.283859,Change,0
REF006,2019-04-04T17:44:45.283859,2019-04-04T21:59:52.883837,REF006,690.0
Idle,2019-04-04T21:59:52.883837,2019-04-04T21:59:59.999999,Idle,0
Change,2019-04-04T21:59:59.999999,2019-04-04T22:41:59.999999,Change,0
REF008,2019-04-04T22:41:59.999999,2019-04-05T05:59:54.017046,REF008,1059.0
Idle,2019-04-05T05:59:54.017046,2019-04-05T05:59:59.999999,Idle,0
Change,2019-04-05T05:59:59.999999,2019-04-05T06:41:59.999999,Change,0
REF006,2019-04-05T06:41:59.999999,2019-04-05T16:59:51.013859,REF006,1671.0
Idle,2019-04-05T16:59:51.013859,2019-04-05T16:59:59.999999,Idle,0
Change,2019-04-05T16:59:59.999999,2019-04-05T17:41:59.999999,Change,0
REF008,2019-04-05T17:41:59.999999,2019-04-05T21:59:36.763568,REF008,623.0
Idle,2019-04-05T21:59:36.763568,2019-04-05T21:59:59.999999,Idle,0
Change,2019-04-05T21:59:59.999999,2019-04-05T22:41:59.999999,Change,0
REF006,2019-04-05T22:41:59.999999,2019-04-06T05:59:46.954165,REF006,1184.0
Idle,2019-04-06T05:59:46.954165,2019-04-06T05:59:59.999999,Idle,0
REF006,2019-04-06T05:59:59.999999,2019-04-06T07:53:08.587815,REF006,306.0
Change,2019-04-06T07:53:08.587815,2019-04-06T08:35:08.587815,Change,0
REF008,2019-04-06T08:35:08.587815,2019-04-06T21:59:49.265032,REF008,1946.0
Idle,2019-04-06T21:59:49.265032,2019-04-06T21:59:59.999999,Idle,0
REF008,2019-04-06T21:59:59.999999,2019-04-06T23:59:54.962174,REF008,290.0
Idle,2019-04-06T23:59:54.962174,2019-04-06T23:59:59.999999,Idle,0
REF008,2019-04-06T23:59:59.999999,2019-04-07T00:01:14.430642,REF008,3.0
Change,2019-04-07T00:01:14.430642,2019-04-07T00:43:14.430642,Change,0
REF006REF014,2019-04-07T00:43:14.430642,2019-04-07T09:27:08.993732,REF006REF014,1629
Idle,2019-04-07T09:27:08.993732,2019-04-07T23:59:59.999998,Idle,0
Idle,2019-04-07T23:59:59.999998,2019-04-07T23:59:59.999998,Idle,0
