Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF002REF008,2019-04-01T06:42:00,2019-04-01T09:14:42.710549,REF002REF008,369
Change,2019-04-01T09:14:42.710549,2019-04-01T09:56:42.710549,Change,0
REF003,2019-04-01T09:56:42.710549,2019-04-01T16:59:43.302256,REF003,839.0
Idle,2019-04-01T16:59:43.302256,2019-04-01T17:00:00,Idle,0
REF003,2019-04-01T17:00:00,2019-04-01T21:59:59.346920,REF003,595.0
Idle,2019-04-01T21:59:59.346920,2019-04-01T22:00:00,Idle,0
REF003,2019-04-01T22:00:00,2019-04-02T05:59:58.955071,REF003,952.0
Idle,2019-04-02T05:59:58.955071,2019-04-02T06:00:00,Idle,0
Change,2019-04-02T06:00:00,2019-04-02T06:42:00,Change,0
REF008,2019-04-02T06:42:00,2019-04-02T14:27:11.491197,REF008,1125
Change,2019-04-02T14:27:11.491197,2019-04-02T15:09:11.491197,Change,0
REF003,2019-04-02T15:09:11.491197,2019-04-02T16:59:36.460904,REF003,219.0
Idle,2019-04-02T16:59:36.460904,2019-04-02T17:00:00.000001,Idle,0
REF003,2019-04-02T17:00:00.000001,2019-04-02T21:59:59.346921,REF003,595.0
Idle,2019-04-02T21:59:59.346921,2019-04-02T22:00:00.000001,Idle,0
REF003,2019-04-02T22:00:00.000001,2019-04-03T05:48:53.433001,REF003,930.0
Idle,2019-04-03T05:48:53.433001,2019-04-03T06:00:00.000001,Idle,0
Change,2019-04-03T06:00:00.000001,2019-04-03T06:42:00.000001,Change,0
REF006,2019-04-03T06:42:00.000001,2019-04-03T14:57:05.617930,REF006,1339
Change,2019-04-03T14:57:05.617930,2019-04-03T15:39:05.617930,Change,0
REF013,2019-04-03T15:39:05.617930,2019-04-03T16:59:45.895152,REF013,206.0
Idle,2019-04-03T16:59:45.895152,2019-04-03T17:00:00.000001,Idle,0
Change,2019-04-03T17:00:00.000001,2019-04-03T17:42:00.000001,Change,0
REF011,2019-04-03T17:42:00.000001,2019-04-03T21:59:43.178137,REF011,617.0
Idle,2019-04-03T21:59:43.178137,2019-04-03T22:00:00.000001,Idle,0
Change,2019-04-03T22:00:00.000001,2019-04-03T22:42:00.000001,Change,0
REF013,2019-04-03T22:42:00.000001,2019-04-04T05:59:49.077352,REF013,1118.0
Idle,2019-04-04T05:59:49.077352,2019-04-04T06:00:00.000001,Idle,0
REF013,2019-04-04T06:00:00.000001,2019-04-04T11:33:15.514157,REF013,851.0
Change,2019-04-04T11:33:15.514157,2019-04-04T12:15:15.514157,Change,0
REF011,2019-04-04T12:15:15.514157,2019-04-04T16:59:42.652423,REF011,681.0
Idle,2019-04-04T16:59:42.652423,2019-04-04T17:00:00.000001,Idle,0
REF011,2019-04-04T17:00:00.000001,2019-04-04T21:59:54.427718,REF011,718.0
Idle,2019-04-04T21:59:54.427718,2019-04-04T22:00:00.000001,Idle,0
REF011,2019-04-04T22:00:00.000001,2019-04-05T05:59:56.096724,REF011,1149.0
Idle,2019-04-05T05:59:56.096724,2019-04-05T06:00:00.000001,Idle,0
Change,2019-04-05T06:00:00.000001,2019-04-05T06:42:00.000001,Change,0
REF004REF013,2019-04-05T06:42:00.000001,2019-04-05T11:16:01.241252,REF004REF013,492
Change,2019-04-05T11:16:01.241252,2019-04-05T11:58:01.241252,Change,0
REF011,2019-04-05T11:58:01.241252,2019-04-05T16:59:35.916477,REF011,722.0
Idle,2019-04-05T16:59:35.916477,2019-04-05T17:00:00.000001,Idle,0
REF011,2019-04-05T17:00:00.000001,2019-04-05T21:59:54.427718,REF011,718.0
Idle,2019-04-05T21:59:54.427718,2019-04-05T22:00:00.000001,Idle,0
REF011,2019-04-05T22:00:00.000001,2019-04-06T05:07:18.300216,REF011,1023.0
Change,2019-04-06T05:07:18.300216,2019-04-06T05:49:18.300216,Change,0
REF003REF005,2019-04-06T05:49:18.300216,2019-04-06T05:59:30.952840,REF003REF005,19.0
Idle,2019-04-06T05:59:30.952840,2019-04-06T06:00:00,Idle,0
REF003REF005,2019-04-06T06:00:00,2019-04-06T11:41:15.495607,REF003REF005,635.0
Change,2019-04-06T11:41:15.495607,2019-04-06T12:23:15.495607,Change,0
REF000REF011,2019-04-06T12:23:15.495607,2019-04-06T18:41:53.965867,REF000REF011,1076
Idle,2019-04-06T18:41:53.965867,2019-04-06T22:00:00,Idle,0
Off,2019-04-06T22:00:00,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
