Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF005REF014,2019-04-01T06:42:00,2019-04-01T08:28:10.456052,REF005REF014,233
Change,2019-04-01T08:28:10.456052,2019-04-01T09:10:10.456052,Change,0
REF010,2019-04-01T09:10:10.456052,2019-04-01T12:14:59.704092,REF010,410
Change,2019-04-01T12:14:59.704092,2019-04-01T12:56:59.704092,Change,0
REF005,2019-04-01T12:56:59.704092,2019-04-01T16:59:36.705596,REF005,528.0
Idle,2019-04-01T16:59:36.705596,2019-04-01T17:00:00,Idle,0
Change,2019-04-01T17:00:00,2019-04-01T17:42:00,Change,0
REF009,2019-04-01T17:42:00,2019-04-01T21:59:43.355670,REF009,657.0
Idle,2019-04-01T21:59:43.355670,2019-04-01T22:00:00,Idle,0
REF009,2019-04-01T22:00:00,2019-04-02T02:20:04.573530,REF009,663.0
Change,2019-04-02T02:20:04.573530,2019-04-02T03:02:04.573530,Change,0
REF005,2019-04-02T03:02:04.573530,2019-04-02T05:59:54.193951,REF005,387.0
Idle,2019-04-02T05:59:54.193951,2019-04-02T06:00:00.000001,Idle,0
REF005,2019-04-02T06:00:00.000001,2019-04-02T09:10:41.582623,REF005,415.0
Change,2019-04-02T09:10:41.582623,2019-04-02T09:52:41.582623,Change,0
REF012,2019-04-02T09:52:41.582623,2019-04-02T16:59:30.849572,REF012,765.0
Idle,2019-04-02T16:59:30.849572,2019-04-02T17:00:00.000001,Idle,0
Change,2019-04-02T17:00:00.000001,2019-04-02T17:42:00.000001,Change,0
REF006,2019-04-02T17:42:00.000001,2019-04-02T21:59:42.894472,REF006,697.0
Idle,2019-04-02T21:59:42.894472,2019-04-02T22:00:00.000001,Idle,0
REF006,2019-04-02T22:00:00.000001,2019-04-03T02:17:42.894472,REF006,697.0
Change,2019-04-03T02:17:42.894472,2019-04-03T02:59:42.894472,Change,0
REF012,2019-04-03T02:59:42.894472,2019-04-03T05:59:55.696073,REF012,323.0
