Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF007,2019-04-01T06:42:00,2019-04-01T08:16:44.066651,REF007,300
Change,2019-04-01T08:16:44.066651,2019-04-01T08:58:44.066651,Change,0
REF003,2019-04-01T08:58:44.066651,2019-04-01T10:53:41.295387,REF003,228
Change,2019-04-01T10:53:41.295387,2019-04-01T11:35:41.295387,Change,0
REF001REF006,2019-04-01T11:35:41.295387,2019-04-01T12:58:43.754302,REF001REF006,331
Change,2019-04-01T12:58:43.754302,2019-04-01T13:40:43.754302,Change,0
REF009,2019-04-01T13:40:43.754302,2019-04-01T16:59:36.663472,REF009,507.0
Idle,2019-04-01T16:59:36.663472,2019-04-01T17:00:00.000001,Idle,0
REF009,2019-04-01T17:00:00.000001,2019-04-01T17:20:00.351811,REF009,51.0
Change,2019-04-01T17:20:00.351811,2019-04-01T18:02:00.351811,Change,0
REF002REF009,2019-04-01T18:02:00.351811,2019-04-01T20:26:25.007705,REF002REF009,219
Change,2019-04-01T20:26:25.007705,2019-04-01T21:08:25.007705,Change,0
REF006,2019-04-01T21:08:25.007705,2019-04-01T21:59:48.712628,REF006,139.0
Idle,2019-04-01T21:59:48.712628,2019-04-01T22:00:00.000001,Idle,0
REF006,2019-04-01T22:00:00.000001,2019-04-02T04:31:11.653301,REF006,1058.0
Change,2019-04-02T04:31:11.653301,2019-04-02T05:13:11.653301,Change,0
REF014,2019-04-02T05:13:11.653301,2019-04-02T05:59:46.322053,REF014,188.0
Idle,2019-04-02T05:59:46.322053,2019-04-02T06:00:00.000001,Idle,0
REF014,2019-04-02T06:00:00.000001,2019-04-02T14:55:53.555904,REF014,2163.0
Change,2019-04-02T14:55:53.555904,2019-04-02T15:37:53.555904,Change,0
REF005REF014,2019-04-02T15:37:53.555904,2019-04-02T16:59:54.938262,REF005REF014,180.0
Idle,2019-04-02T16:59:54.938262,2019-04-02T17:00:00.000001,Idle,0
REF005REF014,2019-04-02T17:00:00.000001,2019-04-02T21:59:50.386619,REF005REF014,658.0
Idle,2019-04-02T21:59:50.386619,2019-04-02T22:00:00.000001,Idle,0
REF005REF014,2019-04-02T22:00:00.000001,2019-04-03T01:11:50.566515,REF005REF014,421.0
Idle,2019-04-03T01:11:50.566515,2019-04-03T06:00:00.000001,Idle,0
Off,2019-04-03T06:00:00.000001,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
