Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF002REF008,2019-04-01T06:42:00,2019-04-01T07:51:31.640575,REF002REF008,168
Change,2019-04-01T07:51:31.640575,2019-04-01T08:33:31.640575,Change,0
REF004,2019-04-01T08:33:31.640575,2019-04-01T16:59:56.323408,REF004,1103.0
Idle,2019-04-01T16:59:56.323408,2019-04-01T17:00:00,Idle,0
REF004,2019-04-01T17:00:00,2019-04-01T21:59:48.393372,REF004,653.0
Idle,2019-04-01T21:59:48.393372,2019-04-01T22:00:00,Idle,0
REF004,2019-04-01T22:00:00,2019-04-02T05:59:46.938858,REF004,1045.0
Idle,2019-04-02T05:59:46.938858,2019-04-02T06:00:00,Idle,0
REF004,2019-04-02T06:00:00,2019-04-02T09:39:00.066828,REF004,477.0
Change,2019-04-02T09:39:00.066828,2019-04-02T10:21:00.066828,Change,0
REF008,2019-04-02T10:21:00.066828,2019-04-02T16:59:37.113507,REF008,964.0
Idle,2019-04-02T16:59:37.113507,2019-04-02T17:00:00,Idle,0
Change,2019-04-02T17:00:00,2019-04-02T17:42:00,Change,0
REF001,2019-04-02T17:42:00,2019-04-02T21:59:59.664139,REF001,685.0
Idle,2019-04-02T21:59:59.664139,2019-04-02T22:00:00,Idle,0
Change,2019-04-02T22:00:00,2019-04-02T22:42:00,Change,0
REF008,2019-04-02T22:42:00,2019-04-03T05:59:54.017047,REF008,1059.0
Idle,2019-04-03T05:59:54.017047,2019-04-03T06:00:00,Idle,0
REF008,2019-04-03T06:00:00,2019-04-03T09:35:26.121701,REF008,521.0
Change,2019-04-03T09:35:26.121701,2019-04-03T10:17:26.121701,Change,0
REF001,2019-04-03T10:17:26.121701,2019-04-03T16:59:40.838927,REF001,1068.0
Idle,2019-04-03T16:59:40.838927,2019-04-03T17:00:00,Idle,0
Change,2019-04-03T17:00:00,2019-04-03T17:42:00,Change,0
REF000,2019-04-03T17:42:00,2019-04-03T21:59:57.147691,REF000,896.0
Idle,2019-04-03T21:59:57.147691,2019-04-03T22:00:00,Idle,0
REF000,2019-04-03T22:00:00,2019-04-04T05:17:35.875547,REF000,1520.0
Change,2019-04-04T05:17:35.875547,2019-04-04T05:59:35.875547,Change,0
REF001,2019-04-04T05:59:35.875547,2019-04-04T05:59:58.473597,REF001,1.0
Idle,2019-04-04T05:59:58.473597,2019-04-04T06:00:00,Idle,0
REF001,2019-04-04T06:00:00,2019-04-04T16:59:51.783315,REF001,1752.0
Idle,2019-04-04T16:59:51.783315,2019-04-04T17:00:00,Idle,0
REF001,2019-04-04T17:00:00,2019-04-04T21:59:48.047671,REF001,796.0
Idle,2019-04-04T21:59:48.047671,2019-04-04T22:00:00,Idle,0
REF001,2019-04-04T22:00:00,2019-04-05T03:59:18.539545,REF001,954.0
Change,2019-04-05T03:59:18.539545,2019-04-05T04:41:18.539545,Change,0
REF001REF003,2019-04-05T04:41:18.539545,2019-04-05T05:59:54.739237,REF001REF003,124.0
Idle,2019-04-05T05:59:54.739237,2019-04-05T06:00:00,Idle,0
REF001REF003,2019-04-05T06:00:00,2019-04-05T16:59:53.257093,REF001REF003,1041.0
Idle,2019-04-05T16:59:53.257093,2019-04-05T17:00:00,Idle,0
REF001REF003,2019-04-05T17:00:00,2019-04-05T20:03:11.787992,REF001REF003,289.0
Change,2019-04-05T20:03:11.787992,2019-04-05T20:45:11.787992,Change,0
REF004REF011,2019-04-05T20:45:11.787992,2019-04-05T21:59:58.254952,REF004REF011,163.0
Idle,2019-04-05T21:59:58.254952,2019-04-05T22:00:00,Idle,0
REF004REF011,2019-04-05T22:00:00,2019-04-06T05:59:50.456686,REF004REF011,1046.0
Idle,2019-04-06T05:59:50.456686,2019-04-06T06:00:00,Idle,0
REF004REF011,2019-04-06T06:00:00,2019-04-06T10:21:56.396527,REF004REF011,571.0
Change,2019-04-06T10:21:56.396527,2019-04-06T11:03:56.396527,Change,0
REF000REF015,2019-04-06T11:03:56.396527,2019-04-06T21:59:52.554536,REF000REF015,2176.0
Idle,2019-04-06T21:59:52.554536,2019-04-06T21:59:59.999999,Idle,0
REF000REF015,2019-04-06T21:59:59.999999,2019-04-06T22:52:45.132192,REF000REF015,175.0
Idle,2019-04-06T22:52:45.132192,2019-04-06T23:59:59.999999,Idle,0
Off,2019-04-06T23:59:59.999999,2019-04-08T03:00:00,Off,0
Warmup,2019-04-08T03:00:00,2019-04-08T06:00:00,Warmup,0
