ref,amount
REF000REF009,789
REF003REF010,958
REF004REF012,1824
REF005,1330
REF005REF014,233
REF006,1394
REF006REF014,1376
REF006REF015,4945
REF007REF015,4447
REF009,1320
REF010,410
REF012,1576
REF015,3676
