ref,amount
REF000,1768
REF000REF015,526
REF001,2503
REF001REF003,691
REF002REF008,948
REF004,2624
REF004REF011,2039
REF005,11
REF006,3261
REF006REF014,1912
REF008,4115
REF015,3165
